e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
31.7,34,79.8,87.8,153.4,56,46.2,50.5,55.3,64.1,39.8,27.8,24.5,31.6,46,637.6,680,853.7,723.3,781.6
37.3,173.5,9.1,8.9,6.8,7.3,6.5,7.4,8,9,10.9,12.5,14.2,18.3,14.9,19,24.3,28.6,33.6,37.7
188.9,31.4,30.8,32,31.9,31.4,36.9,21.4,23.6,23,24,27.8,156.5,100.2,99.8,304.1,456,562.6,529.4,545.8
16.1,13.7,15.2,23.1,24.4,9.1,12.8,12.7,15.6,27.2,24.1,18.7,21.2,20,32.4,158.6,51.8,38,37,46.3
128.2,255.3,160.1,107,52.7,52.7,51.4,51.1,41.2,35.2,36.6,34.6,32.6,34.3,36.7,40.9,366.4,625.3,1056.9,1217.7
188.5,35.4,32.2,36.1,35,35.3,49.6,40.6,31.3,24,25.8,44.5,45.7,33.4,32.3,35.8,550.9,652.5,622.5,773.6
257.2,191.8,294,43.4,45.5,46.2,53.1,44.6,30.4,24.1,28.8,26.1,27.8,37,993.5,754.1,821.7,964.2,668.1,550.6
418.1,176.3,29.6,25.9,26.3,25.6,26.9,29.6,28,24.8,25.9,24.3,27.9,31.8,35.1,40.6,52.3,58.4,673.2,741.2
185,103.6,53.7,49.5,45.7,44.4,44,46.5,41.7,44.3,36.3,38.4,34.9,37.1,41.4,1024.7,441.3,255.9,378.5,640.8
68.4,17.8,15.4,13.7,12.8,12,12.6,18.8,17.2,18.3,24.2,36,42.3,47.9,53.2,52,62.9,719.6,696.6,615.1
213,169.8,313.4,334.5,260.7,266.9,282.2,203.2,165.4,106.1,117.8,63.7,182.8,320.2,311.6,320,324.5,335.1,508.4,631.3
103.1,326.2,302.8,22.1,30.6,28,20,17.6,22.8,39.8,32.5,25.1,27.2,45.3,62.9,280.9,369,473,530.6,536.9
125.6,198.4,293.5,145.6,75.2,60.7,50.4,93.2,75.2,53,51.3,42.1,32.7,35.3,46.2,198.3,34.4,32.8,37.1,43.9
84.2,20,17.6,16.6,16,15.9,14.8,15,21.6,18.9,16.1,14,15.4,21,31,334.1,492.8,1383.6,885,775.9
252.8,32.3,30.3,28.8,27.5,24.2,26.1,17.9,19.1,15.1,17.1,20,22.8,26.9,46.6,1003.9,1209.8,1030.3,1003.7,943.8
8.2,7.5,7,5.7,5.3,5.7,5.6,5.9,8.1,7.6,8.8,11.7,18,23.7,31.1,596.5,593.4,313.6,381.4,567.6
32.2,32.5,27.7,23.9,32.4,385.4,342.8,252.2,64.8,68.5,59.6,65.2,25.9,28.4,27.1,27.4,306.7,403.4,269.4,829.4
31,49.3,120.9,38.8,9.3,7.8,15.5,24.5,15.9,11.9,9.8,11.8,13.7,18.2,28.2,32.2,49.1,41.3,639.4,666.4
106.5,198.2,184.6,182.7,63,58.2,64.5,53.8,46.4,41.9,43,34.2,46.1,246.3,529.3,757.2,663.6,336.6,304.4,26.7
217.7,74,14.5,12.1,12,13,12.7,12.4,16.1,14.6,10.9,10.4,10.9,12,12.2,15.3,16.3,15.3,15.9,23.7
111.2,49.1,43.6,43.2,44.3,43.1,47.4,52.1,52,55.7,214.9,253.1,269.4,572.1,699.1,568,624.7,668.9,630.8,662.4
30.1,30,14,10.3,9.2,9.5,7.8,18.7,10.1,11.1,17.5,21.9,374.5,724.7,844.9,996.5,702.8,675.5,359.7,291.1
145.9,133.6,124.4,94.5,64.6,51.2,59.9,75.7,67,50.2,46.7,42.8,40.4,42.5,45.3,45.9,43.1,42.4,43.7,297.9
120.5,107.5,41.1,54.7,20.1,15.8,14.5,14.9,16.1,17.6,17.6,15.9,22.8,53.2,1135.8,756,891.2,1314.3,1157.7,1086.8
404.4,456.4,511.4,446.1,164.4,98.2,127.8,172.4,162.6,161,154.3,141.4,120.3,108.2,93.3,342.6,454.8,449.9,447.5,463
365.3,346.4,260.1,62.6,180.9,56.8,196.2,195.6,40,190,190.6,301.5,366.9,684,675.9,736.2,1088.7,985.2,946.9,608
65.8,53.2,52.6,56.3,56.1,56.5,59.6,71.2,72.7,61.8,56.3,71.2,70.6,69.5,77.5,266.7,267.8,354.8,516.2,562.4
106.2,12.9,12.7,14.2,14.7,14.5,12.7,12,16.6,14.4,10.5,13.1,15.7,18.2,20.6,26.6,508.3,739.1,1554,1499.6
189.9,212.2,395.2,343.2,71.3,57.8,80.7,120.7,108.6,119.4,125.6,82.5,69.5,161.6,161.7,174,181.1,273.1,302.9,320
464.5,467.3,69.1,69.9,70.3,72.1,76.6,79.3,77,80.7,80.7,75.2,80.4,127.7,250.2,217.4,205.4,206.4,208.4,218.4
111.8,80.2,28.9,27.5,25.6,29.5,33,36.3,29.7,34.5,46.4,47.6,58.5,62.6,68,69.9,67.2,69.5,89.6,99.3
12.6,12.4,10.9,10.8,9.4,8.8,10.2,10.2,10.4,8.5,12.5,25.6,29,32.3,499,309.4,303.4,304.6,320,339.6
163.6,84.7,51,50.1,52.4,54.1,67.6,85.5,74.2,84.6,79.6,90.5,83.6,71.4,68.6,68.1,74.7,83.1,92.8,99.8
13.1,10.8,11,10,10.1,13.5,11.3,11.8,9.1,10.8,20.3,22.1,24.6,28.6,27.4,27.6,28,27.5,264.2,346.7
29.4,23.9,21.9,21.8,21.7,22.1,23.3,25.6,25.9,23.6,23.4,25.3,27.3,34.2,664.9,891,859.9,818.4,558.9,572.6
108.4,10.4,7.9,8.1,8.5,8.7,9.7,9,11.1,8.5,8.6,8.5,11.6,31,546.1,678.6,561.1,570.2,503.6,509.5
151.7,98.2,94.3,84.2,47.4,37.7,54.8,56.4,43.4,48.8,68.5,80.4,80.2,86.5,91.5,220.1,218.3,345.4,352.5,443.4
28.7,25.1,24.2,23.5,23.2,23.1,22,22.7,20.6,21.7,22.7,25,34.6,658.1,743.1,566.1,868.6,1138,1097.4,1131.9
124.9,60.8,60.6,60.7,61.7,64,67,59.1,58.8,69.9,90.8,101,101.4,259.2,390.7,318.3,329.6,453.2,502.3,536.6
16.5,17.5,17.7,17.4,17.3,17.6,15.9,15.4,14.8,16.8,21.7,38.1,629.5,360.8,425.4,404.6,401.3,370.6,340.8,318.6
42.9,46.9,44,39.7,36.9,35.3,34.4,34.6,38.5,41,40.9,44.9,267.4,376.8,651.3,701.1,618.5,688.7,912.2,860.9
171.6,159.3,107.2,56.2,52.3,49.2,47.3,49.6,54,54.6,62,75.9,222.1,294,347.2,425.2,470.2,736.7,1080.3,977
33.7,32.6,31.5,30.6,29.4,28.7,28.3,26.9,29.2,31.6,32.7,32.2,365.2,318.5,692.8,379,376.3,366.8,576.3,740.1
44.9,44.7,45.4,45.8,47,47.6,46.1,44.2,43.2,46.2,60.9,80.1,93.7,141.8,90.8,92.2,242.5,1125.7,477.4,670.1
