time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,577.0,150.8,1871.9,481.2,2524.8,239.3,612.8,1805.9,2440.8,183.2,74.8,8.4
0.027000,590.2,160.6,1831.6,446.5,2509.9,260.0,619,1799.7,2438.8,182.9,74.9,8.4
0.029000,602.5,181.1,1801.8,452.0,2483.2,305.3,629,1789.6,2435.5,182.6,75,8.2
0.031000,617.8,218.6,1773.4,484.3,2441.6,355.1,642.6,1776,2431,182.2,74.9,7.9
0.033000,641.6,273.5,1744.6,509.9,2400.0,371.4,659.4,1759.2,2425.3,181.9,74.9,7.7
0.035000,681.8,334.8,1718.3,503.7,2371.2,355.8,679,1739.9,2418.7,181.5,74.8,7.7
0.037000,736.0,365.6,1693.2,461.5,2353.2,324.3,700.8,1718.6,2411.1,181.2,74.8,8
0.039000,776.2,351.7,1667.2,414.4,2339.6,295.2,724.2,1695.9,2402.8,180.8,74.9,8.5
0.041000,797.3,327.2,1639.8,387.4,2330.3,277.0,748.6,1672.6,2393.9,180.4,75,9.1
0.043000,807.9,306.6,1613.5,380.7,2330.0,270.7,773.5,1649.3,2384.6,180,75.3,9.7
0.045000,818.5,285.7,1594.1,375.6,2339.2,270.4,798.2,1626.7,2375.1,179.6,75.5,10.1
0.047000,833.8,266.3,1588.4,361.5,2351.7,269.5,822.4,1605.2,2365.6,179.2,75.7,10.3
0.049000,852.9,248.5,1589.6,340.7,2361.8,265.5,845.4,1585.4,2356.3,178.8,75.9,10.4
0.051000,871.8,231.1,1589.3,316.9,2366.2,258.9,867,1567.6,2347.3,178.4,76.1,10.4
0.053000,888.5,214.6,1582.3,291.7,2366.7,251.9,886.9,1552.2,2339,178,76.3,10.4
0.055000,900.9,202.2,1569.4,271.0,2365.7,246.7,904.8,1539.3,2331.3,177.7,76.5,10.4
0.057000,909.7,192.5,1554.1,256.7,2363.0,241.5,920.8,1528.9,2324.6,177.3,76.6,10.3
0.059000,915.6,184.5,1539.3,248.8,2356.3,232.4,934.7,1521,2319,176.9,76.8,10.1
0.061000,921.3,179.7,1525.5,244.9,2344.6,218.8,946.6,1515.4,2314.5,176.6,76.9,9.9
