time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,515.9,237.1,1260.2,87.3,2920.8,233.0,576.2,1250.4,2924.5,188.1,72.9,6.9
0.027000,537.0,247.9,1260.0,97.0,2923.7,224.2,577.5,1252,2925.3,188.2,72.9,8.5
0.029000,554.2,257.7,1260.3,104.1,2925.2,205.9,579.8,1254.6,2926.5,188.2,72.9,10.6
0.031000,569.0,270.2,1262.1,108.3,2928.0,188.5,582.9,1258.1,2928.2,188.3,72.9,12.9
0.033000,584.6,281.6,1265.9,109.8,2931.3,174.2,586.7,1262.3,2930.3,188.3,73,15.1
0.035000,600.3,284.4,1270.9,108.4,2933.3,164.1,591.4,1267,2932.9,188.3,73.1,16.8
0.037000,613.7,279.6,1276.0,105.6,2933.6,157.7,596.8,1272.1,2935.9,188.4,73.2,17.8
0.039000,624.8,272.3,1280.8,102.4,2933.0,153.8,602.9,1277.2,2939.3,188.4,73.3,18.4
0.041000,633.4,267.5,1284.3,99.4,2933.1,152.2,609.5,1282.3,2943,188.5,73.4,18.8
0.043000,640.7,267.6,1286.5,97.6,2935.6,154.3,616.7,1286.9,2947,188.6,73.5,19
0.045000,648.6,272.6,1287.8,97.7,2941.4,160.5,624.3,1290.9,2951.2,188.6,73.5,19.4
0.047000,656.9,279.3,1288.4,99.8,2949.4,169.3,632.3,1294.1,2955.7,188.7,73.6,19.9
0.049000,664.7,284.1,1288.0,103.8,2959.0,177.3,640.5,1296.1,2960.3,188.8,73.6,20.4
0.051000,671.7,286.1,1286.4,110.0,2970.4,177.8,648.9,1296.8,2965.1,188.8,73.7,20.8
0.053000,677.2,286.8,1283.4,119.1,2981.1,165.4,657.4,1296,2969.8,188.9,73.7,21.1
0.055000,681.2,288.5,1279.6,130.4,2989.1,147.2,665.9,1293.6,2974.5,189,73.7,21.2
0.057000,684.6,291.5,1275.2,144.0,2995.5,131.0,674.3,1289.5,2979.2,189.1,73.8,21
0.059000,688.0,294.7,1270.5,159.3,3000.2,122.0,682.6,1283.6,2983.6,189.2,73.8,20.7
0.061000,691.7,297.5,1264.7,176.4,3002.2,120.9,690.6,1276,2987.9,189.3,73.8,20.2
0.063000,694.8,300.2,1257.3,192.4,3000.5,126.1,698.2,1266.6,2991.8,189.4,73.8,19.7
0.065000,697.0,303.9,1248.2,205.3,2996.8,134.2,705.4,1255.6,2995.4,189.5,73.8,19.3
0.067000,698.2,307.1,1240.0,213.0,2994.7,140.8,712.2,1243.1,2998.6,189.6,73.9,18.8
0.069000,699.4,308.9,1233.0,220.2,2996.6,145.0,718.4,1229.3,3001.3,189.7,73.9,18.3
0.071000,702.8,314.3,1223.5,235.8,3002.3,149.9,724,1214.4,3003.5,189.8,73.9,17.8
0.073000,708.8,327.4,1208.4,259.4,3009.2,157.5,728.9,1198.6,3005.1,190,74,17.5
0.075000,714.3,342.5,1190.3,276.0,3014.0,167.1,733.1,1182.1,3006.2,190.1,74,17.4
0.077000,716.5,350.9,1174.3,276.0,3014.9,176.8,736.6,1165.3,3006.6,190.2,74.1,17.8
