time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,748.1,390.9,2182.3,137.1,2933.4,266.1,772.5,2183.4,2912.4,189,72.7,12.9
0.027000,760.3,359.3,2181.6,140.9,2918.2,285.4,774.3,2180.9,2910.2,189,72.9,13.8
0.029000,773.3,328.0,2179.9,151.1,2904.9,290.7,777.1,2177,2906.7,189.1,73.1,14.4
0.031000,784.6,302.7,2177.1,167.1,2897.1,286.6,780.9,2171.5,2901.8,189.1,73.3,14.8
0.033000,793.1,281.4,2171.2,188.5,2891.5,289.0,785.8,2164.6,2895.6,189.2,73.5,15.2
0.035000,798.8,263.1,2161.4,208.0,2885.2,300.9,791.5,2156.5,2888.2,189.3,73.7,15.5
0.037000,804.9,243.9,2147.9,219.5,2875.2,309.3,797.9,2147.2,2879.6,189.3,73.9,15.9
0.039000,812.6,226.6,2134.1,218.4,2862.4,299.6,804.9,2137.1,2870.2,189.4,74.2,16.2
0.041000,822.2,211.2,2120.0,208.6,2849.0,277.0,812.4,2126.1,2859.9,189.4,74.4,16.5
0.043000,830.5,199.7,2107.3,198.9,2839.8,260.8,820.1,2114.7,2849,189.5,74.7,16.7
0.045000,837.0,190.8,2094.8,194.5,2834.5,260.1,828.1,2102.9,2837.8,189.5,74.9,16.7
0.047000,841.9,184.1,2083.8,195.6,2831.0,274.1,836,2091.1,2826.5,189.6,75.1,16.6
0.049000,847.0,178.3,2074.2,200.1,2824.6,300.1,843.9,2079.3,2815.3,189.6,75.3,16.2
0.051000,852.2,173.8,2066.2,207.6,2812.5,337.6,851.5,2067.9,2804.5,189.7,75.4,15.8
0.053000,856.9,171.0,2058.3,217.7,2795.9,380.9,858.7,2057,2794.4,189.7,75.6,15.4
0.055000,861.1,169.9,2048.5,229.1,2778.3,420.0,865.5,2046.8,2785.3,189.8,75.7,15.2
0.057000,865.0,170.1,2038.4,238.3,2767.8,441.7,871.8,2037.4,2777.5,189.8,75.9,15.2
0.059000,869.0,170.8,2030.1,246.3,2765.6,457.7,877.5,2029,2771.1,189.8,76,15.2
0.061000,873.1,171.4,2025.2,253.2,2768.6,475.7,882.7,2021.7,2766.3,189.9,76.1,15.3
0.063000,878.5,171.6,2021.6,256.8,2771.1,485.2,887.3,2015.5,2763.3,189.9,76.1,15.5
0.065000,884.3,170.8,2017.5,255.0,2770.1,467.8,891.3,2010.3,2762.1,189.9,76.2,15.8
0.067000,890.3,169.3,2012.0,250.2,2767.8,422.3,894.8,2006.3,2762.6,189.9,76.3,16.2
0.069000,895.3,168.0,2006.5,244.5,2768.2,370.3,897.8,2003.2,2764.9,189.9,76.3,16.8
0.071000,899.9,167.5,2001.8,236.4,2772.3,324.6,900.4,2001.1,2768.8,189.9,76.3,17.4
0.073000,904.4,167.4,1999.1,225.8,2777.3,293.2,902.7,1999.7,2774,189.9,76.4,17.9
0.075000,908.9,166.1,1998.0,215.7,2782.9,274.8,904.8,1999,2780.3,189.9,76.5,18
