time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,394.5,66.5,2075.8,281.4,2575.9,192.4,399.6,2143.4,2593.2,200.1,72.7,11.3
0.027000,396.8,63.4,2119.5,271.1,2584.5,186.3,399.7,2144.9,2594.6,200.1,73.1,12.7
0.029000,398.2,60.6,2148.2,255.6,2593.4,179.0,399.8,2147.4,2596.9,200.2,73.4,15
0.031000,399.1,58.2,2165.4,232.3,2601.1,169.0,400,2150.9,2600.1,200.3,73.6,17.7
0.033000,399.9,56.2,2176.0,206.1,2607.5,157.8,400.3,2155,2603.9,200.4,73.8,20.2
0.035000,400.7,54.7,2182.6,182.9,2612.6,146.9,400.6,2159.9,2608.2,200.5,74,22
0.037000,401.8,53.7,2186.1,165.1,2616.7,137.0,401,2165.2,2613,200.6,74.1,22.8
0.039000,402.9,53.2,2187.6,153.7,2621.0,129.6,401.4,2170.9,2617.9,200.7,74.3,23.2
0.041000,404.1,52.8,2188.7,149.3,2626.0,126.9,401.9,2176.7,2622.9,200.8,74.4,23.2
0.043000,405.0,52.5,2190.1,150.7,2631.4,128.6,402.4,2182.4,2627.8,200.9,74.5,23.2
0.045000,405.9,52.1,2191.4,155.8,2636.0,133.5,403,2187.8,2632.3,201,74.6,23.5
0.047000,406.4,51.4,2192.7,163.3,2640.2,141.7,403.5,2192.8,2636.4,201.1,74.7,24.2
0.049000,406.5,50.1,2194.7,173.2,2644.9,154.2,404.1,2197.1,2639.8,201.2,74.8,25
0.051000,406.2,48.4,2197.8,184.3,2650.5,171.2,404.8,2200.6,2642.5,201.3,74.9,25.9
0.053000,405.8,46.6,2201.8,193.7,2655.5,189.7,405.4,2203,2644.3,201.4,75,26.7
0.055000,405.6,44.9,2204.5,198.3,2657.2,202.5,406,2204.3,2645.2,201.5,75.1,27.1
0.057000,405.7,43.7,2203.2,193.6,2653.0,200.5,406.6,2204.3,2645.1,201.6,75.1,27
0.059000,406.3,43.0,2197.9,178.5,2644.3,183.6,407.1,2202.9,2644.1,201.6,75.2,26.7
0.061000,407.0,42.6,2192.2,158.4,2635.7,161.7,407.6,2200,2642.2,201.7,75.3,26.2
0.063000,407.8,42.4,2187.7,140.5,2629.3,142.2,408.1,2195.7,2639.5,201.8,75.4,25.7
0.065000,408.4,42.4,2183.4,128.6,2624.5,126.4,408.5,2189.7,2636,201.8,75.5,25.6
0.067000,408.9,42.5,2177.9,122.9,2620.4,113.9,408.8,2182.3,2631.9,201.9,75.6,25.7
0.069000,409.2,42.6,2170.9,122.7,2616.4,105.4,409,2173.4,2627.3,201.9,75.6,26
0.071000,409.3,42.4,2163.0,127.3,2612.1,101.8,409.1,2163,2622.4,201.9,75.7,26.4
0.073000,409.1,41.9,2154.6,136.4,2607.6,102.5,409.1,2151.4,2617.3,202,75.7,26.8
0.075000,408.7,41.2,2145.1,149.9,2603.7,105.7,409,2138.5,2612.3,202,75.8,27.1
0.077000,408.2,40.2,2133.5,165.7,2601.4,108.2,408.8,2124.6,2607.5,202,75.8,27.4
0.079000,407.4,38.8,2118.5,180.4,2600.8,108.3,408.5,2109.7,2603,202,75.8,27.7
0.081000,406.7,37.4,2100.0,191.4,2601.4,105.9,408.1,2094,2599,202,75.8,28
0.083000,406.0,36.1,2078.5,199.0,2602.2,101.6,407.6,2077.8,2595.6,202,75.8,28.1
0.085000,405.4,35.0,2055.1,203.9,2602.4,96.8,407,2061.1,2592.9,202,75.8,28.2
0.087000,404.9,34.2,2032.5,204.4,2601.4,93.1,406.4,2044.2,2591,202,75.8,28.2
0.089000,404.3,33.4,2013.6,198.7,2599.7,91.4,405.6,2027.2,2589.9,201.9,75.8,28
0.091000,403.9,32.6,1998.4,186.9,2599.2,90.3,404.9,2010.3,2589.6,201.9,75.8,27.7
0.093000,403.4,31.8,1985.0,171.5,2600.4,88.7,404.1,1993.7,2590.1,201.9,75.8,27.5
0.095000,403.0,31.0,1972.7,156.2,2601.4,87.2,403.3,1977.5,2591.3,201.8,75.8,27.3
0.097000,402.6,30.4,1962.2,145.1,2600.9,88.0,402.5,1961.8,2593.2,201.8,75.8,27.1
0.099000,402.1,29.6,1953.6,139.8,2599.5,91.8,401.7,1946.9,2595.6,201.7,75.8,26.9
0.101000,401.8,28.7,1946.0,139.7,2599.8,97.3,401,1932.8,2598.4,201.7,75.7,26.8
0.103000,401.4,27.7,1937.2,142.5,2602.8,101.8,400.3,1919.7,2601.5,201.6,75.7,26.6
0.105000,401.1,27.0,1924.8,144.8,2606.0,103.2,399.8,1907.7,2604.7,201.5,75.7,26.4
0.107000,401.0,26.7,1908.7,145.5,2606.2,102.6,399.3,1896.8,2608,201.5,75.6,26
0.109000,400.9,26.4,1891.8,146.7,2604.0,103.7,398.9,1887.2,2611,201.4,75.6,25.6
0.111000,400.8,25.8,1877.6,146.8,2602.4,109.1,398.7,1878.8,2613.8,201.3,75.6,25.1
0.113000,400.7,24.8,1867.9,142.3,2603.7,117.7,398.5,1871.9,2616.2,201.2,75.5,24.7
0.115000,400.5,24.1,1861.5,133.6,2607.0,124.2,398.5,1866.3,2618.2,201.1,75.5,24.5
0.117000,400.4,23.8,1856.4,125.6,2609.0,123.1,398.5,1862.2,2619.6,201,75.4,24.6
0.119000,400.2,23.7,1852.2,123.0,2608.4,117.2,398.7,1859.7,2620.5,200.8,75.4,24.9
0.121000,400.0,23.4,1850.5,126.3,2608.3,113.8,398.9,1858.6,2620.8,200.7,75.4,25.2
0.123000,399.6,23.1,1852.1,131.6,2610.9,115.3,399.1,1859.1,2620.7,200.5,75.4,25.6
0.125000,399.3,22.8,1856.2,134.4,2615.2,118.1,399.4,1861.1,2620,200.4,75.4,25.9
0.127000,399.0,22.7,1861.4,134.6,2619.1,119.5,399.7,1864.7,2619.1,200.2,75.4,26.2
0.129000,398.8,22.7,1866.9,134.4,2622.0,120.6,400,1869.8,2617.9,200,75.4,26.6
0.131000,398.5,22.7,1873.6,134.6,2624.6,123.4,400.3,1876.5,2616.6,199.8,75.4,27
0.133000,398.3,22.7,1883.4,134.1,2627.8,127.8,400.4,1884.7,2615.4,199.6,75.4,27.2
0.135000,398.1,22.8,1897.0,131.8,2631.2,132.7,400.5,1894.3,2614.5,199.4,75.4,27.2
0.137000,397.8,23.0,1913.2,128.0,2633.2,136.1,400.5,1905.4,2614,199.2,75.4,26.9
0.139000,397.3,23.1,1928.8,123.6,2631.7,135.2,400.3,1917.8,2614.1,198.9,75.4,26.3
0.141000,396.8,23.2,1942.3,119.0,2626.9,127.5,399.9,1931.5,2615,198.7,75.4,25.5
0.143000,396.4,23.5,1954.4,114.2,2622.3,115.7,399.4,1946.4,2616.8,198.4,75.4,24.8
0.145000,395.9,23.8,1966.0,110.5,2620.9,105.4,398.6,1962.3,2619.5,198.1,75.4,24.3
0.147000,395.4,23.9,1976.9,110.3,2622.7,99.4,397.7,1979.2,2623.4,197.8,75.3,23.9
0.149000,394.8,23.8,1987.1,115.7,2626.6,97.6,396.6,1997,2628.4,197.5,75.3,23.6
0.151000,394.2,23.7,1997.8,128.1,2631.8,99.0,395.3,2015.4,2634.6,197.2,75.2,23.3
0.153000,393.6,23.7,2011.7,147.4,2637.6,102.4,393.8,2034.3,2642,196.9,75.1,23
0.155000,392.8,24.0,2033.7,169.7,2644.1,106.9,392.2,2053.6,2650.4,196.6,74.9,22.6
0.157000,392.0,24.5,2067.0,181.5,2652.6,111.5,390.4,2073,2659.8,196.2,74.8,22
0.159000,391.1,25.1,2103.2,173.4,2664.4,113.7,388.5,2092.3,2670.1,195.9,74.6,21.4
0.161000,390.1,25.6,2131.0,156.7,2677.8,112.9,386.5,2111.3,2681,195.5,74.3,20.8
0.163000,389.2,26.1,2149.7,145.6,2689.8,112.5,384.5,2129.8,2692.3,195.1,73.9,19.9
0.165000,388.3,27.0,2163.5,144.3,2698.3,115.1,382.5,2147.6,2703.8,194.8,73.5,18.8
0.167000,387.3,28.6,2175.2,152.7,2703.2,121.6,380.5,2164.5,2715.4,194.4,72.9,17.2
0.169000,386.5,31.1,2186.1,167.9,2706.0,131.6,378.6,2180.2,2726.6,194,72.2,15.3
0.171000,385.5,35.0,2197.5,183.5,2709.7,146.3,376.8,2194.6,2737.2,193.7,71.2,13.3
0.173000,383.9,39.9,2210.4,194.1,2719.0,171.9,375.2,2207.5,2747,193.3,70.1,11.3
0.175000,381.1,46.4,2223.5,196.6,2738.5,215.6,373.7,2218.8,2755.8,193,68.9,9.8
0.177000,376.4,57.3,2233.9,189.9,2769.6,272.5,372.5,2228.2,2763.3,192.6,67.5,8.5
0.179000,368.8,77.7,2239.8,178.9,2808.9,331.1,371.5,2235.6,2769.4,192.3,66.1,7.4
0.181000,359.6,111.8,2239.6,172.5,2834.5,458.8,370.8,2241,2773.8,192,64.7,6.5
0.183000,354.3,158.4,2229.8,173.2,2783.7,529.2,370.3,2244.3,2776.5,191.6,63.6,5.9
0.185000,355.0,203.2,2211.5,170.9,2766.7,541.9,370.2,2245.3,2777.4,0,62.6,5.7
