time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,518.9,200.0,1828.9,272.0,2715.7,185.3,517.5,1847.4,2732.5,170,73.8,5
0.028000,517.5,187.9,1844.5,258.8,2720.3,175.4,520,1849.1,2730,170.2,74.4,4.4
0.030000,520.2,190.4,1858.6,253.8,2722.4,171.4,524,1851.8,2725.8,170.5,75,3.5
0.032000,529.0,193.1,1868.3,255.4,2722.3,175.7,529.5,1855.8,2720.4,170.8,75.5,2.6
0.034000,540.7,188.3,1874.8,262.0,2720.7,189.5,536.4,1861,2713.9,171.1,75.9,2.3
0.036000,551.1,183.0,1879.3,273.4,2717.5,212.4,544.6,1867.5,2706.8,171.4,76.2,3
0.038000,559.0,183.9,1881.8,292.4,2711.8,241.6,553.9,1875.4,2699.5,171.7,76.4,4.8
0.040000,565.1,193.2,1882.4,320.8,2702.5,272.8,564.1,1884.5,2692.4,172,76.6,7.1
0.042000,571.3,210.9,1884.2,347.2,2690.8,296.6,574.9,1894.9,2685.9,172.4,76.7,9.5
0.044000,579.5,234.0,1892.5,351.8,2680.7,303.7,586.2,1906.2,2680.3,172.8,76.7,11.5
0.046000,590.6,258.7,1907.3,334.3,2674.1,299.2,597.5,1918.5,2676.1,173.1,76.6,12.7
0.048000,603.2,280.0,1922.6,315.6,2670.0,296.9,608.5,1931.2,2673.3,173.5,76.6,13.2
0.050000,616.8,296.9,1937.4,311.5,2668.8,306.8,619,1944.1,2672.3,173.9,76.5,13.3
0.052000,629.1,309.8,1952.7,327.7,2671.7,332.1,628.6,1956.9,2673.1,174.3,76.4,13.4
0.054000,639.7,320.5,1970.1,355.2,2677.7,366.5,637.1,1969.1,2675.6,174.7,76.2,13.5
0.056000,648.7,329.3,1987.8,382.1,2682.8,404.1,644.2,1980.3,2679.8,175.2,76.1,13.9
0.058000,655.4,335.4,2002.9,406.7,2683.6,446.7,649.6,1990.3,2685.6,175.6,76,14.7
0.060000,659.1,337.9,2013.9,429.0,2681.8,491.9,653.5,1998.7,2692.7,176,76,15.6
0.062000,660.3,337.3,2019.6,442.4,2684.7,523.9,655.6,2005.6,2700.9,176.4,75.9,16.3
0.064000,660.0,335.8,2020.5,439.8,2698.2,522.8,656.1,2010.7,2709.9,176.9,75.8,16.7
0.066000,658.0,332.0,2018.3,424.9,2717.1,489.9,655.1,2014.1,2719.4,177.3,75.8,16.6
0.068000,651.7,323.2,2014.3,410.7,2735.3,446.6,652.9,2016.1,2729.3,177.7,75.7,15.7
0.070000,642.7,311.2,2008.4,408.2,2749.0,415.3,649.5,2016.8,2739.2,178.2,75.7,14.4
0.072000,634.6,299.1,2001.4,412.8,2759.2,400.6,645.4,2016.7,2749.1,178.6,75.6,13.2
0.074000,629.3,289.9,1996.9,410.5,2767.9,393.6,640.9,2016,2758.7,179,75.6,12.2
0.076000,627.5,286.6,1998.2,390.9,2774.8,379.1,636.1,2015.2,2768.1,179.4,75.5,11.9
0.078000,628.7,287.7,2004.9,360.5,2780.3,352.5,631.4,2014.7,2777.1,179.8,75.5,12
0.080000,630.7,288.5,2015.0,333.3,2788.5,320.0,626.8,2014.7,2785.9,180.2,75.4,12.3
0.082000,632.5,286.6,2024.8,312.5,2797.1,289.8,622.6,2015.5,2794.5,180.6,75.4,12.9
0.084000,631.2,281.3,2030.9,301.4,2804.4,276.0,618.8,2017.3,2803,180.9,75.4,13.5
0.086000,625.3,274.3,2032.9,300.0,2811.2,282.3,615.3,2020.1,2811.5,181.3,75.4,14.3
0.088000,616.9,266.6,2032.8,301.2,2818.6,301.8,611.9,2023.8,2820.2,181.6,75.3,15.4
0.090000,609.1,258.6,2033.2,294.9,2824.8,320.5,608.7,2028.2,2829.1,181.9,75.3,16.7
0.092000,603.5,250.4,2035.2,277.4,2827.9,328.3,605.2,2033.2,2838.5,182.2,75.3,18
0.094000,598.9,241.1,2037.8,255.6,2831.5,327.9,601.3,2038.3,2848.2,182.5,75.3,18.9
0.096000,592.4,229.5,2041.2,239.1,2843.2,328.9,596.8,2043.3,2858.5,182.8,75.2,19.2
0.098000,583.7,217.4,2045.0,230.0,2862.2,334.5,591.5,2047.8,2869.3,183,75.1,19
0.100000,575.7,208.3,2048.2,224.6,2880.2,345.0,585.3,2051.5,2880.4,183.3,75.1,18.5
0.102000,569.7,204.0,2050.9,219.5,2895.3,360.9,578.1,2054.2,2891.8,183.5,75,17.9
0.104000,565.7,203.5,2052.9,214.5,2910.8,375.3,569.9,2055.7,2903.4,183.7,74.9,17.4
0.106000,562.0,204.7,2053.9,211.4,2930.2,376.6,561,2056.1,2914.9,183.9,74.8,17.2
0.108000,557.3,205.9,2053.3,212.2,2946.8,358.4,551.5,2055.3,2926.1,184.1,74.6,17.2
0.110000,550.6,206.6,2051.4,216.3,2954.0,333.1,541.7,2053.5,2936.8,184.2,74.5,17.3
0.112000,541.6,206.7,2048.8,221.8,2954.7,312.9,532.1,2051,2946.8,184.3,74.3,17.4
0.114000,531.4,207.2,2045.4,225.9,2954.3,300.5,523,2048.1,2955.7,184.5,74.1,17.4
0.116000,522.5,210.3,2041.1,227.1,2955.5,298.1,514.8,2045,2963.3,184.6,73.9,17.2
0.118000,514.8,216.4,2038.2,228.6,2959.2,307.0,508,2042.3,2969.5,184.7,73.7,16.8
0.120000,505.5,222.3,2039.0,236.0,2965.6,328.9,502.8,2040.1,2974,184.8,73.4,16.3
0.122000,492.4,224.3,2044.1,248.8,2971.6,360.9,499.6,2038.6,2976.8,184.8,73.2,15.8
0.124000,476.0,221.2,2051.7,259.8,2974.2,390.3,498.5,2038.1,2977.7,184.9,72.9,15.4
