file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
S18_selected_tokens_0030,639.8,1750.1,2973.2,50.4,331,-25,13.9,-6.5,13.6,8.2,46.4,-4,-8.2,-5.5,5.9,9.2,14.6,-1.2
S18_selected_tokens_0031,414.9,2095.9,2846.9,-110.9,348.1,-137.6,27.3,-377.1,-60.8,-8.9,-130.2,-85.3,-2.2,-144.3,-4.9,7.3,-87.8,-10.4
S18_selected_tokens_0032,785.4,2032,3562.2,313.2,545.1,244.4,151.5,-85.1,-32,53.5,2.2,-52.6,-77.5,-56.7,10.3,-79.4,22.4,12.6
S18_selected_tokens_0033,419.9,2007.3,2811.3,-113.4,206.8,-160.2,42.5,-365,-21.6,-6.8,-96.1,-35.3,-3.2,-120.1,3.1,4.8,-60.6,-20
S18_selected_tokens_0034,757.2,2236.4,3608,-275.5,-397.8,-239,-156.4,-159.3,-44.1,198.6,165.5,86.9,329.4,318.8,244.9,17.4,158.7,95.3
S18_selected_tokens_0035,451.7,2223.9,3002.1,-110.3,430.5,160.1,45.5,-182.9,71.7,-12.5,34.8,-48.9,-6,-32.1,-3.4,5.1,13.4,-21.2
S18_selected_tokens_0036,556.8,1675.4,3003.4,-89.5,214,-43.3,-26.7,-33.5,36.6,-11.7,5.2,-5,-5.1,-3.5,-2,1,15.4,-0.1
S18_selected_tokens_0037,391.2,2184.1,2875.5,-71.3,373,-36,18.9,-276.9,44.5,-5.6,95.8,22.9,-3.7,-21.5,25.6,2.3,14.2,2.8
S18_selected_tokens_0038,974.8,2202.1,3589.1,771.4,866.2,510.9,342.7,128.6,246.2,62.5,-14.1,1.2,-12.8,75,55.1,-260.3,-240.8,-203.1
S18_selected_tokens_0039,414,2075.3,2841.7,-91.8,205.3,-104,36.8,-355.8,-48.8,-17.7,-86.3,-46.9,7.1,-111.9,9.1,4.2,-30.7,-0.9
S18_selected_tokens_0040,492.9,1633.9,2882.3,-80.1,26.7,-158.4,-9.2,-114.4,79.1,1.7,-7.3,-41.8,0,-46.1,-0.3,0.7,-7.9,1.9
S18_selected_tokens_0041,561.8,1569.4,2639.3,109,101.5,47.8,19.8,128.5,-0.4,12.6,-60.7,11.3,2.1,31.2,14.4,2.5,-27.4,9.5
S18_selected_tokens_0042,490.7,1001,2566.4,58.9,-24.9,45.1,10.3,137.2,-25.2,-5.5,-49.9,-14.4,0.9,45.6,11.3,1.4,-20.9,4.8
S18_selected_tokens_0043,515.3,1763.6,2647.6,64.7,160.4,24.5,-15.4,101.1,-41.8,-8.5,-53.8,15.4,-11.2,51,-0.8,-7.3,-20.7,-5.1
S18_selected_tokens_0044,490.8,1069.4,2527.5,32.7,-53.5,15.6,-7.7,95.4,-47.2,-10.7,-62.8,16.3,-6.4,45.8,-31.1,-4.3,-28.2,1.7
S18_selected_tokens_0045,550.6,1638.8,2790.3,146.3,137.4,51.4,28.3,113.6,33.8,28.9,-31.1,4.8,5.5,14,18.4,10.5,10.6,13.8
S18_selected_tokens_0046,469.1,1157.9,2794.1,108.2,-146,6.3,-4.6,175.1,-30,-3.5,-94.2,1.7,0.9,51,45,3,-30.7,1.1
S18_selected_tokens_0047,557.8,1533.7,2741.8,90.1,59.9,84.1,-21,-14.7,-84.1,-1.9,-37.9,50.2,-8.6,10.8,-50.1,-0.2,-20.1,14.3
S18_selected_tokens_0048,470.2,1024.5,2475.1,29.6,-89.3,74,-13.4,106.8,-43.2,-2,-57.7,36.2,-7.4,40.7,-31.4,-1.7,-24.2,29.6
S18_selected_tokens_0049,523,1489.8,2632.8,93.3,67.1,-5.6,-5.1,46.5,44.2,19.7,-34.2,16,-0.8,23.5,33.5,3.6,-1.5,16.8
S18_selected_tokens_0050,427.6,976.6,2765.7,71.6,-157.1,39.6,3.5,163.8,-13.1,-4.8,-84.2,-50.3,-2.4,51.5,-21.8,2.1,-27.4,-0.8
S18_selected_tokens_0051,550.5,1520.7,2520.3,64.7,268.7,-69.4,-38.8,-69.6,-41.9,1.3,5.5,-40.7,-22.8,-14.5,-40.6,5.7,0.7,-21.3
S18_selected_tokens_0052,466.5,868.8,2597.6,59.1,83.4,-70.2,-15.2,16.3,-170.6,15,11.2,-26,-9.2,18.7,-20.7,5.7,-3.2,-31.9
S18_selected_tokens_0053,521.1,1771.5,2843.5,123.4,168.6,78.7,-39.7,93.9,17.2,-29.2,-172.3,-30.9,-12.9,72.3,1.5,-13.9,-29.4,-28.1
S18_selected_tokens_0054,436.7,1146,2492.6,106.9,-85.1,129.5,-24.3,278.9,-85.7,-3.4,-56.7,45.7,-8.4,52.5,-26.8,-2.6,37.2,-14.3
S18_selected_tokens_0055,559.7,1795,2761.6,74.4,108.3,146.6,-34.3,-5.6,-17.2,-29.3,-43.7,15.9,-12.9,0.1,-10.8,-7.1,-17,7.2
S18_selected_tokens_0056,488.8,1105.6,2499.6,41.1,135.6,76.9,-15.6,153.1,-47.6,-13.4,-15,33.3,-10.2,63.6,-13.1,-6.5,-2.2,27.7
S18_selected_tokens_0057,535.4,1469.8,2567.2,120.5,34.4,105.6,25.1,119.4,42,12.6,-50.1,41.4,2.5,54,12.1,0.6,-23.6,11.6
S18_selected_tokens_0058,428.7,864,2542.4,25.9,-121.3,21.6,10.7,121,-0.5,2.3,-46.3,-7,-2.7,33.3,-7.5,-0.4,-18.5,-3.7
S18_selected_tokens_0059,512.3,1452.2,2578.4,83.4,426.4,63.4,-20.8,-22.6,24.6,-16.1,-27,47.6,-8.6,-3.8,8.8,-9.9,-7.3,17.9
S18_selected_tokens_0060,465.5,1034.2,2638.3,81,247,66.5,-38.9,141.1,-69.2,-9.3,28.6,7.3,-18.8,51.6,17.1,0,15.7,9.4
S18_selected_tokens_0061,423.2,1163.7,2441.9,7.6,-32.9,37.5,-3.1,77.6,-34.7,-7.8,-53.7,-2.9,-5.8,45.3,-15,-5,-26.6,11.5
S18_selected_tokens_0062,350.7,2193.9,2603.6,-25.4,297.7,85.8,-17.7,-8.6,41.4,-8.5,-60.6,61.4,-14.9,-30.4,42.5,-3.4,-39,42.7
S18_selected_tokens_0063,386.8,1210.1,2640.4,10,-200.4,-2.5,-35.9,111,12.3,-2.2,-52.2,-2.5,-6.8,79.1,-7.3,-0.2,-80.5,-3
S18_selected_tokens_0064,391.3,2097.7,2788.8,28.2,191.8,83.6,-9.8,60.2,-10.2,1,-81.7,-12.5,-5.9,32.9,1.5,-0.4,-29.9,0.9
S18_selected_tokens_0065,363.1,1439.1,2557.8,-3.5,161.7,15.5,-1.6,170.5,3.6,-1.6,-6.6,-2.6,-1.3,55.3,-18.4,-0.2,-24.3,19.4
S18_selected_tokens_0066,396.3,2387.8,2941,55.8,421.4,382.9,4.3,8.1,145.4,11.3,-99.5,51.1,-9.9,9.4,26.8,-2.4,9,-23.1
S18_selected_tokens_0067,367.7,1548.5,2434.3,32.1,-93.7,-230.1,-18.7,126.6,46.1,6.7,12,-167.6,6.6,45.2,112.2,-13.1,-34.5,-154.9
S18_selected_tokens_0068,350.8,1971,2557.7,6.6,102.4,-30.5,-14.5,-71.4,-2.4,1.6,-138.6,-121.9,-5.7,0.6,-89.6,0.5,-23.1,-76.8
S18_selected_tokens_0069,353.6,1564.6,2303.7,-5.7,7.3,-70,1.8,-23.6,-45.8,3.8,-36.4,-7.5,-0.6,9.8,-41.7,0.6,-30.6,-14.1
S18_selected_tokens_0070,352.8,2130.4,2596.8,9.4,77.6,-23.5,-9.1,-69.4,-108,1,-109.2,-112.3,-4.5,-25.3,-81.8,2.7,-36,-48.9
S18_selected_tokens_0071,390.5,1627,2304.1,14.7,-9.8,-58.4,1,119.4,-48,7.3,-29.6,16.2,-2.1,-8.1,-45.9,3.6,-10.4,9
S18_selected_tokens_0072,365,2150.2,2548.6,18.9,88.8,-15.2,-3.9,-58.3,39.6,10.4,-116,-58.7,-4.2,5.6,-13.6,4.7,-17.4,-54.6
S18_selected_tokens_0073,352,1936.8,2559.4,-22.1,139.6,80.5,-20.2,83.2,-23.9,-2.6,-46.7,59.7,-15.5,23.9,-15.9,-1.9,-12.8,48.8
S18_selected_tokens_0074,368.9,2445.5,2919.3,30,319,377.6,37.5,-66,74.7,45.9,-51.6,-83.6,43.6,43.6,12.4,47.4,-6.9,-14.5
S18_selected_tokens_0075,389.4,1585.5,2529.6,0,-36.8,-61.8,-6.4,176.3,9.1,-6.4,-101.7,3.9,-7.2,36.3,1.6,-3.9,-28.1,-9.7
S18_selected_tokens_0076,341.2,2437,2999,-36.9,281.9,436.4,-6.9,-12.1,202.4,-0.3,-42.8,-40.9,-5,21.3,-24,-1.4,10.8,0.6
S18_selected_tokens_0077,374.6,1934.8,2605.1,-12.2,143.4,-97.8,-1.2,2.9,53,4.2,-2.9,-14.2,-2.3,-24.6,7.2,-1,15.7,5.8
S18_selected_tokens_0078,348.8,2380.1,2879.4,-32.9,339.3,168.4,-5.1,-37.2,93.1,-1.5,-34.2,-36.2,-2.4,-5,-15.2,0.2,13.1,-25.8
S18_selected_tokens_0079,365.1,1999.3,2608.7,-17.6,95.2,56.3,-18.2,145.4,20.3,1.8,-56.8,44.7,-18.2,24.7,34.4,3.2,-26.4,10.8
S18_selected_tokens_0080,339.1,2415.5,2954.6,-41.2,351.4,347,-7.1,-69.3,46.5,1.5,-129.8,-93.3,-7.6,84.7,-72.1,-3.8,-16.9,-32.5
S18_selected_tokens_0081,819.6,2431.5,3256.7,-19.2,227.1,57,-23.8,44.9,78.8,31.9,38,39.7,8.6,38.2,56,12.7,37.4,17
S18_selected_tokens_0082,605.7,2656.6,3448.2,-144.6,527.7,365.5,4.4,-101.3,91.1,49.8,-48.4,-48.6,-2.1,42.2,-25.3,-4.4,16.6,-3.8
S18_selected_tokens_0083,930.4,1995.9,3024.4,29,80.1,-57.7,-11.6,-37.6,8.4,11.1,-7,-0.1,1.5,-10.6,10.5,5.2,3.8,9.2
S18_selected_tokens_0084,662.1,2480.7,3214.3,-157.7,502.8,247.9,0,-138.2,56.2,1.3,-10.3,15.2,4.3,6.8,-1.2,1.3,21.7,18.8
S18_selected_tokens_0085,704.9,2155.8,2860,-110.3,281,92.8,-35.3,-106.7,12.2,7.6,1.7,13.4,-32.1,-22.1,-52.5,9.5,11,41.4
S18_selected_tokens_0086,529.2,2509.9,3107.7,-186.9,444.3,111.5,37,-182.6,-24,23.2,-12.9,42.3,-21,-5.6,-31,-0.3,-20.6,6.9
S18_selected_tokens_0087,788.2,2333.8,3185.6,-50.5,153,-37.1,-11.6,-133.6,-54.6,0,11.1,-8.8,-20.2,-31.4,-48.9,0.6,-13.7,-1.6
S18_selected_tokens_0088,607.4,2506.7,3196.4,-148.8,383.8,130.8,18.4,-216.7,-68.2,19.7,-20.2,-17.1,-11.8,0.6,-32.4,-2.7,7.7,37.9
S18_selected_tokens_0089,874.4,2037.1,2948.7,80.9,55.1,-175.5,-23.4,-18.6,47.3,30,14.9,-23.8,-5.2,8.7,12.6,10.3,3.6,-1.8
S18_selected_tokens_0090,605.2,2534.2,3271.7,-171.9,518,264.8,2.2,-84.5,84.2,25.4,-30.1,-12,-17.9,12.3,-22.5,-7.3,24.8,-8.8
S18_selected_tokens_0091,944.5,2016,3112.1,-43.1,11.6,-142.3,-137.3,10,15.9,-15.6,17.9,-4.2,-33.5,7.6,3.5,-1.1,0.3,-8.5
S18_selected_tokens_0092,577.2,2519.1,3346.9,-269.4,432.5,158.2,8.9,-185.3,-58.3,22.9,-72.5,-109.5,-10.1,16.6,-47.3,-15.5,11.6,9.8
S18_selected_tokens_0093,966.9,2115.7,3081.7,-5.8,91,27.1,-61,-26.9,13.2,4.5,12.4,-18.6,-26.1,-6.8,-4.9,7.1,-1.3,-2.5
S18_selected_tokens_0094,560,2601.4,3334.5,-181.4,363.4,165.2,30.8,-129.8,-70.7,24.4,-36.4,-63.6,-8.5,-5.3,-8.9,-5.9,7.6,3.1
S18_selected_tokens_0095,814.5,2109.9,3255.2,-62.8,-30.3,160.9,-27.1,-150.8,135.6,19.6,0.2,116.5,-9.6,-19,54.6,15.8,-8.9,23.3
S18_selected_tokens_0096,573.6,2462.4,3338.7,-168.8,250,128.1,26.4,-320.6,-97.7,2.6,-26.3,-66.5,-1.4,-47.2,-14.2,2.5,-48.4,1.3
S18_selected_tokens_0097,856.7,2093.3,2928.3,-44.9,24.7,-160.9,-104.2,-4.5,57.1,2.9,-15.9,-30.8,-20.6,1.3,-2.1,3.5,-3.1,-1.1
S18_selected_tokens_0098,528.7,2650.4,3333.7,-172.7,329.4,82.4,31.4,-208.9,-93.4,1.8,33.2,-43.9,-3,-13.9,-2.3,7.3,-17.3,-28.2
S18_selected_tokens_0099,878.7,2130.5,3033.7,-25.2,75,-49.5,-42.8,3.7,29.8,-2.2,14.5,46.1,-16.1,-3.8,48.2,-12.1,2.7,25.5
S18_selected_tokens_0100,507.2,2751.3,3416.3,-170.5,313.8,325.6,26.7,-207.1,52.1,-30.1,25.9,18.3,-24.1,-8.6,30.7,3.9,-25,31.8
