file,winner,F1,F2,F3,edit
S06_selected_tokens_0001,13,13,13,13,0
S06_selected_tokens_0002,7,7,7,7,0
S06_selected_tokens_0003,8,8,8,8,0
S06_selected_tokens_0004,6,6,6,6,0
S06_selected_tokens_0005,13,13,13,13,0
S06_selected_tokens_0006,10,10,10,10,0
S06_selected_tokens_0007,10,10,10,10,0
S06_selected_tokens_0008,12,12,12,12,0
S06_selected_tokens_0009,13,13,13,13,0
S06_selected_tokens_0010,6,6,6,6,0
S06_selected_tokens_0011,12,12,12,12,0
S06_selected_tokens_0012,8,8,8,8,0
S06_selected_tokens_0013,13,13,13,13,0
S06_selected_tokens_0014,12,12,12,12,0
S06_selected_tokens_0015,10,10,10,10,0
S06_selected_tokens_0016,5,5,5,5,0
S06_selected_tokens_0017,4,4,4,4,0
S06_selected_tokens_0018,6,6,6,6,0
S06_selected_tokens_0019,20,20,20,20,0
S06_selected_tokens_0020,12,12,12,12,0
S06_selected_tokens_0021,6,6,6,6,0
S06_selected_tokens_0022,7,7,7,7,0
S06_selected_tokens_0023,13,13,13,13,0
S06_selected_tokens_0024,7,7,7,7,0
S06_selected_tokens_0025,15,15,15,15,0
S06_selected_tokens_0026,9,9,9,9,0
S06_selected_tokens_0027,3,3,3,3,0
S06_selected_tokens_0028,11,11,11,11,0
S06_selected_tokens_0029,6,6,6,6,0
S06_selected_tokens_0030,3,3,3,3,0
S06_selected_tokens_0031,5,5,5,5,0
S06_selected_tokens_0032,10,10,10,10,0
S06_selected_tokens_0033,4,4,4,4,0
S06_selected_tokens_0034,9,9,9,9,0
S06_selected_tokens_0035,5,5,5,5,0
S06_selected_tokens_0036,3,3,3,3,0
S06_selected_tokens_0037,6,6,6,6,0
S06_selected_tokens_0038,9,9,9,9,0
S06_selected_tokens_0039,9,9,9,9,0
S06_selected_tokens_0040,9,9,9,9,0
S06_selected_tokens_0041,7,7,7,7,0
S06_selected_tokens_0042,7,7,7,7,0
S06_selected_tokens_0043,8,8,8,8,0
S06_selected_tokens_0044,9,9,9,9,0
S06_selected_tokens_0045,7,7,7,7,0
S06_selected_tokens_0046,10,10,10,10,0
S06_selected_tokens_0047,10,10,10,10,0
S06_selected_tokens_0048,6,6,6,6,0
S06_selected_tokens_0049,3,3,3,3,0
S06_selected_tokens_0050,6,6,6,6,0
S06_selected_tokens_0051,12,12,12,12,0
S06_selected_tokens_0052,7,7,7,7,0
S06_selected_tokens_0053,7,7,7,7,0
S06_selected_tokens_0054,9,9,9,9,0
S06_selected_tokens_0055,11,11,11,11,0
S06_selected_tokens_0056,10,10,10,10,0
S06_selected_tokens_0057,10,10,10,10,0
S06_selected_tokens_0058,1,1,1,1,0
S06_selected_tokens_0059,2,2,2,2,0
S06_selected_tokens_0060,2,2,2,2,0
S06_selected_tokens_0061,1,1,1,1,0
S06_selected_tokens_0062,5,5,5,5,0
S06_selected_tokens_0063,1,1,1,1,0
S06_selected_tokens_0064,3,3,3,3,0
S06_selected_tokens_0065,1,1,1,1,0
S06_selected_tokens_0066,1,1,1,1,0
S06_selected_tokens_0067,8,8,8,8,0
S06_selected_tokens_0068,2,2,2,2,0
S06_selected_tokens_0069,8,8,8,8,0
S06_selected_tokens_0070,8,8,8,8,0
S06_selected_tokens_0071,1,1,1,1,0
S06_selected_tokens_0072,4,4,4,4,0
S06_selected_tokens_0073,4,4,4,4,0
S06_selected_tokens_0074,3,3,3,3,0
S06_selected_tokens_0075,1,1,1,1,0
S06_selected_tokens_0076,1,1,1,1,0
S06_selected_tokens_0077,2,2,2,2,0
S06_selected_tokens_0078,2,2,2,2,0
S06_selected_tokens_0079,8,8,8,8,0
S06_selected_tokens_0080,13,13,13,13,0
S06_selected_tokens_0081,13,13,13,13,0
S06_selected_tokens_0082,2,2,2,2,0
S06_selected_tokens_0083,3,3,3,3,0
S06_selected_tokens_0084,12,12,12,12,0
S06_selected_tokens_0085,1,1,1,1,0
S06_selected_tokens_0086,13,13,13,13,0
S06_selected_tokens_0087,3,3,3,3,0
S06_selected_tokens_0088,2,2,2,2,0
S06_selected_tokens_0089,12,12,12,12,0
S06_selected_tokens_0090,4,4,4,4,0
S06_selected_tokens_0091,13,13,13,13,0
S06_selected_tokens_0092,5,5,5,5,0
S06_selected_tokens_0093,11,11,11,11,0
S06_selected_tokens_0094,4,4,4,4,0
S06_selected_tokens_0095,7,7,7,7,0
S06_selected_tokens_0096,8,8,8,8,0
S06_selected_tokens_0097,14,14,14,14,0
S06_selected_tokens_0098,13,13,13,13,0
S06_selected_tokens_0099,14,14,14,14,0
S06_selected_tokens_0100,10,10,10,10,0
S06_selected_tokens_0101,13,13,13,13,0
S06_selected_tokens_0102,13,13,13,13,0
S06_selected_tokens_0103,6,6,6,6,0
S06_selected_tokens_0104,15,15,15,15,0
S06_selected_tokens_0105,16,16,16,16,0
S06_selected_tokens_0106,14,14,14,14,0
S06_selected_tokens_0107,10,10,10,10,0
S06_selected_tokens_0108,6,6,6,6,0
S06_selected_tokens_0109,14,14,14,14,0
S06_selected_tokens_0110,13,13,13,13,0
S06_selected_tokens_0111,14,14,14,14,0
S06_selected_tokens_0112,15,15,15,15,0
S06_selected_tokens_0113,8,8,8,8,0
S06_selected_tokens_0114,8,8,8,8,0
S06_selected_tokens_0115,12,12,12,12,0
S06_selected_tokens_0116,14,14,14,14,0
