inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,stress,word,word_interval,word_start,word_end,previous_word,next_word
S06_selected_tokens,S06_selected_tokens_0001,EH,2,0.09,0.04,0.13,-,-,0,1,dental,1,0,0.57,-,-
S06_selected_tokens,S06_selected_tokens_0002,EH,4,0.050000000000000044,0.6403,0.6903,-,-,0,1,dental,3,0.5903,1.1403,-,-
S06_selected_tokens,S06_selected_tokens_0003,EH,6,0.08000000000000007,1.3651,1.4451,-,-,0,1,friendless,5,1.1651,1.9951,-,-
S06_selected_tokens,S06_selected_tokens_0004,EH,8,0.040000000000000036,2.2332,2.2732,-,-,0,1,friendless,7,2.0132,2.8132,-,-
S06_selected_tokens,S06_selected_tokens_0005,EH,10,0.10999999999999988,2.9371,3.0471,-,-,0,1,gemstone,9,2.8371,3.6771,-,-
S06_selected_tokens,S06_selected_tokens_0006,EH,12,0.08000000000000007,3.7739,3.8539,-,-,0,1,gemstone,11,3.6939,4.4639,-,-
S06_selected_tokens,S06_selected_tokens_0007,EH,14,0.1200000000000001,4.6366,4.7566,-,-,0,1,lemon,13,4.4866,5.1266,-,-
S06_selected_tokens,S06_selected_tokens_0008,EH,16,0.09999999999999964,5.2704,5.3704,-,-,0,1,lemon,15,5.1504,5.7504,-,-
S06_selected_tokens,S06_selected_tokens_0009,EH,18,0.10999999999999943,6.1352,6.2452,-,-,0,1,spenders,17,5.8652,6.7752,-,-
S06_selected_tokens,S06_selected_tokens_0010,EH,20,0.07000000000000028,7.1571,7.2271,-,-,0,1,spenders,19,6.8371,7.8071,-,-
S06_selected_tokens,S06_selected_tokens_0011,EH,22,0.09999999999999964,8.1734,8.2734,-,-,0,1,tendons,21,7.9734,8.8934,-,-
S06_selected_tokens,S06_selected_tokens_0012,EH,24,0.0600000000000005,9.0984,9.1584,-,-,0,1,tendons,23,8.9384,9.7584,-,-
S06_selected_tokens,S06_selected_tokens_0013,EH,26,0.08999999999999986,9.9415,10.0315,-,-,0,1,venture,25,9.8615,10.5415,-,-
S06_selected_tokens,S06_selected_tokens_0014,EH,28,0.08999999999999986,10.8393,10.9293,-,-,0,1,venture,27,10.6493,11.3693,-,-
S06_selected_tokens,S06_selected_tokens_0015,EH,30,0.09999999999999964,11.6196,11.7196,-,-,0,1,generates,29,11.4996,12.4396,-,-
S06_selected_tokens,S06_selected_tokens_0016,EH,32,0.05999999999999872,12.7825,12.8425,-,-,0,1,generates,31,12.6425,13.5425,-,-
S06_selected_tokens,S06_selected_tokens_0017,EH,34,0.05999999999999872,13.8785,13.9385,-,-,0,1,sentiments,33,13.6985,14.6185,-,-
S06_selected_tokens,S06_selected_tokens_0018,EH,36,0.040000000000000924,14.9102,14.9502,-,-,0,1,sentiments,35,14.7002,15.6202,-,-
