filename,speaker,item_code,variableN,rowN,variantN,word,variant
S08_5-2-1_moody_M,S08,5-2-1,5,2,1,moody,M
S08_5-8-1_scooted_M,S08,5-8-1,5,8,1,scooted,M
S08_5-8-3_scooted_N,S08,5-8-3,5,8,3,scooted,N
S08_5-9-1_soothingly_M,S08,5-9-1,5,9,1,soothingly,M
S08_6-2-1_channeled_M,S08,6-2-1,6,2,1,channeled,M
S08_6-2-3_channeled_N,S08,6-2-3,6,2,3,channeled,N
S08_6-8-1_randomness_M,S08,6-8-1,6,8,1,randomness,M
S08_6-8-3_randomness_N,S08,6-8-3,6,8,3,randomness,N
S08_6-9-1_banditry_M,S08,6-9-1,6,9,1,banditry,M
S08_7-3-1_padding_M,S08,7-3-1,7,3,1,padding,M
S08_7-9-1_tattletales_M,S08,7-9-1,7,9,1,tattletales,M
S08_7-9-3_tattletales_N,S08,7-9-3,7,9,3,tattletales,N
S08_7-10-1_chattering_M,S08,7-10-1,7,10,1,chattering,M
S08_8-2-1_fastball_M,S08,8-2-1,8,2,1,fastball,M
S08_8-8-1_restlessness_M,S08,8-8-1,8,8,1,restlessness,M
S08_8-8-3_restlessness_N,S08,8-8-3,8,8,3,restlessness,N
S08_8-9-1_wistfulness_M,S08,8-9-1,8,9,1,wistfulness,M
S08_8-9-3_wistfulness_N,S08,8-9-3,8,9,3,wistfulness,N
