filename,speaker,item_code,variableN,rowN,variantN,word,variant
S16_1-1-2_dinners_O,S16,1-1-2,1,1,2,dinners,O
S16_1-1-3_dental_N,S16,1-1-3,1,1,3,dental,N
S16_1-2-3_friendless_N,S16,1-2-3,1,2,3,friendless,N
S16_1-3-3_gemstone_N,S16,1-3-3,1,3,3,gemstone,N
S16_1-4-2_limits_O,S16,1-4-2,1,4,2,limits,O
S16_1-4-3_lemon_N,S16,1-4-3,1,4,3,lemon,N
S16_1-5-2_spindly_O,S16,1-5-2,1,5,2,spindly,O
S16_1-5-3_spenders_N,S16,1-5-3,1,5,3,spenders,N
S16_1-6-2_tinted_O,S16,1-6-2,1,6,2,tinted,O
S16_1-6-3_tendons_N,S16,1-6-3,1,6,3,tendons,N
S16_1-7-2_vintage_O,S16,1-7-2,1,7,2,vintage,O
S16_1-7-3_venture_N,S16,1-7-3,1,7,3,venture,N
S16_1-8-2_gingerbread_O,S16,1-8-2,1,8,2,gingerbread,O
S16_1-8-3_generates_N,S16,1-8-3,1,8,3,generates,N
S16_1-9-2_syndicate_O,S16,1-9-2,1,9,2,syndicate,O
S16_1-9-3_sentiments_N,S16,1-9-3,1,9,3,sentiments,N
S16_1-10-2_vindicates_O,S16,1-10-2,1,10,2,vindicates,O
S16_1-10-3_ventilates_N,S16,1-10-3,1,10,3,ventilates,N
S16_2-1-2_filtered_O,S16,2-1-2,2,1,2,filtered,O
S16_2-1-3_fieldwork_N,S16,2-1-3,2,1,3,fieldwork,N
S16_2-2-2_silly_O,S16,2-2-2,2,2,2,silly,O
S16_2-2-3_ceiling_N,S16,2-2-3,2,2,3,ceiling,N
S16_2-3-2_hilltop_O,S16,2-3-2,2,3,2,hilltop,O
S16_2-3-3_healers_N,S16,2-3-3,2,3,3,healers,N
S16_2-4-2_mildew_O,S16,2-4-2,2,4,2,mildew,O
S16_2-4-3_mealtime_N,S16,2-4-3,2,4,3,mealtime,N
S16_2-5-2_pillars_O,S16,2-5-2,2,5,2,pillars,O
S16_2-5-3_peeling_N,S16,2-5-3,2,5,3,peeling,N
S16_2-6-2_willow_O,S16,2-6-2,2,6,2,willow,O
S16_2-6-3_wheelchair_N,S16,2-6-3,2,6,3,wheelchair,N
S16_2-7-2_wilted_O,S16,2-7-2,2,7,2,wilted,O
S16_2-7-3_wielding_N,S16,2-7-3,2,7,3,wielding,N
S16_2-8-2_stillbirths_O,S16,2-8-2,2,8,2,stillbirths,O
S16_2-8-3_steelworks_N,S16,2-8-3,2,8,3,steelworks,N
S16_2-9-2_diligence_O,S16,2-9-2,2,9,2,diligence,O
S16_2-9-3_dealership_N,S16,2-9-3,2,9,3,dealership,N
