e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
348.8,354.1,122.5,45.7,45,48.4,54.2,64.7,68.6,78.9,73.8,70.6,70.2,75.4,81.2,82.7,156.6,389.1,599.5,1046.4
360.1,348.3,47.4,42.5,40.9,41,41.6,42.8,46,65.4,82.8,74.9,74.3,80.4,229.5,461.3,624.3,365.4,328.3,550.4
169.4,129.3,81.3,56.4,57.2,62,89.8,164.8,133.5,100.7,99.4,109.1,117.8,122.8,425.2,296.8,548.7,702.7,386,542.5
441.7,433.1,36,34.7,35,40,45.6,49.3,55.4,68.3,64.7,61,61.5,64.4,69.7,80.2,110.4,115.3,273.6,745.7
481,40.9,40.2,37.4,43,77,95.9,93.7,78.8,81.6,83,81.3,94.6,340.8,580,296.4,347.1,424.2,693.6,762.6
337,351.6,321.6,325.4,208.8,236.5,191.5,211.8,168.1,172.5,190.8,178,258.4,190.3,355.8,315,384.6,116.8,121.3,245.5
10255.3,10231.7,10317,313.5,339.5,388.4,106.7,97.5,124.9,174.6,149,152.4,152.6,185.9,395.9,741.7,821.7,1083.1,855.1,931.9
410,231.3,35.3,31.5,31.1,30.7,32.9,48.2,43.5,52.1,102.3,107.5,96.8,100.6,113.5,137,184.9,177.8,315.4,699.9
318.3,331.9,285.8,377.5,259.3,56.2,47.1,49.7,73.6,61,52,47.2,43.3,49,188.9,624.7,630,593.9,626.2,1113.8
319.8,251.2,245.4,204.9,236.6,52.5,49.6,53.2,73.7,61.2,75,81.4,100.8,79.6,80.7,82.6,434.4,440.6,341.1,431.6
215.2,234.3,233.2,57.4,57.8,231.3,187.4,88.9,87.5,64,61,61.6,64.2,65,70.5,433.7,546.5,488.9,802.8,842.1
367.8,464,380.2,342.1,259.2,315.2,312,340.8,173,166.3,98.2,99.8,98.5,117.8,272.2,448.5,503.3,555.2,638.1,679.6
411.1,276.1,237.5,137.8,160.2,136.4,160,113.4,138.7,164.5,179.3,202.9,201.3,427.6,412,423.7,1018.4,995.2,883.1,903.7
262.6,38.1,37.3,34.5,34.9,37.1,37,41.6,54,50.8,55,68,67,64,69.3,93,213.9,235.1,387.2,459.9
447,42.1,41.8,43.1,56.5,56.2,65.4,67.6,63.6,59.9,57.2,66.6,241.2,541.3,558.5,545.6,582.2,596.8,549.8,444.2
43.1,28.5,27.5,28.7,33,40.6,42.6,42.1,41.8,46.4,88.4,60.5,54.6,55.5,60,70,99.1,538.7,419,666.4
54.6,68.8,186.9,191.6,249.3,79.1,86.5,99.2,79.6,67.6,62.8,47.7,56.6,234.4,485.9,446.9,385,396,710.3,523.5
180.3,166.6,182.7,173.4,94.1,101.5,104.9,113.7,251,160.6,249.8,243.1,278.6,478,445.3,503.6,728.5,822.5,622.4,683.6
312.9,289.1,22.6,26.2,43.8,41.9,46.4,35.2,30.3,29,31.1,32.5,33.3,36,36.6,40.9,54.4,281.6,330.2,532.4
10272.3,10292,10315.9,245.4,57,55.3,56.5,54.3,55.9,99.9,124.2,95.1,82.7,67.5,85,125.9,173.8,173.4,162.2,145.6
361.8,340.8,176.5,158.3,136.8,54.3,57,56.7,66.7,57,52.6,57.4,109.9,205.4,303.6,319.7,303.8,298,353.3,383.8
107.7,95.2,193.3,237.3,210.2,197,194.1,189.7,217.7,367.8,178,193.5,193.1,136.6,157.6,246.2,211.3,136.8,132.1,1446.1
103.4,47.4,39.5,34.9,37,46.1,219.7,238.1,261.7,416.5,277.1,206.5,116.3,113.9,155.6,280.1,269.2,309.3,330.5,369.1
10539,365.7,204.2,130.5,55.8,48.5,48,63.6,100.1,179.7,152.2,131.5,137.3,109.8,157.6,270.5,272.1,288,1056.7,438.5
614.7,342.9,45.1,34.1,32.9,33.8,41.9,55.5,135.2,332.8,322.5,239.9,201.6,211.4,262.8,372.6,452.5,468.6,275.5,282.3
211.8,41.9,41.8,45,49.7,60.1,45.2,42.7,43.5,48.5,64.6,255,274.1,140.1,182,287.8,272.3,183.4,172.5,178.3
554.8,153.9,34.7,35.6,119.8,82.1,54,36.8,36.8,38.7,46.8,59.4,70.3,80.7,86,119.8,144.6,115.8,364.9,619.1
10245.7,376.5,49.5,46.4,45.7,56.4,63.7,64.9,73.5,99,107.7,211,193.5,208.8,296.3,112.3,124.2,408,910.7,544.5
426.4,264.3,34.3,34,36.1,54.7,150.2,201.7,119.6,146.8,326.4,415.4,195.8,168,298.3,454.3,564.1,487.4,384.4,364.2
24.4,24.5,30.6,30.4,29.7,31.4,31,32.4,73.4,75.3,70.4,95.8,104.9,95.4,60,70.3,139.5,233.6,303.4,292.1
25.8,25,26,28,31.9,53.2,67.1,56.9,51.6,49.4,57.5,157.1,206,228.4,159.5,188,165,135.1,118.7,145.9
274.2,292.6,312.2,51.7,54,59.8,67,71.6,154.7,250.1,161.9,261.2,241.6,278.8,282,315.5,538.9,564.4,501.6,621.7
32.6,31.4,30.3,29.6,29.5,33.7,139.5,250.5,262.7,258.6,310.2,297.7,304.9,292,338.2,352.5,389.8,398.4,428.1,486
188.5,115.7,649.8,60.3,60.9,59.9,61.4,59.8,68,73.5,69.5,84.9,103.3,251.2,283.3,293.3,345.3,290,319,572.2
294.7,566,27.3,127.5,26.3,25.5,26.4,30.7,31.1,30.1,28.5,39.2,42.8,54.3,65.3,59.1,45.6,51.9,740.4,1004.7
310.5,191,496.8,141.7,30.1,30.4,33.3,33.4,27.5,26.4,26.3,27.6,29.5,32.2,38.6,52.9,87.6,149.9,481.9,952.1
443,337.2,349.7,19.5,21.1,22.4,22.6,21.6,18.3,17.7,39.4,33.2,28.1,27.1,27.7,37.7,145.3,190.7,184.1,176.7
26.5,29.1,36.1,33.3,183.2,295.3,315.9,340.1,331.9,331.4,324.1,327.9,309.9,317.7,372,372.2,387.3,460.3,403.3,402.1
355.5,336.1,31.3,29.9,28.9,26.4,28.6,33.9,37.8,41.1,181,172.5,174.4,157.3,238.6,253.3,309.8,318.4,330.3,235.8
150.9,108.5,82.4,217.1,340.5,452.8,239.3,362.3,63.6,66,63.9,62.9,62.5,68.5,61.6,87.2,102.7,79.1,68.2,67.7
202.6,139.2,133.9,264.7,284.4,223.9,319.3,245.1,259.2,284.3,190,45.6,45,46.9,50.6,118.3,71.6,68.6,81.7,80.1
62.2,62.8,205.8,454.8,295.5,271.2,32.9,29.2,26.5,24.1,20.9,23.9,31.3,35.7,36,34.6,31,28.6,27.8,51.8
90.2,70.3,523.6,249.8,138.8,30.4,29,27.7,28.3,38.2,55.1,58.4,60,48.9,42.3,41.8,38.1,39.8,39.3,46
90.3,98.2,166.1,197.8,201.5,188.7,156.7,41,36.2,36.4,35.2,35.7,31.5,29.5,31,31.3,31.1,31.4,31.9,35.1
78,88.7,335.5,321.9,567.6,248.4,49.5,45.5,42.8,46.9,50.6,51.3,60.1,64.1,64.5,59.9,64.7,75.4,72.8,73.6
97.7,95,87,95.6,135.2,241.8,588.9,380.3,281.7,427.4,52,51.5,54.2,61,57.5,52.7,49.3,47.7,52.5,53.6
98.2,103.2,474.5,355,199,245.6,60.4,55.6,59.3,74.3,83.3,70.7,53.5,49,51.1,53.4,53.4,55.5,52.5,63
227,228.4,281.9,442.3,51.8,45.9,44.2,41.1,47.9,51.5,50.2,51.5,51.7,53.2,51.1,58.6,69.1,72.5,70.3,73
327.7,452,677.4,540.6,609.6,37.3,39.1,35.9,29.8,34.2,42.3,42.8,42.5,130.5,102.5,125.2,125.4,100,82.9,85.7
148,100.4,102.6,50.4,130.5,256.9,44.9,41.6,36.9,39.5,44.5,45.1,38.3,34.6,35.9,37,37.1,39.2,39.6,40.2
132.5,82.3,61.7,76.9,68.4,269,226.7,251.8,55.1,54.6,174.4,102.8,65,67.2,63.5,56.4,66,73.5,64.6,67.8
40,48.7,275,64.9,116.7,97,73.8,120.9,33.6,24.8,24.3,22.6,20.5,19.9,21.3,24.1,27,32,38.5,45.6
465,522.7,433.2,563.5,110.4,146.4,146.7,33.1,30.9,29.8,29.1,29.8,34.3,39.2,36.3,36.6,31.6,34.4,37.2,41.9
328.1,246.3,624.8,300.7,258.9,55.2,67.7,81.3,88.2,93.7,75.2,73.7,82.5,94.2,98.4,98.5,109,92.7,77.7,67.6
109.5,330,321.4,234.9,253.8,31.4,34.8,36.1,41.1,39.9,48.1,57.4,52.2,45.4,42.1,42.7,57.6,83.5,85.1,133.1
102.7,425.9,406.6,150.6,151.5,198.2,187.6,64.9,74.2,81.2,80.5,83.6,61.9,57.4,57.4,57.1,56.9,57.6,61.4,63.6
116.3,407.8,420.8,276.4,148.9,48.2,46.6,48.2,44.9,90.7,131.3,106.3,71.6,63.8,60.2,60.2,62.7,66.1,66.5,70.3
179.5,100.7,518,393.2,409.1,380.6,162.8,41,40.5,40.8,41.4,39.7,37,32.7,34,36.3,37.2,39.5,37.1,35.7
104.3,96.6,446.2,505.6,43.8,45.8,44.9,42.6,48.5,49.9,48.8,68.2,54,50.3,49.7,46.8,48.1,48.2,50.9,57.4
10121.5,141.9,144.7,331.5,10302.7,10175.3,10717.5,236.6,48.2,49.3,55.1,280.6,366.6,186.8,141.6,82.8,67.6,61.4,57.9,55.2
157.9,159.3,244,10235.7,10303.7,10623.1,546.6,63.9,65.1,159.1,307.7,328.2,220.6,138.9,93.3,72.8,60,71,98.8,121.7
203,124.4,113.5,107.2,125.2,395.1,399.3,680.2,46.9,43.4,42.5,46.5,70.7,172.2,161.5,133.2,136.1,78.4,83.2,86.7
233.5,302.1,369,310.4,570.3,10346.1,10525,327.3,50.5,52.2,57.1,63.5,75.2,100.8,89.2,69.9,63.7,67.4,76,85.2
190.9,267.1,547.7,385.7,514.8,793.7,185.9,481.3,564.5,55.2,52.8,50.3,50,63.5,141.5,191.5,185.5,109.6,100.8,99.6
10329.5,10241.3,303,324.9,209.9,412.5,81.9,32.5,33.2,40.2,57.7,357.8,230,218.7,112.1,115.8,100.1,98.6,101.7,108.9
344.8,642.1,464.2,547,570.4,885.2,755.3,365,219,202,211.5,370.5,404.9,348.2,347.2,469.2,168.9,121.3,125.5,126
316.6,350.1,340.4,361.8,452.3,10558.2,10441.1,387.7,53.6,55.9,57.9,64.1,69.8,87.1,83.4,77.7,67.6,62.4,59.3,60.4
248,294.9,261.3,596,516.6,784.3,543.6,454.9,184.4,75.5,51.1,358.8,326.4,345.2,446.9,396.7,49.4,51.3,54,55.9
10554.6,10676.1,10681.4,785.4,744,707.5,584.7,268,57.5,67.2,68.7,90.6,150.8,193.4,174.3,173,175,161.5,164,214.7
120.9,152.8,162.2,294.1,300,291.3,683.8,551.1,116.4,66.7,135.9,201.6,233.6,267.3,217.6,119,42.9,45.3,51.5,56.4
357.4,402.2,386.1,388.1,421.2,10332.1,10326.1,397.6,39,34.9,113.6,99.7,88.1,56.6,55,59.7,56.1,55.4,59.3,110.4
228.4,375.4,630.6,567.9,980.8,761,623.7,162.6,113.8,74.2,188.7,154.4,153.3,228.7,223,164.8,127.5,122.9,121.9,152.2
10390.4,10494.7,10520.7,416.3,10273.3,10284.8,450.9,257.4,58.7,164.7,75.7,106.9,224.4,189.5,147.8,103.9,80.1,75.5,90.1,111.8
579.8,282.1,214,233.5,369.8,604,572,406.3,266.3,68.6,71.7,80.6,98,181.5,145.3,148.8,145.6,142.8,138.2,157.2
242.8,142.6,372.9,532,535.3,387.2,334.7,54.4,52.1,63.5,81.6,91.2,90.8,81.7,73.8,71.5,68.9,69.4,72.9,81.5
10269,217.1,272,404.4,353.5,351.4,357.9,449.9,407,413.7,256.4,323,297,52,58.4,75.6,82.7,94.8,101.8,92.9
10397.5,10454,10517.4,513,56.9,452.3,168.9,43.6,34.5,35.3,40.4,52.5,66.6,111.6,101.2,96.6,104.5,115.3,128.7,154.1
10180.3,10244.3,10389,207.7,405.5,308.6,323.3,274.4,248.1,320.1,244.7,114.8,50.4,36.2,36.3,39.5,40.3,42.7,43.3,42.2
211.8,204.1,345.9,10294.5,10412.2,400,31.9,31.3,31.3,33.8,38.2,43.4,46.3,41.2,45.4,47.4,47.6,49.7,52.9,55.4
