a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
2071.4,1982.1,1992.2,2035.5,2342.4,2787.8,2775.3,2814.5,2835,2839.5,2831.9,2814.8,2800.4,2797.7,2787.9,2812.7,2851.6,2898.5,2941.4,2989.9
2744.9,2841.6,2843.4,2846.7,2831.8,2856.6,2855.9,2856.9,2859.6,2863.4,2862.3,2850.3,2828.4,2820.5,2822.1,2838.4,2862.7,2897,2952.1,3022.9
1961.2,1961.9,2005.6,2565.5,2731.2,2863.8,2975.8,2992.9,3007.7,3028.5,3049.1,3056.1,3056.6,3057.7,2988.9,2990.7,3010,3036.4,3078.6,3142.5
2046.4,2296.2,2429.8,2482.4,2623.6,2701.7,2778.8,2789.9,2802.4,2821.5,2818.8,2807.4,2817.8,2828.7,2860.4,2866.5,2908,2963.3,3060.1,3165
2701.7,2515.4,2376.8,2593.6,2755.6,2759.7,2768.3,2779.8,2789.1,2790.1,2784.5,2784.5,2791,2796.8,2796.9,2811.1,2837.7,2865.6,2896.2,2928.3
2767.9,2772.4,2773.7,2771.9,2774.7,2780.5,2787.5,2795.4,2795.3,2771.2,2756.2,2763.3,2786.5,2817.5,2852.1,2883.2,2911.3,2932.7,2944.7,2971.7
2213.6,2465.3,2648.9,2334.1,2230.6,2836.9,3031.8,3025.4,3030,3040.1,3051.4,3060.9,3061.1,3054.7,3044.2,3031.4,3034,3049.3,3066.3,3091.1
2679.3,2901.5,2960.1,2962.4,2965.6,2966.9,2968.4,2974.8,2983.9,2997.5,3010.3,3017.4,2998.9,2966.3,2928.2,2900.3,2909.5,2939.6,3002.7,3106.7
2301,2397,2320,2246.7,2833.3,2993.5,2983,2984.7,2994.2,3006.2,3017.5,3025.6,3024.6,3013.9,2989.9,2971.5,2957.2,2959.1,2966.1,2965.3
2556.6,2783.1,2832.5,2911,2923.2,2915.3,2915.6,2924.1,2936.8,2969.3,2980.1,2953.4,2932.3,2932.9,2942.4,2959.6,2937.4,2961.4,2979.7,3023.5
2213,2387,2492.6,2707,2784.8,2853.9,2932.4,2946.1,2958.4,2974.2,2993.1,3005.5,3007.2,2981.5,2931.4,2914.4,2928.8,2929.2,2978.5,3047.5
2255.7,2445.9,2974.7,2981.5,2981.2,2965.3,2958.5,2964,2978.8,3004.8,3036.8,3071,3072.1,2932,2837.6,2797.5,2806.8,2898.9,3061.2,3276.9
2622.1,2452.6,2367.2,2457.6,2809.5,2844.4,2845.9,2850.6,2856.3,2859.4,2849.1,2849.6,2859.5,2869.5,2881,2900.3,2924.2,2942.9,2960,2982.1
2820.6,2879.1,2887.5,2883.6,2874.6,2875.7,2885.9,2906.9,2927.8,2946.6,2911.4,2870.5,2877.4,2905,2939.8,2973,2981.4,3001.3,3041.2,3106.9
2325.5,2703.7,2541.2,2556.5,2823.5,3014.5,3002.1,3005.9,3028,3055,3069.8,3071.3,3072.5,3073.5,3078.4,3084.4,3088.9,3089.5,3086.6,3075.9
2877.1,2877.9,2880.2,2879.2,2880,2882.5,2888.2,2898.8,2903.8,2903.1,2902.7,2903.4,2905.6,2908.1,2912.3,2916.4,2918.8,2923.8,2921.3,2929.7
2210.3,2318.2,2283.9,1970,2110.9,2470.3,2789.4,2954.1,2961,2965.9,2972.3,2975.5,2971,2956.7,2949.4,2941.1,2946.1,2957.2,2982.1,3009.5
2360.6,2745.4,2380.8,2677.6,2889,2876.9,2873.9,2877.1,2900.1,2911.8,2917,2918.1,2912.9,2900,2891.4,2873.6,2881.7,2889.9,2922.5,2962.6
2757.6,2722.5,2367.3,2316.2,2604.6,2803.9,2804.3,2812,2820.8,2823.3,2811.4,2798.7,2798.2,2806.5,2819,2839.7,2869.2,2902.6,2937,2975
2652.6,2775.2,2716.4,2602,2682,2793,2788.1,2789.5,2796.2,2802.6,2793.1,2767,2737.9,2738.4,2757,2784.9,2830.9,2887,2962.6,3049.6
2671.1,2678.2,2526.9,2532.9,2631.7,2863.7,2883.9,2926.5,2884.1,2906,2929.3,2929.1,2927.6,2924.2,2927.7,2932.8,2939.2,2977.6,2982.8,2991.4
2609.1,2291.1,2196,1938.2,2265.9,2831.5,2882.9,2884.7,2888.5,2892.1,2885.6,2872.3,2869,2877.5,2890.7,2907,2923.1,2941.3,2956,2975.6
2417.2,2471.4,2621.1,2541.2,2505.4,2601.2,2699.4,2807.3,2853.6,2851.1,2855.3,2861.2,2862.2,2840.7,2810.3,2803.1,2807.6,2819.5,2829.8,2844.5
2373.5,2585.2,2835.2,2621.7,2761.5,2891.6,2906,2905.7,2908,2911,2913.9,2914.7,2913.9,2905.6,2890,2884.2,2891,2906.8,2927.9,2950.8
2700,2851.1,2952.2,3046.7,3026.8,3040.9,3085.1,3109,3112.9,3117.2,3130.5,3133,3131.9,3115.5,3111.9,3110.1,3046.5,3043.7,3060.2,3190.7
2360.1,2483.6,2810.2,2944.9,2984.8,2984.7,3032.7,3027.7,3026.6,3037.3,3046.7,3061.9,3069.1,3066.6,2953.8,2946.7,2957.6,2994.2,3100.7,3181.7
2596.9,2603.2,2764.5,2846.9,2932.1,3025.6,3111.3,3038.2,3045.6,3116.5,3187.6,3271.7,3361.4,3404.2,3420.7,3410.5,3355.5,3347.6,3428.1,3488.2
2232.5,2470.7,2725.1,2814.9,2997,3084.9,3083.6,3078.6,3077.1,3083.6,3099.8,3114.5,3126.9,3118.2,3078.9,3049.5,3040.4,3041.8,3071.3,3111.5
2679,2773.2,2904.5,2907.8,2924.4,2984,3010.9,3007.5,3018.5,3029.5,3036.2,3038.9,3034.1,3022.1,3021.6,3024.6,2994.5,3014,3100.6,3232.3
2297.7,2693.5,2868.1,2892.2,2891,2916.2,2945.5,2958.7,2965,2976.9,2985.8,2994,2989.7,2975.3,2958.4,2943.8,2933.7,2993,3037.3,3078
2293.9,2492.3,2759.5,2879.3,2877.3,2871.8,2871.9,2875.5,2883.9,2892.4,2885.6,2875.7,2830.2,2821.8,2835.5,2858.3,2882.8,2900.9,2948.4,2988.9
2536.7,2803.9,2804.6,2802.1,2798.9,2797.6,2799.3,2805.8,2816,2826.9,2825.7,2757.2,2726.2,2741.9,2768.6,2795.2,2816.8,2831.9,2825.6,2831.9
2524.7,2714.4,2811.1,2866.2,2888.5,2882,2879.6,2883.2,2888.8,2888,2886.7,2886.5,2815.7,2814.4,2872,2857.2,2836.7,3053.7,3289.2,3638.3
2450.8,2763,2901.7,2897.4,2893.4,2894.6,2898.1,2904.7,2914.6,2926.2,2876.2,2855.3,2861.5,2879.1,2904.3,2938.2,2973.8,2966.9,2944.2,2962.7
2695.1,2870.8,2954.3,2974.6,2996.8,3036.7,3067.9,3075.8,3084.2,3090.7,3100.4,3126.9,3151.2,3147.4,3106.1,3063.7,3056.8,3075.1,3144.6,3334.9
2251.7,2661.4,2929.1,2983.8,2984.8,2986.6,2984.1,2982.9,2984.7,2990.1,2997.7,3008.9,3020.2,3019.9,2993.6,2970.9,2959.1,2960.6,2971.3,2992.8
2459.5,2544.7,2888.8,2970.9,2982.8,2984.4,2979.7,2973.6,2978.2,2984,2997.5,3003.4,2984.3,2940,2926.4,2923.4,2942.5,2963.5,2975.8,3019
2614.4,2753.9,2828.1,2872.9,2878,2876.6,2873.1,2878,2883.5,2889.2,2880.9,2841.6,2823.2,2820.5,2826,2921.6,2932.3,2956.2,3060,3117.6
2389.7,2535.9,2778.2,2868.9,2882.2,2879.2,2877.6,2880.3,2888.6,2881.5,2883.8,2878.4,2877.7,2880.4,2856.5,2877.1,3070.1,3106.8,3173.3,3209.6
2580.9,2764.2,2861.1,2869,2870.9,2867.3,2864.6,2870.2,2879.1,2891,2898.8,2890.6,2872.8,2865.2,2872,2890.3,2914,2926.4,2927.9,2953.8
2500.1,2570.9,2773.1,2771,2773.2,2777.2,2782,2787.7,2793.2,2793.7,2771.4,2732.1,2736.3,2759.3,2791.7,2827.8,2972.1,2987.5,3019.8,3045.1
