filename,speaker,item_code,variableN,rowN,variantN,word,variant
S18_1-1-1_dental_M,S18,1-1-1,1,1,1,dental,M
S18_1-1-3_dental_N,S18,1-1-3,1,1,3,dental,N
S18_1-2-1_friendless_M,S18,1-2-1,1,2,1,friendless,M
S18_1-2-3_friendless_N,S18,1-2-3,1,2,3,friendless,N
S18_1-3-1_gemstone_M,S18,1-3-1,1,3,1,gemstone,M
S18_1-3-3_gemstone_N,S18,1-3-3,1,3,3,gemstone,N
S18_1-4-1_lemon_M,S18,1-4-1,1,4,1,lemon,M
S18_1-4-3_lemon_N,S18,1-4-3,1,4,3,lemon,N
S18_1-5-1_spenders_M,S18,1-5-1,1,5,1,spenders,M
S18_1-5-3_spenders_N,S18,1-5-3,1,5,3,spenders,N
S18_1-6-1_tendons_M,S18,1-6-1,1,6,1,tendons,M
S18_1-6-3_tendons_N,S18,1-6-3,1,6,3,tendons,N
S18_1-7-1_venture_M,S18,1-7-1,1,7,1,venture,M
S18_1-7-3_venture_N,S18,1-7-3,1,7,3,venture,N
S18_1-8-1_generates_M,S18,1-8-1,1,8,1,generates,M
S18_1-8-3_generates_N,S18,1-8-3,1,8,3,generates,N
S18_1-9-1_sentiments_M,S18,1-9-1,1,9,1,sentiments,M
S18_1-9-3_sentiments_N,S18,1-9-3,1,9,3,sentiments,N
S18_1-10-1_ventilates_M,S18,1-10-1,1,10,1,ventilates,M
S18_1-10-3_ventilates_N,S18,1-10-3,1,10,3,ventilates,N
S18_2-1-1_fieldwork_M,S18,2-1-1,2,1,1,fieldwork,M
S18_2-1-3_fieldwork_N,S18,2-1-3,2,1,3,fieldwork,N
S18_2-2-1_ceiling_M,S18,2-2-1,2,2,1,ceiling,M
S18_2-2-3_ceiling_N,S18,2-2-3,2,2,3,ceiling,N
S18_2-3-1_healers_M,S18,2-3-1,2,3,1,healers,M
S18_2-3-3_healers_N,S18,2-3-3,2,3,3,healers,N
S18_2-4-1_mealtime_M,S18,2-4-1,2,4,1,mealtime,M
S18_2-4-3_mealtime_N,S18,2-4-3,2,4,3,mealtime,N
S18_2-5-1_peeling_M,S18,2-5-1,2,5,1,peeling,M
S18_2-5-3_peeling_N,S18,2-5-3,2,5,3,peeling,N
S18_2-6-1_wheelchair_M,S18,2-6-1,2,6,1,wheelchair,M
S18_2-6-3_wheelchair_N,S18,2-6-3,2,6,3,wheelchair,N
S18_2-7-1_wielding_M,S18,2-7-1,2,7,1,wielding,M
S18_2-7-3_wielding_N,S18,2-7-3,2,7,3,wielding,N
S18_2-8-1_steelworks_M,S18,2-8-1,2,8,1,steelworks,M
S18_2-8-3_steelworks_N,S18,2-8-3,2,8,3,steelworks,N
S18_2-9-1_dealership_M,S18,2-9-1,2,9,1,dealership,M
S18_2-9-3_dealership_N,S18,2-9-3,2,9,3,dealership,N
S18_2-10-1_wheelbarrow_M,S18,2-10-1,2,10,1,wheelbarrow,M
S18_2-10-3_wheelbarrow_N,S18,2-10-3,2,10,3,wheelbarrow,N
S18_3-1-1_featherweight_M,S18,3-1-1,3,1,1,featherweight,M
S18_3-1-3_featherweight_N,S18,3-1-3,3,1,3,featherweight,N
S18_3-2-1_leathery_M,S18,3-2-1,3,2,1,leathery,M
S18_3-2-3_leathery_N,S18,3-2-3,3,2,3,leathery,N
S18_3-3-1_mothership_M,S18,3-3-1,3,3,1,mothership,M
S18_3-3-3_mothership_N,S18,3-3-3,3,3,3,mothership,N
S18_3-4-1_worthiest_M,S18,3-4-1,3,4,1,worthiest,M
S18_3-4-3_worthiest_N,S18,3-4-3,3,4,3,worthiest,N
S18_3-5-1_otherness_M,S18,3-5-1,3,5,1,otherness,M
S18_3-5-3_otherness_N,S18,3-5-3,3,5,3,otherness,N
S18_3-6-1_heathers_M,S18,3-6-1,3,6,1,heathers,M
S18_3-6-3_heathers_N,S18,3-6-3,3,6,3,heathers,N
S18_3-7-1_lathers_M,S18,3-7-1,3,7,1,lathers,M
S18_3-7-3_lathers_N,S18,3-7-3,3,7,3,lathers,N
S18_3-8-1_othered_M,S18,3-8-1,3,8,1,othered,M
S18_3-8-3_othered_N,S18,3-8-3,3,8,3,othered,N
S18_3-9-1_fathered_M,S18,3-9-1,3,9,1,fathered,M
S18_3-9-3_fathered_N,S18,3-9-3,3,9,3,fathered,N
S18_3-10-1_weathered_M,S18,3-10-1,3,10,1,weathered,M
S18_3-10-3_weathered_N,S18,3-10-3,3,10,3,weathered,N
S18_4-1-1_coding_M,S18,4-1-1,4,1,1,coding,M
S18_4-1-3_coding_N,S18,4-1-3,4,1,3,coding,N
S18_4-2-1_goaded_M,S18,4-2-1,4,2,1,goaded,M
S18_4-2-3_goaded_N,S18,4-2-3,4,2,3,goaded,N
S18_4-3-1_hoses_M,S18,4-3-1,4,3,1,hoses,M
S18_4-3-3_hoses_N,S18,4-3-3,4,3,3,hoses,N
