file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
S16_selected_tokens_0001,532.1,1947.3,2800.4,66.4,39.4,-53.1,-70.9,37.4,76.5,-6.8,-1,-4.8,-0.4,-6.4,45.5,13.5,6.6,5.6
S16_selected_tokens_0002,474.9,2092.5,2838.4,20.6,129.8,47,-32.6,-45.2,9.8,10.8,-26.5,-11.9,-11.4,15,-9.4,4.8,-3.7,6.6
S16_selected_tokens_0003,577.2,1866.5,2990.7,109.3,-71.5,-146,-70,-31.5,-106.5,3.1,-6.3,-132.6,-8.3,-6.1,-49,-8.2,-7.6,-2.6
S16_selected_tokens_0004,540.3,1944.8,2802.4,64.6,-62.3,-347.9,-40.3,-84.7,-96.7,10.8,-16.2,-25.5,3.3,-25.9,-15,-9.9,3.3,16.3
S16_selected_tokens_0005,514.7,1844.4,2768.3,18,217.1,-29.6,3.4,25.6,43.7,0.4,11.8,25.4,3.5,17.6,5.2,0.7,-7.4,16.2
S16_selected_tokens_0006,509.5,2020.4,2795.3,-1.1,168.4,33.3,-12.4,7.6,27.1,-1.3,4.8,13.4,-4.9,-25.7,-2.2,0.3,5.9,-2.1
S16_selected_tokens_0007,528,1751.7,3031.8,49.3,-215.4,42.1,-75.6,-61.2,5.5,-25.2,-49.5,7.4,12.4,-26.7,-13.8,1.4,-24.3,-12.3
S16_selected_tokens_0008,553,1825.5,2960.1,15.1,-77.1,-60.3,-9.1,-35.7,1.7,1.9,-19.7,3.7,-10,-27.6,2.8,0.5,-25.2,-1.6
S16_selected_tokens_0009,481.2,2113.5,3024.6,68.7,-64.3,-34.8,-12.5,-98.4,9.5,6.2,3.2,13.4,-4.4,-24.6,-10.2,10.6,17.3,2.2
S16_selected_tokens_0010,484.6,2236.2,2969.3,6.9,28.7,-58.5,-19.9,-20.9,-22.9,-3.5,-3.2,-14.6,-9,-0.5,-17.8,3.5,1.2,2.5
S16_selected_tokens_0011,399.7,2142.2,2974.2,-66,-27.2,10.3,-7.9,-9.8,3.8,-7.1,3.4,10.3,1.5,-4.2,4.1,3.7,2.5,-27.4
S16_selected_tokens_0012,535.8,2222.2,2981.5,3.5,53.4,1.2,-12.8,9.3,10.7,1,20.1,42.7,-6.4,-2.8,14.9,0.3,4,-0.2
S16_selected_tokens_0013,555.2,2012.4,2845.9,-9.9,-114.4,-164.7,-6.9,7.6,7.1,3.6,-2.8,2,-1.3,-1.9,1.1,4,-2.2,-7.7
S16_selected_tokens_0014,477.5,2247.1,2927.8,34.5,-75.3,-124.4,-36.9,-13.3,-23.4,10,-8.7,-3.7,-16.4,-11.6,-1.7,5.3,-4.7,3.5
S16_selected_tokens_0015,548.9,2030.7,3014.5,46.8,25.9,34.2,-21,0.7,-9,6.9,41.1,-9.7,3.1,3.2,-42.8,4,20.8,-25.7
S16_selected_tokens_0016,469.7,2125.1,2918.8,26.1,94.4,10.3,-17.7,1.4,14.4,4.4,4.3,12.3,-6.8,-3.4,4.8,2.2,-0.4,3.4
S16_selected_tokens_0017,539.3,1966.5,2965.9,41.6,-1.1,-93,0.9,-0.4,10.1,0.1,6.8,-11.1,-3.5,-3.4,-15.7,5.8,1.7,10.2
S16_selected_tokens_0018,534.9,2041.9,2911.8,15.7,-2.5,-30.1,-21.1,-3.7,-10.8,9.6,-1.3,9.9,-7.7,-0.7,-12.2,1.5,2.4,0.5
S16_selected_tokens_0019,532.7,1970.7,2812,2.6,-58.8,-77.3,-4,-14,9.9,1,-1.3,-7.8,-1.3,-0.8,-9.9,0.1,-4.3,10.6
S16_selected_tokens_0020,429.4,2073.7,2757,44.7,9.7,35.9,-17.7,-1.3,-51.3,-0.9,2.6,0.1,-6.2,7,1.3,0.6,3.4,-0.3
S16_selected_tokens_0021,464.5,2249,2939.2,-128.6,506.2,64.2,-15.8,-205.6,53.1,17.2,12.3,-46.8,-3.9,4.8,-10.5,-9.6,13.4,0.2
S16_selected_tokens_0022,564.1,1788.4,2882.9,-4,159.9,-91,-4.2,12.6,33.5,-3,35.1,-17.3,-1.5,-26.4,8.9,-2.1,18.2,-5
S16_selected_tokens_0023,486.7,2157.8,2861.2,-83,435,-107.7,-23.9,-159.9,80.3,9.8,-6.8,-36.9,-1.2,-12,-4.9,-5.2,-10.1,-12.8
S16_selected_tokens_0024,543.9,1804.4,2913.9,-16,251.3,-132.2,-8.5,-65.4,43.1,-3.3,-7.8,-4.8,-2.6,-28.8,-4,-0.3,38.7,7.6
S16_selected_tokens_0025,528.4,2184.9,3112.9,-115,628.9,51.2,-46.5,-74.4,187.4,-12.9,1.2,26.3,-14.6,-4.6,49.8,-15.4,26.9,-10.9
S16_selected_tokens_0026,563.6,1931.6,3061.9,-67.5,273.3,-108,-51.7,-53.4,114,-40.5,-17.2,-51.4,-27.9,-68.1,6.6,-17.4,-18,-28.1
S16_selected_tokens_0027,428.5,2387.9,3038.2,-130.1,493.9,-141.5,-17,-414.1,9.1,26.5,-123.1,-78.6,-1.2,-102,-6.2,-8.5,-70.5,-8
S16_selected_tokens_0028,529.4,1879.8,3077.1,7.4,191.2,-154.9,-2.4,-42.7,28,-5,-13,-3,-3.7,-12.7,-12.3,6.1,34.5,-7.3
S16_selected_tokens_0029,498.4,2284.8,3007.5,-112.4,512.6,3.3,-27.3,-154.1,129.7,-3.7,23.9,-18.8,-5.9,-15.7,40.9,-0.4,26.1,-10.1
S16_selected_tokens_0030,543.2,2006.6,2976.9,-74.6,272.6,-62.6,-54.6,-87.8,80.9,-30.2,39.4,-22.3,-6.7,-3.1,40.7,11.2,18.1,-15.5
S16_selected_tokens_0031,452.1,2021,2988.9,-122.4,171.9,-204.9,10.4,-367.1,8,12.8,-210.7,-216.9,4.4,-107,17.5,-2,13.1,131.4
S16_selected_tokens_0032,552.7,1664.1,2802.1,-14.2,-77.1,-84.9,-3.8,-81.6,18.3,-3.2,-30.7,-11.3,-1.9,-42.4,2.2,-1.3,2.9,-13.5
S16_selected_tokens_0033,469.9,2117.7,2883.2,-87.3,173.4,-91,20.2,-424.8,-10.3,0.7,-60.6,-32.5,4.4,-81,6.1,4.2,-31.5,2.5
S16_selected_tokens_0034,555.3,1742.7,2897.4,-29.2,-87.2,-138.1,1.7,-128.2,-5.5,-7.2,15.5,-8.9,-2.5,-97.6,4.2,-0.5,22,-5.2
S16_selected_tokens_0035,470.4,2287.7,3075.8,-140.4,494.5,29.9,-14.5,-221.4,66.1,10.8,-15,-50.9,-5.2,-37.6,38.1,-1.8,10.5,12
S16_selected_tokens_0036,567.4,1860.7,2992.8,-31.4,244,-42.4,-12.8,-21.4,25.6,-9.2,18.4,24,-7.7,-50.5,7.2,-4.9,31.1,-3.2
S16_selected_tokens_0037,506.4,2224.2,2978.2,-111.9,399.7,-37.9,-30.1,-144.7,111.3,-16.6,41.5,-21.7,-14.8,-49.4,16.9,-6.3,51.6,-29.5
S16_selected_tokens_0038,526,2025.1,3060,-45.7,338,-215.1,-13.1,-250.8,46.6,-6.4,506,229.8,-10,-314.5,-73.7,-6.7,95.8,93.4
S16_selected_tokens_0039,501.9,2067.6,2882.2,-76.6,181.1,-130.3,0.5,-389.2,21.8,21,-139,-71.9,5.1,-85.8,25.7,-2.8,-25.9,6.2
S16_selected_tokens_0040,541,1703.2,2869,-24.6,-43.3,-74.6,-3,-63.1,42.7,-2.7,-36.5,-49.9,0.3,-12,-3.8,-0.3,-13.5,-20.1
S16_selected_tokens_0041,536.1,1314,2773.1,28.3,-242.1,74.2,2,190.3,-45.2,-10.2,-72.3,-27.7,-2.9,43,12.8,9.9,17.6,-10
S16_selected_tokens_0042,531.1,938.5,2986.8,26.2,-181.3,124.4,-15.3,126.3,-96,-1.6,-108.9,20.5,-2.4,61.2,19.8,3.9,-42.8,-16.3
S16_selected_tokens_0043,519.2,1359.8,2700.6,-5.4,-66.3,-49.4,-3.8,211.2,-34.9,-0.4,-83.6,-19.5,7.7,79.9,-21.9,4,12.5,-3.7
S16_selected_tokens_0044,521.5,1015.5,2860.3,-8.7,-0.4,-59.8,-3.6,140,-149.8,-2.9,-125.4,44.4,3.2,89.6,-75.9,2.6,-19.8,14
