time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,293.9,104.1,2149.5,156.7,2617.4,183.6,348.4,2218.9,2629.3,187.8,67.7,17.8
0.028000,328.9,116.2,2191.7,146.1,2640.6,130.9,349,2224.1,2633,187.4,69.9,23.1
0.030000,357.3,101.9,2221.0,148.1,2650.5,108.1,349.9,2232.5,2639,187.1,71.6,18.8
0.032000,369.6,81.0,2246.6,152.3,2655.3,98.8,351.3,2243.9,2647.1,186.7,73.1,10.5
0.034000,373.1,61.9,2276.5,151.8,2660.1,95.0,352.9,2257.7,2656.9,186.4,74.2,3.9
0.036000,373.0,46.9,2306.3,142.9,2666.4,93.6,354.7,2273.6,2668,186.1,75.1,3.2
0.038000,371.8,36.0,2330.0,127.1,2675.1,90.5,356.7,2290.8,2680.1,185.7,75.7,4.8
0.040000,370.3,29.0,2343.8,110.4,2685.6,83.9,358.8,2308.8,2692.5,185.4,76.1,7.1
0.042000,368.6,24.7,2348.7,98.9,2697.1,75.9,360.9,2327,2704.7,185.1,76.4,9.6
0.044000,366.9,21.9,2349.3,97.6,2710.1,72.8,362.9,2344.6,2716.4,184.8,76.6,12.1
0.046000,365.5,19.9,2354.9,106.2,2725.0,80.4,364.8,2361,2727.1,184.5,76.7,13.9
0.048000,364.8,18.5,2372.6,114.0,2740.0,98.7,366.4,2375.7,2736.2,184.2,76.8,15.6
0.050000,364.3,17.7,2392.3,113.9,2749.4,118.6,367.7,2388.3,2743.6,184,76.8,17.2
0.052000,363.7,17.3,2406.2,114.0,2751.3,139.7,368.8,2398.2,2748.9,183.7,76.9,18.7
0.054000,362.9,17.3,2413.4,119.3,2746.3,165.4,369.4,2405.3,2751.9,183.5,76.9,20.2
0.056000,362.4,17.5,2413.8,126.5,2739.6,186.1,369.7,2409.2,2752.6,183.3,76.8,21.6
0.058000,362.3,17.9,2406.3,128.7,2738.5,182.5,369.7,2409.9,2750.9,183.1,76.8,23.2
0.060000,362.6,18.3,2394.3,124.8,2744.8,159.5,369.3,2407.5,2746.9,183,76.7,24.8
0.062000,363.4,18.5,2384.2,122.9,2752.3,139.3,368.7,2401.9,2740.7,182.8,76.7,26.1
0.064000,364.4,18.5,2374.7,128.6,2755.0,126.8,367.8,2393.4,2732.7,182.7,76.6,27.1
0.066000,365.4,18.6,2362.5,140.6,2747.9,119.0,366.9,2382.3,2723,182.6,76.5,27.4
0.068000,366.4,18.8,2346.7,151.9,2730.0,114.2,366,2368.8,2712.1,182.5,76.5,27
0.070000,367.3,19.5,2330.2,162.2,2705.0,115.2,365.3,2353.2,2700.2,182.5,76.4,26.2
0.072000,368.3,20.6,2316.3,174.6,2680.1,122.1,364.8,2335.8,2687.8,182.4,76.3,25.3
0.074000,369.7,22.2,2305.4,191.3,2658.2,135.6,364.8,2317.1,2675.1,182.3,76.2,24.4
0.076000,371.0,23.8,2298.5,208.1,2640.1,158.5,365.3,2297.2,2662.6,182.3,76.1,23.8
0.078000,372.5,25.6,2294.6,216.7,2626.1,197.5,366.6,2276.5,2650.5,182.3,76,23.4
0.080000,374.2,27.5,2288.8,208.3,2622.5,255.4,368.6,2255.1,2639.1,182.2,75.8,23
0.082000,376.1,30.1,2273.4,190.1,2630.7,312.1,371.6,2233.2,2628.6,182.2,75.6,22.7
0.084000,378.4,33.9,2247.9,183.1,2632.4,324.0,375.5,2210.9,2619.3,182.2,75.4,22.4
0.086000,381.6,39.4,2212.7,186.4,2617.8,279.1,380.6,2188.3,2611.2,182.2,75.2,22.1
0.088000,385.9,46.7,2174.4,180.1,2604.8,223.9,386.7,2165.3,2604.4,182.2,74.9,21.8
