time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,394.7,41.9,2126.6,164.4,2740.5,358.0,397,2134.6,2772.7,190.4,76.9,5.9
0.028000,396.8,45.4,2136.5,164.0,2771.0,342.4,398.6,2138.9,2781.3,190.1,77,7.6
0.030000,400.0,50.5,2143.3,172.2,2797.1,334.7,401.2,2145.9,2794.9,189.9,76.8,9.5
0.032000,403.8,58.1,2150.6,186.1,2820.0,339.8,405.1,2155.1,2812.6,189.6,76.5,11.3
0.034000,408.9,70.6,2163.1,198.3,2843.6,355.6,410.3,2166,2833,189.3,76.1,12.7
0.036000,416.7,90.2,2181.4,202.0,2870.7,370.5,416.9,2177.9,2855,189,75.6,13.5
0.038000,427.8,118.1,2201.1,195.1,2896.9,364.9,424.8,2190.3,2877,188.7,75,13.6
0.040000,441.0,152.0,2216.7,179.9,2914.5,333.4,434,2202.4,2897.7,188.4,74.5,13.3
0.042000,452.7,181.1,2225.9,162.8,2923.2,296.5,444.1,2213.5,2916.1,188.1,74.1,13
0.044000,460.1,195.5,2229.3,148.7,2928.3,269.7,454.8,2223.3,2931.3,187.8,73.8,13.1
0.046000,464.7,201.6,2229.6,136.6,2933.7,249.4,465.6,2231.1,2943,187.5,73.6,13.9
0.048000,469.6,211.6,2229.6,125.1,2939.9,229.9,476,2236.6,2951.1,187.2,73.4,15.4
0.050000,476.7,228.7,2230.0,115.8,2944.6,210.7,485.5,2239.8,2955.8,187,73.3,17.2
0.052000,485.3,247.3,2230.0,112.7,2946.5,195.0,493.5,2240.6,2957.6,186.7,73.1,19.1
0.054000,494.6,264.9,2229.3,117.4,2946.9,184.3,499.7,2239.2,2957.4,186.4,73,20.6
0.056000,503.8,281.6,2228.7,127.4,2947.9,180.6,504,2235.8,2956,186.2,72.8,21.5
0.058000,512.4,298.0,2229.1,135.3,2951.6,184.4,506.4,2231,2954.4,186,72.6,21.9
0.060000,517.7,308.6,2228.9,138.0,2957.9,196.3,507.1,2225,2953.3,185.7,72.5,22.1
0.062000,515.8,306.6,2225.7,141.5,2964.3,218.8,506.8,2218.5,2953.3,185.5,72.4,22.1
0.064000,508.0,293.8,2218.7,152.0,2968.1,250.8,506,2212,2954.9,185.3,72.3,22.2
0.066000,500.2,282.1,2209.5,168.9,2968.2,277.3,505.5,2205.9,2958.2,185.1,72.2,22.5
0.068000,496.6,280.0,2201.9,185.8,2967.7,281.1,506.1,2200.6,2963.2,184.9,72.1,23.1
0.070000,498.5,289.0,2198.8,196.3,2971.0,264.9,508.6,2196.3,2969.5,184.7,72,23.8
0.072000,505.9,305.8,2199.1,199.1,2978.9,245.3,513.4,2193.1,2976.6,184.6,71.9,24.4
0.074000,518.4,325.8,2197.9,195.5,2987.5,229.6,520.7,2191.1,2984,184.4,71.9,24.9
0.076000,536.9,346.4,2192.4,183.6,2991.9,212.1,530.7,2190,2991,184.3,71.8,25.2
0.078000,559.8,359.8,2185.1,164.4,2991.1,190.4,542.7,2189.6,2997.1,184.1,71.7,25.2
0.080000,578.8,362.2,2180.5,145.5,2988.2,171.8,556,2189.5,3001.8,184,71.6,25.2
0.082000,585.9,362.0,2179.8,133.6,2988.1,164.5,569.7,2189.1,3004.9,183.8,71.5,25
0.084000,580.1,364.4,2181.9,129.7,2993.3,171.5,582.4,2188.1,3006.3,183.7,71.4,24.9
0.086000,570.9,366.6,2184.1,129.6,3002.7,188.5,592.9,2186,3006,183.5,71.3,24.8
0.088000,569.7,370.9,2184.0,128.2,3012.5,208.2,599.7,2182.5,3004.2,183.4,71.2,24.6
0.090000,578.8,378.2,2179.4,124.6,3017.5,226.9,601.9,2177.2,3001.4,183.2,71.2,24.4
0.092000,592.4,384.6,2170.1,120.3,3014.3,252.0,598.6,2170.1,2998,183.1,71.1,24.2
0.094000,599.8,389.5,2159.6,118.0,3002.6,292.0,589.5,2161.1,2994.3,183,71,24.1
0.096000,594.5,397.4,2150.7,120.6,2986.6,346.8,574.6,2150.5,2990.8,182.8,71,24.1
0.098000,573.6,409.3,2142.8,130.5,2976.4,404.6,554.8,2138.5,2987.8,182.7,70.9,24.6
0.100000,539.3,413.6,2133.6,148.3,2978.4,459.6,530.9,2125.8,2985.5,182.5,70.8,25.3
0.102000,503.4,399.8,2121.3,172.2,2985.7,516.3,504.7,2112.9,2984,182.4,70.8,25.7
0.104000,475.5,377.2,2105.8,198.2,2990.1,581.0,477.9,2100.5,2983.1,182.2,70.6,25.5
0.106000,454.5,354.8,2089.5,220.4,2988.5,667.9,452.4,2089.1,2982.9,182.1,70.5,24.4
0.108000,435.9,330.8,2076.4,236.0,2982.3,807.7,430.2,2079.5,2983,181.9,70.3,22.1
0.110000,417.4,300.8,2069.0,248.0,2975.5,1037.3,413,2072.2,2983.2,181.8,70.2,19.1
0.112000,398.8,265.7,2065.1,261.2,2976.1,1344.4,402.1,2067.7,2983.5,181.6,70,16.2
0.114000,378.0,227.4,2058.1,284.4,2989.7,1576.0,398.3,2066.1,2983.6,181.5,70,13.7
