time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,605.2,233.9,1157.4,99.8,2457.7,249.1,587,1152.1,2458.3,188,72.9,12
0.028000,599.8,206.2,1157.7,92.4,2470.7,332.6,586.4,1151.9,2458.6,187.7,73.2,12.7
0.030000,593.4,183.6,1158.2,87.9,2472.6,367.1,585.3,1151.6,2459.2,187.3,73.3,13.5
0.032000,585.2,163.5,1158.0,87.3,2462.5,337.3,583.9,1151.2,2460.1,187,73.4,14.3
0.034000,577.0,147.6,1156.7,92.0,2451.7,291.6,582.1,1150.6,2461.2,186.6,73.5,15.1
0.036000,570.1,136.8,1154.4,102.2,2448.7,262.3,580,1149.8,2462.6,186.3,73.6,15.7
0.038000,564.9,131.9,1151.2,118.4,2454.2,251.5,577.5,1148.8,2464.3,185.9,73.6,16.3
0.040000,561.9,131.8,1148.6,138.7,2460.5,247.1,574.8,1147.5,2466.3,185.5,73.6,16.8
0.042000,561.3,134.2,1148.3,155.0,2459.1,239.6,571.9,1145.9,2468.6,185.2,73.7,17.2
0.044000,562.4,137.5,1149.3,157.3,2454.3,229.2,568.8,1143.9,2471.2,184.8,73.7,17.7
0.046000,563.6,141.2,1147.9,146.9,2455.9,212.8,565.6,1141.6,2474.2,184.4,73.7,18.1
0.048000,564.0,145.1,1143.8,133.2,2470.2,183.6,562.3,1138.9,2477.5,184.1,73.7,18.5
0.050000,562.9,149.3,1136.7,119.9,2493.5,142.7,559,1135.8,2481.2,183.7,73.7,18.9
0.052000,559.5,151.1,1126.6,108.0,2512.8,107.8,555.7,1132.3,2485.2,183.4,73.8,19.3
0.054000,555.0,147.8,1115.1,97.1,2522.9,86.6,552.4,1128.5,2489.5,183,73.8,19.7
0.056000,551.3,141.3,1105.2,89.9,2524.6,79.0,549.3,1124.2,2494.2,182.7,73.8,20.1
0.058000,548.5,136.0,1098.6,88.5,2520.0,83.4,546.2,1119.5,2499.1,182.4,73.8,20.7
0.060000,545.4,133.4,1095.7,91.9,2511.1,96.5,543.4,1114.6,2504.3,182,73.8,21.3
0.062000,542.4,132.3,1095.1,95.3,2502.4,110.6,540.8,1109.4,2509.7,181.7,73.8,21.9
0.064000,540.2,131.0,1093.9,93.8,2499.7,115.8,538.3,1104.1,2515.2,181.5,73.8,22.3
0.066000,539.2,129.6,1089.6,88.9,2504.7,111.4,536.2,1098.6,2520.9,181.2,73.8,22.4
0.068000,538.0,129.3,1083.2,86.4,2514.4,102.2,534.2,1093.1,2526.6,180.9,73.7,22.3
0.070000,534.3,130.8,1076.6,88.6,2526.2,91.1,532.5,1087.7,2532.3,180.7,73.7,22
