time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,421.8,244.1,1885.3,59.5,2728.9,192.6,456.1,1874.9,2729.8,172.2,73.9,15
0.028000,445.9,254.1,1887.4,53.1,2716.7,218.2,458.3,1875.8,2731.5,172.3,74.2,15.2
0.030000,466.0,252.2,1886.7,54.2,2707.5,259.5,462.2,1877.3,2734.3,172.4,74.5,15.8
0.032000,481.4,246.2,1883.1,64.4,2711.0,312.3,467.9,1879.3,2737.8,172.5,74.7,16.5
0.034000,493.8,242.0,1876.2,86.0,2729.2,343.2,475.5,1881.7,2741.7,172.6,75,17.1
0.036000,504.0,242.8,1867.4,121.8,2753.6,326.3,485.2,1884.5,2745.7,172.7,75.2,17.6
0.038000,511.8,249.8,1866.6,152.7,2772.8,297.0,497.1,1887.6,2749.5,172.8,75.4,18.1
0.040000,519.9,259.8,1876.6,153.8,2787.2,282.0,511.5,1890.8,2752.5,173,75.6,18.6
0.042000,529.0,272.8,1888.3,136.7,2795.3,278.3,528.3,1894.2,2754.7,173.1,75.8,19
0.044000,540.4,290.5,1897.2,121.6,2794.5,282.5,547.5,1897.5,2755.8,173.3,75.9,19.2
0.046000,555.6,314.2,1904.7,115.2,2783.9,293.1,568.9,1900.7,2755.6,173.4,75.9,19.1
0.048000,575.0,341.7,1911.0,120.1,2763.1,308.0,592.2,1903.7,2754.1,173.6,75.9,18.5
0.050000,601.9,366.1,1915.5,134.1,2735.8,318.7,617,1906.4,2751.6,173.8,75.9,17.7
0.052000,636.4,374.8,1917.4,145.6,2713.9,312.0,642.9,1908.8,2748.2,173.9,75.9,16.9
0.054000,675.5,363.4,1917.9,143.4,2705.9,287.6,669.3,1910.8,2744.3,174.1,75.9,16.5
0.056000,708.7,342.3,1918.9,129.6,2710.6,262.3,695.5,1912.4,2740.2,174.3,75.9,16.7
0.058000,733.6,321.8,1919.7,114.7,2717.9,245.8,720.9,1913.7,2736.5,174.6,75.8,17.6
0.060000,752.8,302.6,1918.3,103.7,2721.6,238.2,744.9,1914.6,2733.6,174.8,75.8,18.8
0.062000,769.1,281.6,1914.5,96.9,2721.9,237.5,766.9,1915.3,2732,175,75.7,20.1
0.064000,785.7,252.6,1909.6,90.8,2724.0,242.0,786.4,1915.7,2732,175.2,75.7,21
0.066000,801.4,217.4,1906.4,81.9,2732.7,250.2,803.2,1915.9,2734,175.5,75.6,21.4
0.068000,814.0,184.1,1906.4,70.7,2746.8,257.3,816.9,1916.2,2738.1,175.7,75.5,21.3
0.070000,822.6,160.5,1908.8,60.8,2764.3,250.4,827.5,1916.5,2744.4,176,75.4,21
0.072000,828.4,148.4,1911.9,54.2,2782.8,229.2,835,1916.9,2752.9,176.3,75.3,20.5
0.074000,833.4,143.0,1915.1,50.1,2799.4,211.1,839.7,1917.6,2763.4,176.6,75.2,20.1
0.076000,837.2,138.3,1918.1,47.1,2808.3,211.8,841.9,1918.7,2775.6,176.9,75.1,19.9
0.078000,839.3,131.0,1921.2,44.3,2806.7,236.6,842,1920.2,2789.2,177.1,75,19.9
0.080000,839.7,124.7,1925.1,43.3,2798.7,288.5,840.5,1922.2,2803.6,177.4,74.9,19.9
0.082000,839.2,120.8,1930.1,44.6,2796.9,346.2,837.7,1924.8,2818.4,177.7,74.7,19.9
0.084000,838.0,116.3,1936.0,47.4,2811.3,371.4,834.3,1928,2833.2,178.1,74.5,20
0.086000,836.5,110.9,1940.5,51.5,2833.1,348.8,830.6,1931.6,2847.6,178.4,74.4,20
0.088000,834.3,108.3,1942.3,57.2,2850.7,307.2,827,1935.9,2861,178.7,74.2,19.9
0.090000,831.2,110.3,1942.5,63.6,2863.5,271.0,823.6,1940.6,2873.4,179,74,19.9
0.092000,827.2,115.7,1944.6,69.7,2874.7,245.4,820.5,1945.7,2884.5,179.3,73.8,19.8
0.094000,823.1,120.8,1950.3,73.3,2883.2,231.1,817.8,1951.1,2894.2,179.6,73.6,19.8
0.096000,819.2,123.3,1957.2,74.4,2888.8,224.5,815.2,1956.8,2902.6,179.9,73.4,19.9
0.098000,815.0,123.8,1961.7,75.6,2893.0,225.1,812.6,1962.5,2909.9,180.2,73.2,20.1
0.100000,809.4,124.2,1963.0,79.0,2898.6,233.5,809.5,1968.2,2916.3,180.5,73,20.4
0.102000,801.0,128.0,1963.3,87.3,2914.4,244.2,805.8,1973.7,2922.1,180.8,72.8,20.6
0.104000,790.3,139.5,1967.6,101.8,2947.6,236.6,800.9,1979.1,2927.6,181.1,72.5,20.8
0.106000,777.7,156.1,1977.7,119.5,2976.8,208.7,794.7,1984,2933.1,181.3,72.3,20.9
0.108000,765.2,168.7,1988.4,132.3,2987.3,186.9,786.9,1988.6,2939,181.6,72.2,20.9
0.110000,756.8,174.8,1994.8,137.9,2990.2,182.8,777.4,1992.7,2945.4,181.8,72,21
0.112000,753.2,178.7,1998.4,136.1,2990.7,203.1,766.2,1996.3,2952.4,182.1,71.9,20.9
0.114000,752.5,187.1,2002.7,124.3,2984.4,253.8,753.3,1999.4,2960.1,182.3,71.8,20.7
0.116000,751.0,204.8,2007.3,109.5,2964.4,326.9,739.2,2002,2968.5,182.5,71.7,20.2
0.118000,746.0,225.6,2010.0,100.0,2936.8,396.6,724.2,2004.1,2977.3,182.7,71.6,19.4
0.120000,737.1,238.4,2011.8,95.5,2915.3,445.5,708.9,2005.7,2986.4,182.9,71.6,18.5
0.122000,725.9,234.9,2013.8,95.6,2911.3,459.9,693.8,2007,2995.3,183.1,71.5,17.6
0.124000,711.9,223.9,2016.0,102.5,2928.8,458.6,679.6,2007.9,3003.8,183.3,71.4,16.9
0.126000,693.8,219.3,2016.8,118.0,2967.8,458.8,666.8,2008.5,3011.3,183.4,71.3,16.7
0.128000,671.1,225.9,2013.1,134.9,3017.2,455.7,656.2,2009,3017.7,183.5,71.2,17
0.130000,640.8,237.7,2004.9,142.6,3064.6,435.3,648.3,2009.3,3022.5,183.7,71,17.5
0.132000,607.7,242.1,1997.5,136.8,3091.6,399.1,643.3,2009.4,3025.4,183.8,70.8,18
0.134000,578.2,235.0,1993.4,126.5,3100.2,359.8,641.7,2009.4,3026.5,183.9,70.5,18
