time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,545.6,278.3,1886.3,215.5,2534.7,244.2,559.5,1820.1,2490.2,192,71.7,13.7
0.028000,550.8,251.5,1883.2,301.5,2503.3,281.8,559.5,1820.5,2490.5,191.8,71.9,13.8
0.030000,553.7,218.0,1846.0,390.2,2470.2,287.4,559.5,1821.3,2491,191.6,72,13.6
0.032000,558.6,173.7,1777.7,389.3,2455.5,254.1,559.4,1822.3,2491.7,191.3,72.1,13.4
0.034000,564.2,132.4,1752.3,296.2,2458.2,238.0,559.3,1823.5,2492.5,191.1,72.3,13.5
0.036000,567.2,109.6,1771.8,208.9,2466.5,250.6,559.2,1824.9,2493.5,190.8,72.4,14.3
0.038000,568.2,101.3,1797.3,145.6,2483.8,264.8,559.1,1826.5,2494.6,190.6,72.6,15.7
0.040000,568.2,99.8,1814.5,107.9,2499.8,268.2,558.9,1828.2,2495.8,190.3,72.7,17.4
0.042000,567.5,98.1,1826.4,86.3,2504.9,273.5,558.7,1829.9,2497.1,190.1,72.9,19.1
0.044000,565.9,94.7,1836.5,72.5,2498.6,291.4,558.5,1831.6,2498.4,189.9,73,20.3
0.046000,563.8,91.4,1843.2,65.6,2483.8,315.2,558.3,1833.2,2499.7,189.7,73.2,20.9
0.048000,561.2,89.2,1846.2,64.2,2470.7,321.7,558.1,1834.7,2501,189.5,73.3,20.8
0.050000,558.6,88.2,1845.5,67.1,2473.7,295.9,557.8,1836.1,2502.3,189.3,73.5,20.4
0.052000,555.9,87.2,1842.9,72.4,2486.7,262.0,557.6,1837.1,2503.5,189.1,73.6,19.8
0.054000,553.4,85.3,1840.5,78.6,2502.2,237.7,557.3,1837.9,2504.6,188.9,73.7,19.5
0.056000,551.8,83.3,1840.3,83.1,2516.8,229.9,557,1838.3,2505.6,188.7,73.8,19.6
0.058000,551.3,82.2,1841.4,83.7,2528.5,230.7,556.6,1838.3,2506.5,188.6,73.9,20.2
0.060000,551.4,82.1,1842.1,81.0,2538.8,228.2,556.3,1837.8,2507.2,188.5,74,21
