file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35,f16,f26,f36,f17,f27,f37,f18,f28,f38,f19,f29,f39
S03_selected_tokens_0001,168.3,0.1,EH,8,Black,1,6263,758,2014,2862,802,1967,2820,847,1908,2736,842,1880,2646,849,1867,2713,851,1845,2772,849,1851,2893,842,1865,2984,762,1845,2980
S03_selected_tokens_0002,170.2,0.07,EH,8,Black,2,6737,379,2155,2884,403,2171,2876,441,2178,2911,469,2150,2905,522,2114,2897,527,2058,2936,536,2042,2927,543,2015,2915,442,1982,2862
S03_selected_tokens_0003,176.9,0.078,EH,8,Black,3,6263,871,1685,2257,885,1714,2283,890,1730,2387,895,1726,2446,897,1762,2698,889,1829,2695,879,1875,2758,868,1862,2898,849,1848,2899
S03_selected_tokens_0004,172,0.058,EH,8,Black,4,5947,575,1816,2058,695,1864,2281,769,1875,2478,794,1889,2645,802,1900,2698,828,1908,2786,832,1917,2842,809,1905,2901,766,1878,2931
S03_selected_tokens_0005,176.8,0.09,EH,8,Black,5,6263,516,2008,2649,672,1930,2667,806,1913,2575,882,1832,2521,895,1781,2481,904,1784,2508,895,1733,2496,890,1716,2544,874,1687,2487
S03_selected_tokens_0006,182.4,0.08,EH,8,Black,6,7211,382,2228,2819,395,2160,2741,431,2108,2720,461,2072,2724,484,1996,2673,480,1922,2628,474,1865,2578,454,1766,2583,423,1738,2492
S03_selected_tokens_0007,179.6,0.09,EH,8,Black,7,6421,891,1456,3085,901,1518,3066,906,1584,2973,904,1610,2913,898,1638,2829,897,1658,2809,895,1667,2765,877,1661,2614,835,1625,2568
S03_selected_tokens_0008,182.1,0.068,EH,8,Black,8,6105,627,1499,2912,640,1604,2896,639,1668,2786,656,1714,2688,682,1781,2670,684,1822,2672,672,1820,2657,649,1809,2617,623,1789,2544
S03_selected_tokens_0009,181.3,0.1,EH,8,Black,9,6263,750,1853,2678,804,1846,2644,868,1840,2619,884,1841,2569,880,1836,2769,882,1878,2936,872,1920,3048,846,1877,3141,751,1859,3142
S03_selected_tokens_0010,185.2,0.088,EH,8,Black,10,6737,400,2143,2797,441,2217,2915,477,2230,2945,512,2229,2958,500,2199,2971,579,2182,2991,579,2179,3013,539,2134,2986,417,2069,2982
S03_selected_tokens_0011,196.1,0.108,EH,8,Black,11,6263,883,2173,2799,845,2043,2688,846,1891,2699,850,1855,2575,854,1905,2664,845,1906,2649,812,1908,2698,787,1916,2790,722,1916,2918
S03_selected_tokens_0012,193.8,0.078,EH,8,Black,12,6263,697,2290,2969,700,2318,2948,688,2277,2926,663,2249,2930,650,2227,2969,645,2239,2940,637,2252,2956,619,2247,2969,560,2239,2764
S03_selected_tokens_0013,177.8,0.108,EH,8,Black,13,5947,474,1884,2723,535,1893,2786,692,1918,2716,808,1909,2740,839,1923,2803,829,1944,2869,796,1965,2931,752,2005,2974,671,2013,3017
S03_selected_tokens_0014,177.9,0.088,EH,8,Black,14,6105,436,2056,2732,439,2108,2844,466,2136,2812,471,2167,2839,467,2172,2873,456,2199,3000,486,2197,3052,483,2204,3088,443,2204,3136
S03_selected_tokens_0015,182.4,0.078,EH,8,Black,15,5632,578,1992,2522,704,1943,2594,790,1921,2542,847,1868,2611,875,1858,2618,881,1835,2536,876,1809,2542,871,1803,2586,866,1806,2586
S03_selected_tokens_0016,182,0.058,EH,8,Black,16,5632,387,2277,2776,403,2245,2823,435,2248,2848,496,2228,2859,554,2203,2844,606,2182,2846,633,2163,2890,634,2129,2925,601,2090,2926
S03_selected_tokens_0017,179.7,0.078,EH,8,Black,17,6105,714,1857,2785,788,1854,2685,838,1853,2808,862,1825,2863,872,1886,2762,872,1934,2710,864,1922,2791,837,1900,2819,758,1918,2931
S03_selected_tokens_0018,182.4,0.058,EH,8,Black,18,6737,431,2104,2973,439,2081,3004,449,2087,2994,462,2123,3012,457,2124,3035,437,2082,3074,411,2031,3077,386,2007,3070,362,2002,3059
S03_selected_tokens_0019,182.1,0.098,EH,8,Black,19,5947,581,1773,2552,656,1830,2734,773,1851,2666,822,1843,2586,825,1856,2572,826,1894,2625,801,1908,2574,740,1870,2799,632,1881,2941
S03_selected_tokens_0020,184.9,0.078,EH,8,Black,20,5474,399,1949,2718,420,1987,2765,442,2029,2853,470,2068,2904,497,2092,2947,522,2099,3011,526,2089,3043,494,2085,3068,434,2081,3073
