file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
S03_selected_tokens_0001,820.8,1894.3,2820.6,-8.5,66.8,-84.8,-45.6,38,122.9,1.9,13.5,34.7,-30.1,3,-8.5,5.4,7.5,5.6
S03_selected_tokens_0002,472.6,2098.4,2900.6,-62.4,92.7,-7.4,-44.5,-23,-20,17.9,-10.8,14.6,-14.2,-9.7,-17.9,13.1,4.1,10.7
S03_selected_tokens_0003,879.9,1781.3,2586.9,11,-93.4,-328.4,-18.1,-1.4,-17.1,1.6,14.6,-3.5,-4.8,-21.4,18.3,1.7,-4.1,-5.8
S03_selected_tokens_0004,761.6,1883.2,2619,-77.2,-29.3,-379,-71.6,-25,-114.7,-18.1,0.1,-72.8,-33.7,-13.5,-29.1,-5.9,-0.9,-10.2
S03_selected_tokens_0005,812.4,1819.9,2548.4,-136.7,144.8,71.9,-106.8,22,47.9,-46.1,19.6,9.3,-23.8,-3,-24.2,-4.7,5.4,-2
S03_selected_tokens_0006,442.3,1983.9,2663.3,-28.2,230.6,128,-40.7,-12.3,-5.1,4.2,19.9,14.8,-2.1,5,10,5,9.4,24.4
S03_selected_tokens_0007,887.9,1600.1,2848.1,20.6,-80.5,247.8,-19.8,-52.6,-4.4,8.3,-8.5,42.4,-12.2,-19.1,0.2,4.1,3.2,-0.3
S03_selected_tokens_0008,652.8,1724,2716,-8.3,-131.1,151.1,-26.2,-66.9,40.4,13.1,-6.8,45.3,-1.3,-18.4,-18.1,-0.4,-15.2,-6.8
S03_selected_tokens_0009,836.5,1861,2839.8,-9.3,-20.8,-284.4,-68.2,2.1,86.4,0.6,23.2,55.7,-29.8,-16.5,-0.6,9.6,3.2,-19.4
S03_selected_tokens_0010,493.2,2175.6,2946.8,-47,38.2,-72.4,-54.8,-49.3,-44.8,27.3,-5.9,-19.4,-40.9,-26.7,-25.3,18.8,1.2,-15.2
S03_selected_tokens_0011,825.5,1946.6,2719.2,52.1,76,-49.2,-27.2,81.6,115.6,24.2,59.5,-3.4,0.1,23.5,33.6,11,0.2,-21.4
S03_selected_tokens_0012,649.6,2258.9,2933.4,52.3,29.9,30.2,-11.9,17.5,-28,11.9,5.4,43.1,-19.2,-14.3,-18,3.5,-5,32
S03_selected_tokens_0013,704.8,1939.2,2839.4,-101.9,-60.9,-139.9,-146.5,10.4,40.8,-10.7,-7.2,8.7,-9.9,-7.6,-2.4,19.5,0.8,-17.4
