e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
341.1,358.1,238.1,50.6,57,50,44.1,43.1,40.2,41.7,59.2,77.8,107.5,163.7,202.3,281.6,142.5,317.3,268.1,260.7
20.4,20.1,403.4,221.6,24.3,27.2,25.9,23.2,22.5,23.2,27.1,29.7,34.3,55.6,31.8,27.7,27.4,33.9,41.1,64
217,201.5,83.6,66.8,58.7,47.9,41.3,37.8,35.8,36,45.6,69.3,116,274,344.4,576.4,133.6,193,463.3,624.4
261.6,244.6,23.7,24.3,19,17.3,17.1,18.8,46.2,64.6,72.9,70.3,72,95.6,115.2,111.3,63.7,67.1,108.6,290.8
254.6,486,52.2,53.5,49.9,48.2,46.3,45.1,45,46.2,52.2,103.8,242.2,292.7,85.9,196.9,285.3,357.7,278,470
28.5,172.7,353,22.1,21.1,21.6,21.6,20.4,19,19.2,18.7,18.5,19.1,19.9,18.1,19.2,35,120.2,86.8,110.8
634.8,322.1,45.7,66.2,50.5,43.5,37.4,34.9,33.5,31.3,32.4,45.4,91.1,345.6,384.9,117.1,184,501.7,311.6,372.9
126.1,31,10036.2,433.6,33.1,29.7,29.2,28.5,35.8,50.4,81,74.9,69.5,52.7,54.9,60,78.7,150.2,186.7,208
453.4,470.2,380.7,348.3,98.7,92.8,81.3,72.4,65.6,77,82,87,255.2,360.9,353.8,351.8,260.1,125.1,126.2,131.5
59.3,31.9,51.3,466.8,30.8,25.3,23.4,23.7,24.9,26.6,25.5,22.3,45.7,43.1,41.1,32.3,27.8,43.3,86.2,84.2
10184.7,10188.6,444.9,223.2,51,49.4,47.2,44.8,43.1,45.4,65.4,81.8,96.1,166.5,401.1,183.5,237,385.1,483,333.3
238.6,49.9,25.4,391.7,248.6,46.2,48.2,43.1,39.7,39.7,52.5,60.6,64.6,127.7,121.5,108,81.7,75,75.7,97.8
311.4,594.8,528.7,49.3,50.6,48.1,44.9,45,49.7,63,67.3,68.5,68.4,119.6,116.2,94.2,83.9,89.1,132.5,136.3
52.3,58.2,435.7,632.7,24.3,23.8,24.5,21.9,26.8,35.5,35.9,35.8,35.5,40,37,34.1,32.5,47.1,59.9,67.1
274.3,58.7,49.1,39.3,36.3,36.3,38.1,44.5,59.9,99.7,82.9,95.2,124.2,148,67.7,103.5,117.3,257.2,52,49.6
154.9,448.7,15.5,14.1,13.9,14.9,14.8,16.4,20,19.3,18.2,17.9,17.3,17.8,16.5,26,58.3,39.1,34,33.9
293.3,291.8,191.8,292.9,89.1,73.2,59.9,56.3,67.9,73.5,101.9,108.5,115.5,227.8,436.8,465.5,190.5,246.8,234,237.9
96.9,26.6,36.1,388.5,383.3,19.9,17.8,15.1,14.8,14.5,10.7,8.1,11.3,16.9,19.3,16.9,23.2,28.5,35.2,45.5
10241.1,10271.7,10522.8,548.9,60.8,50.2,44.8,47.5,56.5,85.3,116.6,170.9,189.7,129.1,105.6,81.9,118,243.9,364.4,391
24.1,157.8,236.5,12.3,14.7,16.7,17,16.6,16.5,15.8,18.2,24.6,27.8,25.5,28.1,38.1,52.1,77.7,107.2,72.8
