filename,speaker,item_code,variableN,rowN,variantN,word,variant
S10_1-1-2_dinners_O,S10,1-1-2,1,1,2,dinners,O
S10_1-1-3_dental_N,S10,1-1-3,1,1,3,dental,N
S10_1-2-2_fringes_O,S10,1-2-2,1,2,2,fringes,O
S10_1-2-3_friendless_N,S10,1-2-3,1,2,3,friendless,N
S10_1-3-3_gemstone_N,S10,1-3-3,1,3,3,gemstone,N
S10_1-4-2_limits_O,S10,1-4-2,1,4,2,limits,O
S10_1-4-3_lemon_N,S10,1-4-3,1,4,3,lemon,N
S10_1-5-2_spindly_O,S10,1-5-2,1,5,2,spindly,O
S10_1-5-3_spenders_N,S10,1-5-3,1,5,3,spenders,N
S10_1-6-3_tendons_N,S10,1-6-3,1,6,3,tendons,N
S10_1-7-2_vintage_O,S10,1-7-2,1,7,2,vintage,O
S10_1-7-3_venture_N,S10,1-7-3,1,7,3,venture,N
S10_1-8-2_gingerbread_O,S10,1-8-2,1,8,2,gingerbread,O
S10_1-8-3_generates_N,S10,1-8-3,1,8,3,generates,N
S10_1-10-2_vindicates_O,S10,1-10-2,1,10,2,vindicates,O
S10_1-10-3_ventilates_N,S10,1-10-3,1,10,3,ventilates,N
S10_2-1-2_filtered_O,S10,2-1-2,2,1,2,filtered,O
S10_2-1-3_fieldwork_N,S10,2-1-3,2,1,3,fieldwork,N
S10_2-2-2_silly_O,S10,2-2-2,2,2,2,silly,O
S10_2-2-3_ceiling_N,S10,2-2-3,2,2,3,ceiling,N
S10_2-3-2_hilltop_O,S10,2-3-2,2,3,2,hilltop,O
S10_2-3-3_healers_N,S10,2-3-3,2,3,3,healers,N
S10_2-4-3_mealtime_N,S10,2-4-3,2,4,3,mealtime,N
S10_2-5-2_pillars_O,S10,2-5-2,2,5,2,pillars,O
S10_2-5-3_peeling_N,S10,2-5-3,2,5,3,peeling,N
S10_2-6-2_willow_O,S10,2-6-2,2,6,2,willow,O
S10_2-6-3_wheelchair_N,S10,2-6-3,2,6,3,wheelchair,N
S10_2-7-2_wilted_O,S10,2-7-2,2,7,2,wilted,O
S10_2-7-3_wielding_N,S10,2-7-3,2,7,3,wielding,N
S10_2-8-2_stillbirths_O,S10,2-8-2,2,8,2,stillbirths,O
S10_2-8-3_steelworks_N,S10,2-8-3,2,8,3,steelworks,N
S10_2-9-2_diligence_O,S10,2-9-2,2,9,2,diligence,O
S10_2-9-3_dealership_N,S10,2-9-3,2,9,3,dealership,N
S10_2-10-2_willfully_O,S10,2-10-2,2,10,2,willfully,O
S10_2-10-3_wheelbarrow_N,S10,2-10-3,2,10,3,wheelbarrow,N
S10_3-1-3_featherweight_N,S10,3-1-3,3,1,3,featherweight,N
S10_3-2-2_lettering_O,S10,3-2-2,3,2,2,lettering,O
S10_3-2-3_leathery_N,S10,3-2-3,3,2,3,leathery,N
S10_3-3-2_mutterings_O,S10,3-3-2,3,3,2,mutterings,O
S10_3-3-3_mothership_N,S10,3-3-3,3,3,3,mothership,N
S10_3-4-2_wordiness_O,S10,3-4-2,3,4,2,wordiness,O
S10_3-4-3_worthiest_N,S10,3-4-3,3,4,3,worthiest,N
S10_3-5-2_uttering_O,S10,3-5-2,3,5,2,uttering,O
S10_3-5-3_otherness_N,S10,3-5-3,3,5,3,otherness,N
S10_3-6-2_header_O,S10,3-6-2,3,6,2,header,O
