filename,speaker,item_code,variableN,rowN,variantN,word,variant
S03_1-1-1_dental_M,S03,1-1-1,1,1,1,dental,M
S03_1-1-3_dental_N,S03,1-1-3,1,1,3,dental,N
S03_1-2-1_friendless_M,S03,1-2-1,1,2,1,friendless,M
S03_1-2-3_friendless_N,S03,1-2-3,1,2,3,friendless,N
S03_1-3-1_gemstone_M,S03,1-3-1,1,3,1,gemstone,M
S03_1-3-3_gemstone_N,S03,1-3-3,1,3,3,gemstone,N
S03_1-4-1_lemon_M,S03,1-4-1,1,4,1,lemon,M
S03_1-4-3_lemon_N,S03,1-4-3,1,4,3,lemon,N
S03_1-5-1_spenders_M,S03,1-5-1,1,5,1,spenders,M
S03_1-5-3_spenders_N,S03,1-5-3,1,5,3,spenders,N
S03_1-6-1_tendons_M,S03,1-6-1,1,6,1,tendons,M
S03_1-6-3_tendons_N,S03,1-6-3,1,6,3,tendons,N
S03_1-7-1_venture_M,S03,1-7-1,1,7,1,venture,M
S03_1-7-3_venture_N,S03,1-7-3,1,7,3,venture,N
S03_1-8-1_generates_M,S03,1-8-1,1,8,1,generates,M
S03_1-8-3_generates_N,S03,1-8-3,1,8,3,generates,N
S03_1-9-1_sentiments_M,S03,1-9-1,1,9,1,sentiments,M
S03_1-9-3_sentiments_N,S03,1-9-3,1,9,3,sentiments,N
S03_1-10-1_ventilates_M,S03,1-10-1,1,10,1,ventilates,M
S03_1-10-3_ventilates_N,S03,1-10-3,1,10,3,ventilates,N
S03_2-1-1_fieldwork_M,S03,2-1-1,2,1,1,fieldwork,M
S03_2-1-3_fieldwork_N,S03,2-1-3,2,1,3,fieldwork,N
S03_2-2-1_ceiling_M,S03,2-2-1,2,2,1,ceiling,M
S03_2-2-3_ceiling_N,S03,2-2-3,2,2,3,ceiling,N
S03_2-3-1_healers_M,S03,2-3-1,2,3,1,healers,M
S03_2-3-3_healers_N,S03,2-3-3,2,3,3,healers,N
S03_2-4-1_mealtime_M,S03,2-4-1,2,4,1,mealtime,M
S03_2-4-3_mealtime_N,S03,2-4-3,2,4,3,mealtime,N
S03_2-5-1_peeling_M,S03,2-5-1,2,5,1,peeling,M
S03_2-5-3_peeling_N,S03,2-5-3,2,5,3,peeling,N
S03_2-6-1_wheelchair_M,S03,2-6-1,2,6,1,wheelchair,M
S03_2-6-3_wheelchair_N,S03,2-6-3,2,6,3,wheelchair,N
S03_2-7-1_wielding_M,S03,2-7-1,2,7,1,wielding,M
S03_2-7-3_wielding_N,S03,2-7-3,2,7,3,wielding,N
S03_2-8-1_steelworks_M,S03,2-8-1,2,8,1,steelworks,M
S03_2-8-3_steelworks_N,S03,2-8-3,2,8,3,steelworks,N
S03_2-9-1_dealership_M,S03,2-9-1,2,9,1,dealership,M
S03_2-9-3_dealership_N,S03,2-9-3,2,9,3,dealership,N
S03_2-10-1_wheelbarrow_M,S03,2-10-1,2,10,1,wheelbarrow,M
S03_2-10-3_wheelbarrow_N,S03,2-10-3,2,10,3,wheelbarrow,N
S03_3-1-1_featherweight_M,S03,3-1-1,3,1,1,featherweight,M
S03_3-1-3_featherweight_N,S03,3-1-3,3,1,3,featherweight,N
S03_3-2-1_leathery_M,S03,3-2-1,3,2,1,leathery,M
S03_3-2-3_leathery_N,S03,3-2-3,3,2,3,leathery,N
S03_3-3-1_mothership_M,S03,3-3-1,3,3,1,mothership,M
S03_3-3-3_mothership_N,S03,3-3-3,3,3,3,mothership,N
S03_3-4-1_worthiest_M,S03,3-4-1,3,4,1,worthiest,M
S03_3-4-3_worthiest_N,S03,3-4-3,3,4,3,worthiest,N
S03_3-5-1_otherness_M,S03,3-5-1,3,5,1,otherness,M
S03_3-5-3_otherness_N,S03,3-5-3,3,5,3,otherness,N
S03_3-6-1_heathers_M,S03,3-6-1,3,6,1,heathers,M
S03_3-6-3_heathers_N,S03,3-6-3,3,6,3,heathers,N
