file,winner,F1,F2,F3,edit
S18_selected_tokens_0001,17,17,17,17,0
S18_selected_tokens_0002,11,11,11,11,0
S18_selected_tokens_0003,11,11,11,11,0
S18_selected_tokens_0004,10,10,10,10,0
S18_selected_tokens_0005,13,13,13,13,0
S18_selected_tokens_0006,7,7,7,7,0
S18_selected_tokens_0007,17,17,17,17,0
S18_selected_tokens_0008,8,8,8,8,0
S18_selected_tokens_0009,4,4,4,4,0
S18_selected_tokens_0010,6,6,6,6,0
S18_selected_tokens_0011,7,7,7,7,0
S18_selected_tokens_0012,14,14,14,14,0
S18_selected_tokens_0013,7,7,7,7,0
S18_selected_tokens_0014,2,2,2,2,0
S18_selected_tokens_0015,3,3,3,3,0
S18_selected_tokens_0016,1,1,1,1,0
S18_selected_tokens_0017,16,16,16,16,0
S18_selected_tokens_0018,16,16,16,16,0
S18_selected_tokens_0019,8,8,8,8,0
S18_selected_tokens_0020,6,6,6,6,0
S18_selected_tokens_0021,4,4,4,4,0
S18_selected_tokens_0022,8,8,8,8,0
S18_selected_tokens_0023,9,9,9,9,0
S18_selected_tokens_0024,18,18,18,18,1
S18_selected_tokens_0025,10,10,10,10,0
S18_selected_tokens_0026,20,20,20,20,1
S18_selected_tokens_0027,17,17,17,17,0
S18_selected_tokens_0028,18,18,18,18,1
S18_selected_tokens_0029,9,9,9,9,0
S18_selected_tokens_0030,2,2,2,2,0
S18_selected_tokens_0031,5,5,5,5,0
S18_selected_tokens_0032,18,18,18,18,1
S18_selected_tokens_0033,5,5,5,5,0
S18_selected_tokens_0034,17,17,17,17,1
S18_selected_tokens_0035,11,11,11,11,0
S18_selected_tokens_0036,9,9,9,9,0
S18_selected_tokens_0037,6,6,6,6,0
S18_selected_tokens_0038,17,17,17,17,0
S18_selected_tokens_0039,5,5,5,5,0
S18_selected_tokens_0040,5,5,5,5,0
S18_selected_tokens_0041,4,4,4,4,0
S18_selected_tokens_0042,5,5,5,5,0
S18_selected_tokens_0043,7,7,7,7,0
S18_selected_tokens_0044,2,2,2,2,0
S18_selected_tokens_0045,4,4,4,4,0
S18_selected_tokens_0046,6,6,6,6,0
S18_selected_tokens_0047,6,6,6,6,0
S18_selected_tokens_0048,4,4,4,4,0
S18_selected_tokens_0049,3,3,3,3,0
S18_selected_tokens_0050,5,5,5,5,0
S18_selected_tokens_0051,7,7,7,7,0
S18_selected_tokens_0052,5,5,5,5,0
S18_selected_tokens_0053,11,11,11,11,0
S18_selected_tokens_0054,1,1,1,1,0
S18_selected_tokens_0055,10,10,10,10,0
S18_selected_tokens_0056,6,6,6,6,0
S18_selected_tokens_0057,5,5,5,5,0
S18_selected_tokens_0058,3,3,3,3,0
S18_selected_tokens_0059,6,6,6,6,0
S18_selected_tokens_0060,6,6,6,6,0
S18_selected_tokens_0061,5,5,5,5,0
S18_selected_tokens_0062,2,2,2,2,0
S18_selected_tokens_0063,9,9,9,9,0
S18_selected_tokens_0064,2,2,2,2,0
S18_selected_tokens_0065,5,5,5,5,0
S18_selected_tokens_0066,5,5,5,5,1
S18_selected_tokens_0067,8,8,8,8,0
S18_selected_tokens_0068,3,3,3,3,0
S18_selected_tokens_0069,5,5,5,5,0
S18_selected_tokens_0070,9,9,9,9,0
S18_selected_tokens_0071,5,5,5,5,0
S18_selected_tokens_0072,6,6,6,6,0
S18_selected_tokens_0073,2,2,2,2,0
S18_selected_tokens_0074,4,4,4,4,0
S18_selected_tokens_0075,3,3,3,3,0
S18_selected_tokens_0076,8,8,8,8,0
S18_selected_tokens_0077,1,1,1,1,0
S18_selected_tokens_0078,8,8,8,8,0
S18_selected_tokens_0079,1,1,1,1,0
S18_selected_tokens_0080,3,3,3,3,0
S18_selected_tokens_0081,13,13,13,13,0
S18_selected_tokens_0082,18,18,18,18,0
S18_selected_tokens_0083,12,12,12,12,0
S18_selected_tokens_0084,16,16,16,16,0
S18_selected_tokens_0085,10,10,10,10,0
S18_selected_tokens_0086,14,14,14,14,0
S18_selected_tokens_0087,18,18,18,18,0
S18_selected_tokens_0088,15,15,15,15,0
S18_selected_tokens_0089,6,6,6,6,0
S18_selected_tokens_0090,15,15,15,15,0
S18_selected_tokens_0091,13,13,13,13,0
S18_selected_tokens_0092,16,16,16,16,0
S18_selected_tokens_0093,19,19,19,19,0
S18_selected_tokens_0094,17,17,17,17,0
S18_selected_tokens_0095,20,20,20,20,0
S18_selected_tokens_0096,17,17,17,17,0
S18_selected_tokens_0097,10,10,10,10,0
S18_selected_tokens_0098,14,14,14,14,0
S18_selected_tokens_0099,18,18,18,18,0
S18_selected_tokens_0100,19,19,19,19,0
S18_selected_tokens_0101,10,10,10,10,0
S18_selected_tokens_0102,9,9,9,9,0
S18_selected_tokens_0103,11,11,11,11,0
S18_selected_tokens_0104,10,10,10,10,0
S18_selected_tokens_0105,17,17,17,17,0
S18_selected_tokens_0106,16,16,16,16,0
S18_selected_tokens_0107,16,16,16,16,0
S18_selected_tokens_0108,11,11,11,11,0
S18_selected_tokens_0109,10,10,10,10,0
S18_selected_tokens_0110,14,14,14,14,0
S18_selected_tokens_0111,12,12,12,12,0
S18_selected_tokens_0112,10,10,10,10,0
S18_selected_tokens_0113,11,11,11,11,0
S18_selected_tokens_0114,14,14,14,14,0
S18_selected_tokens_0115,12,12,12,12,0
S18_selected_tokens_0116,8,8,8,8,0
S18_selected_tokens_0117,19,19,19,19,0
S18_selected_tokens_0118,11,11,11,11,0
S18_selected_tokens_0119,14,14,14,14,0
S18_selected_tokens_0120,9,9,9,9,0
