filename,speaker,item_code,variableN,rowN,variantN,word,variant
S18_1-1-2_dinners_O,S18,1-1-2,1,1,2,dinners,O
S18_1-1-3_dental_N,S18,1-1-3,1,1,3,dental,N
S18_1-2-2_fringes_O,S18,1-2-2,1,2,2,fringes,O
S18_1-2-3_friendless_N,S18,1-2-3,1,2,3,friendless,N
S18_1-3-3_gemstone_N,S18,1-3-3,1,3,3,gemstone,N
S18_1-4-2_limits_O,S18,1-4-2,1,4,2,limits,O
S18_1-4-3_lemon_N,S18,1-4-3,1,4,3,lemon,N
S18_1-5-2_spindly_O,S18,1-5-2,1,5,2,spindly,O
S18_1-5-3_spenders_N,S18,1-5-3,1,5,3,spenders,N
S18_1-6-2_tinted_O,S18,1-6-2,1,6,2,tinted,O
S18_1-6-3_tendons_N,S18,1-6-3,1,6,3,tendons,N
S18_1-7-2_vintage_O,S18,1-7-2,1,7,2,vintage,O
S18_1-7-3_venture_N,S18,1-7-3,1,7,3,venture,N
S18_1-8-2_gingerbread_O,S18,1-8-2,1,8,2,gingerbread,O
S18_1-8-3_generates_N,S18,1-8-3,1,8,3,generates,N
S18_1-9-3_sentiments_N,S18,1-9-3,1,9,3,sentiments,N
S18_1-10-2_vindicates_O,S18,1-10-2,1,10,2,vindicates,O
S18_1-10-3_ventilates_N,S18,1-10-3,1,10,3,ventilates,N
S18_2-1-3_fieldwork_N,S18,2-1-3,2,1,3,fieldwork,N
S18_2-2-2_silly_O,S18,2-2-2,2,2,2,silly,O
S18_2-2-3_ceiling_N,S18,2-2-3,2,2,3,ceiling,N
S18_2-3-3_healers_N,S18,2-3-3,2,3,3,healers,N
S18_2-4-3_mealtime_N,S18,2-4-3,2,4,3,mealtime,N
S18_2-5-2_pillars_O,S18,2-5-2,2,5,2,pillars,O
S18_2-5-3_peeling_N,S18,2-5-3,2,5,3,peeling,N
S18_2-6-2_willow_O,S18,2-6-2,2,6,2,willow,O
S18_2-6-3_wheelchair_N,S18,2-6-3,2,6,3,wheelchair,N
S18_2-7-3_wielding_N,S18,2-7-3,2,7,3,wielding,N
S18_2-8-2_stillbirths_O,S18,2-8-2,2,8,2,stillbirths,O
S18_2-8-3_steelworks_N,S18,2-8-3,2,8,3,steelworks,N
S18_2-9-3_dealership_N,S18,2-9-3,2,9,3,dealership,N
S18_2-10-2_willfully_O,S18,2-10-2,2,10,2,willfully,O
S18_2-10-3_wheelbarrow_N,S18,2-10-3,2,10,3,wheelbarrow,N
S18_3-1-2_federals_O,S18,3-1-2,3,1,2,federals,O
S18_3-1-3_featherweight_N,S18,3-1-3,3,1,3,featherweight,N
S18_3-2-2_lettering_O,S18,3-2-2,3,2,2,lettering,O
S18_3-2-3_leathery_N,S18,3-2-3,3,2,3,leathery,N
S18_3-3-2_mutterings_O,S18,3-3-2,3,3,2,mutterings,O
S18_3-3-3_mothership_N,S18,3-3-3,3,3,3,mothership,N
S18_3-4-2_wordiness_O,S18,3-4-2,3,4,2,wordiness,O
S18_3-4-3_worthiest_N,S18,3-4-3,3,4,3,worthiest,N
S18_3-5-2_uttering_O,S18,3-5-2,3,5,2,uttering,O
S18_3-5-3_otherness_N,S18,3-5-3,3,5,3,otherness,N
S18_3-6-2_header_O,S18,3-6-2,3,6,2,header,O
S18_3-6-3_heathers_N,S18,3-6-3,3,6,3,heathers,N
S18_3-7-2_laddered_O,S18,3-7-2,3,7,2,laddered,O
S18_3-7-3_lathers_N,S18,3-7-3,3,7,3,lathers,N
S18_3-8-2_udder_O,S18,3-8-2,3,8,2,udder,O
S18_3-8-3_othered_N,S18,3-8-3,3,8,3,othered,N
S18_3-9-2_fodder_O,S18,3-9-2,3,9,2,fodder,O
S18_3-9-3_fathered_N,S18,3-9-3,3,9,3,fathered,N
S18_3-10-2_wetter_O,S18,3-10-2,3,10,2,wetter,O
S18_3-10-3_weathered_N,S18,3-10-3,3,10,3,weathered,N
S18_4-1-3_coding_N,S18,4-1-3,4,1,3,coding,N
S18_4-2-3_goaded_N,S18,4-2-3,4,2,3,goaded,N
S18_4-3-3_hoses_N,S18,4-3-3,4,3,3,hoses,N
