filename,speaker,item_code,variableN,rowN,variantN,word,variant
S07_1-1-1_dental_M,S07,1-1-1,1,1,1,dental,M
S07_1-1-3_dental_N,S07,1-1-3,1,1,3,dental,N
S07_1-2-1_friendless_M,S07,1-2-1,1,2,1,friendless,M
S07_1-2-3_friendless_N,S07,1-2-3,1,2,3,friendless,N
S07_1-3-1_gemstone_M,S07,1-3-1,1,3,1,gemstone,M
S07_1-3-3_gemstone_N,S07,1-3-3,1,3,3,gemstone,N
S07_1-4-1_lemon_M,S07,1-4-1,1,4,1,lemon,M
S07_1-4-3_lemon_N,S07,1-4-3,1,4,3,lemon,N
S07_1-5-1_spenders_M,S07,1-5-1,1,5,1,spenders,M
S07_1-5-3_spenders_N,S07,1-5-3,1,5,3,spenders,N
S07_1-6-1_tendons_M,S07,1-6-1,1,6,1,tendons,M
S07_1-6-3_tendons_N,S07,1-6-3,1,6,3,tendons,N
S07_1-7-1_venture_M,S07,1-7-1,1,7,1,venture,M
S07_1-7-3_venture_N,S07,1-7-3,1,7,3,venture,N
S07_1-8-1_generates_M,S07,1-8-1,1,8,1,generates,M
S07_1-8-3_generates_N,S07,1-8-3,1,8,3,generates,N
S07_1-9-1_sentiments_M,S07,1-9-1,1,9,1,sentiments,M
S07_1-9-3_sentiments_N,S07,1-9-3,1,9,3,sentiments,N
S07_1-10-1_ventilates_M,S07,1-10-1,1,10,1,ventilates,M
S07_1-10-3_ventilates_N,S07,1-10-3,1,10,3,ventilates,N
S07_2-1-1_fieldwork_M,S07,2-1-1,2,1,1,fieldwork,M
S07_2-1-3_fieldwork_N,S07,2-1-3,2,1,3,fieldwork,N
S07_2-2-1_ceiling_M,S07,2-2-1,2,2,1,ceiling,M
S07_2-2-3_ceiling_N,S07,2-2-3,2,2,3,ceiling,N
S07_2-3-1_healers_M,S07,2-3-1,2,3,1,healers,M
S07_2-3-3_healers_N,S07,2-3-3,2,3,3,healers,N
S07_2-4-1_mealtime_M,S07,2-4-1,2,4,1,mealtime,M
S07_2-4-3_mealtime_N,S07,2-4-3,2,4,3,mealtime,N
S07_2-5-1_peeling_M,S07,2-5-1,2,5,1,peeling,M
S07_2-5-3_peeling_N,S07,2-5-3,2,5,3,peeling,N
S07_2-6-1_wheelchair_M,S07,2-6-1,2,6,1,wheelchair,M
S07_2-6-3_wheelchair_N,S07,2-6-3,2,6,3,wheelchair,N
S07_2-7-1_wielding_M,S07,2-7-1,2,7,1,wielding,M
S07_2-7-3_wielding_N,S07,2-7-3,2,7,3,wielding,N
S07_2-8-1_steelworks_M,S07,2-8-1,2,8,1,steelworks,M
S07_2-8-3_steelworks_N,S07,2-8-3,2,8,3,steelworks,N
S07_2-9-1_dealership_M,S07,2-9-1,2,9,1,dealership,M
S07_2-9-3_dealership_N,S07,2-9-3,2,9,3,dealership,N
S07_3-1-1_featherweight_M,S07,3-1-1,3,1,1,featherweight,M
S07_3-1-3_featherweight_N,S07,3-1-3,3,1,3,featherweight,N
S07_3-2-1_leathery_M,S07,3-2-1,3,2,1,leathery,M
S07_3-2-3_leathery_N,S07,3-2-3,3,2,3,leathery,N
S07_3-3-1_mothership_M,S07,3-3-1,3,3,1,mothership,M
S07_3-3-3_mothership_N,S07,3-3-3,3,3,3,mothership,N
S07_3-4-1_worthiest_M,S07,3-4-1,3,4,1,worthiest,M
S07_3-4-3_worthiest_N,S07,3-4-3,3,4,3,worthiest,N
S07_3-5-1_otherness_M,S07,3-5-1,3,5,1,otherness,M
S07_3-5-3_otherness_N,S07,3-5-3,3,5,3,otherness,N
S07_3-6-1_heathers_M,S07,3-6-1,3,6,1,heathers,M
S07_3-6-3_heathers_N,S07,3-6-3,3,6,3,heathers,N
S07_3-7-1_lathers_M,S07,3-7-1,3,7,1,lathers,M
S07_3-7-3_lathers_N,S07,3-7-3,3,7,3,lathers,N
S07_3-8-1_othered_M,S07,3-8-1,3,8,1,othered,M
S07_3-8-3_othered_N,S07,3-8-3,3,8,3,othered,N
S07_3-9-1_fathered_M,S07,3-9-1,3,9,1,fathered,M
S07_3-9-3_fathered_N,S07,3-9-3,3,9,3,fathered,N
S07_3-10-1_weathered_M,S07,3-10-1,3,10,1,weathered,M
S07_3-10-3_weathered_N,S07,3-10-3,3,10,3,weathered,N
S07_4-3-1_hoses_M,S07,4-3-1,4,3,1,hoses,M
S07_4-3-3_hoses_N,S07,4-3-3,4,3,3,hoses,N
S07_4-8-1_soda_M,S07,4-8-1,4,8,1,soda,M
S07_4-8-3_soda_N,S07,4-8-3,4,8,3,soda,N
S07_4-10-1_soberness_M,S07,4-10-1,4,10,1,soberness,M
S07_5-1-1_kudo_M,S07,5-1-1,5,1,1,kudo,M
S07_5-1-3_kudo_N,S07,5-1-3,5,1,3,kudo,N
S07_5-2-1_moody_M,S07,5-2-1,5,2,1,moody,M
S07_5-2-3_moody_N,S07,5-2-3,5,2,3,moody,N
S07_5-3-1_noodle_M,S07,5-3-1,5,3,1,noodle,M
S07_5-3-3_noodle_N,S07,5-3-3,5,3,3,noodle,N
S07_5-4-1_rudeness_M,S07,5-4-1,5,4,1,rudeness,M
S07_5-4-3_rudeness_N,S07,5-4-3,5,4,3,rudeness,N
S07_5-6-1_prudish_M,S07,5-6-1,5,6,1,prudish,M
S07_5-6-3_prudish_N,S07,5-6-3,5,6,3,prudish,N
S07_5-7-1_students_M,S07,5-7-1,5,7,1,students,M
S07_5-7-3_students_N,S07,5-7-3,5,7,3,students,N
S07_5-8-1_scooted_M,S07,5-8-1,5,8,1,scooted,M
S07_5-8-3_scooted_N,S07,5-8-3,5,8,3,scooted,N
S07_5-9-1_soothingly_M,S07,5-9-1,5,9,1,soothingly,M
S07_5-10-1_studious_M,S07,5-10-1,5,10,1,studious,M
S07_5-10-3_studious_N,S07,5-10-3,5,10,3,studious,N
S07_6-1-1_candied_M,S07,6-1-1,6,1,1,candied,M
S07_6-1-3_candied_N,S07,6-1-3,6,1,3,candied,N
S07_6-2-1_channeled_M,S07,6-2-1,6,2,1,channeled,M
S07_6-3-1_dancer_M,S07,6-3-1,6,3,1,dancer,M
S07_6-3-3_dancer_N,S07,6-3-3,6,3,3,dancer,N
S07_6-4-1_fancy_M,S07,6-4-1,6,4,1,fancy,M
S07_6-4-3_fancy_N,S07,6-4-3,6,4,3,fancy,N
S07_6-6-1_vanish_M,S07,6-6-1,6,6,1,vanish,M
S07_6-6-3_vanish_N,S07,6-6-3,6,6,3,vanish,N
S07_6-8-1_randomness_M,S07,6-8-1,6,8,1,randomness,M
S07_6-9-1_banditry_M,S07,6-9-1,6,9,1,banditry,M
S07_7-1-1_battles_M,S07,7-1-1,7,1,1,battles,M
S07_7-1-3_battles_N,S07,7-1-3,7,1,3,battles,N
S07_7-3-1_padding_M,S07,7-3-1,7,3,1,padding,M
S07_7-6-1_tatters_M,S07,7-6-1,7,6,1,tatters,M
S07_7-6-3_tatters_N,S07,7-6-3,7,6,3,tatters,N
S07_7-9-1_tattletales_M,S07,7-9-1,7,9,1,tattletales,M
S07_7-10-1_chattering_M,S07,7-10-1,7,10,1,chattering,M
S07_8-2-1_fastball_M,S07,8-2-1,8,2,1,fastball,M
S07_8-8-1_restlessness_M,S07,8-8-1,8,8,1,restlessness,M
S07_8-9-1_wistfulness_M,S07,8-9-1,8,9,1,wistfulness,M
S07_8-9-3_wistfulness_N,S07,8-9-3,8,9,3,wistfulness,N
S07_8-10-1_wristwatches_M,S07,8-10-1,8,10,1,wristwatches,M
S07_8-10-3_wristwatches_N,S07,8-10-3,8,10,3,wristwatches,N
