a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
2050.3,2040.3,2058.2,2097.1,2132,2054.9,2106.7,2123.3,2206.8,2282.7,2348.3,2349.3,2359,2362,2359.9,2363,2355.7,2345.6,2365.7,2398.3
2151.6,2160.8,2185.6,2223.2,2146.6,2142.5,2833.1,3094.4,3080.1,3083.1,3096.3,3109.8,3110.7,3093.8,3074.4,3047.4,3007.9,3008.3,3051.2,3132.1
2196.4,2213.5,2252.4,2252.6,2181.9,2183,2284.2,2384,2528,2457.5,2479.4,2498.4,2505.7,2547.3,2615.6,2647.3,2635.4,2635.8,2663,2714.4
2265.8,2311.3,2331,2341.9,2349.6,2331.7,2318.5,2307.4,2297.2,2296.3,2415.5,2973.6,2973,2999.3,3024.7,3055.2,3029.3,3007.4,2941.9,2854
2093.3,2123.2,2150.9,2157.7,2008.1,2001.3,2051.9,2469.9,2591.7,2610.7,2639.1,2631.7,2584.4,2599.4,2639.7,2690.1,2754.5,2746.5,2796.5,2886.6
2069.7,2079.9,2084.4,2070,1971.5,1997.6,1991.2,1954,1939.3,2002.7,2808.8,3086.2,3088.4,3093,3096.7,3100.9,3095.4,3071.8,3052.9,3055.2
1947,1969.8,1973.2,1862,1766.4,1775.6,1878.1,2001.7,2284.9,3046.3,3102.2,3094.1,3062.5,3066.9,3090.1,3135.7,3159.9,3165.7,3170.2,3203.4
2102.7,2027.8,1831,1855.2,2037.7,2209.7,2735.3,2742.1,2781.9,2768.2,2783.7,2787.7,2802.1,2828.1,2852.1,2879.4,2898.2,2874.4,2863.8,2872.8
2000.6,1995.5,1992.4,1995.7,1990.2,1978.3,2137.2,2456.4,2760.3,2838.6,2877.4,2813.4,2813.1,2804.8,2841.1,2867.3,2891.5,2888.8,2921.1,2933.7
2197.7,2202.8,2206.8,2178.2,2172.5,2178.2,2180.7,2199.8,2382.5,2768.6,2841.8,2849.3,2858.2,2864.1,2867.3,2865.5,2831.5,2823.5,2836,2863.8
2202.5,2205.5,2187,2134.7,2153.3,2144.3,2154.2,2201.8,2341.8,2484.9,2573.2,2856.5,2972.4,2975.7,2980.4,2983.9,2981.9,2958.8,2927.2,2907.7
2254.7,2248.4,2385.7,2484.3,2479.7,2478.9,2476.2,2510.8,2591.9,2636.2,2680.4,2689.3,2677.5,2648.8,2604.4,2588.4,2579.1,2610.9,2622.3,2580.3
2135.2,2127.6,2134.6,2057.1,2140.9,2201.2,2275,2589.9,2701,2747.9,2818.9,2814.2,2806.9,2802.3,2808.2,2813.5,2817.6,2796,2780,2799
2196.9,2180.6,2166.8,2162,2164.9,2159.8,2182.7,2265.6,2931.4,2920.3,2929.1,2937.1,2939.8,2934.9,2922.1,2907,2861,2845.4,2889,2982.5
2126.4,2129.5,2130.5,2117.9,2069.9,2072.7,2073.2,2210.9,2395.4,2524.5,2890.8,2973.3,2978,2979.4,2978.5,2976.3,2971.6,2962,2949.5,2939.5
2140.3,2154.3,2173.7,2233.1,2336,2413.8,2513,2491.8,2347.9,2241.1,2309.5,2586.7,2926.5,3047.7,3127.6,3137.4,3138.3,3124.7,3105.1,3097.6
2067.8,2101.6,2103.5,2043.6,2046.8,2049.2,2051.1,2030.7,2266.6,2666.6,2881.9,2886.1,2892.2,2889,2872.6,2854.6,2826,2825.5,2840.4,2869.1
2217.2,2210.5,2184.6,2069.4,2047.7,2058.1,2111.3,2285.2,2609,2806.8,2904.7,2907.4,2904.3,2893.3,2883.5,2881.5,2884.8,2891.4,2914.1,2954.9
2114.7,2106.7,2106.1,2104.8,2079.8,2067.7,2086,2100.7,2224.7,2688,2871.4,2876,2882.8,2886,2881.5,2863.5,2824.7,2774.6,2774.8,2811.5
2336.8,2323.2,2281,2272.1,2278.9,2276.7,2270.5,2340.5,2741.2,2952.4,2959.1,2965.8,2968,2951.8,2933.5,2921.9,2917.1,2911.6,2942.3,2990.8
2430.9,2402.5,2355.6,2372.9,2434,2710.7,2879.3,2925.6,2932.9,2923.3,2894.9,2886,2891.9,2933.4,2954.9,2974.3,3015.2,3010.9,3046.8,3109.1
1941.1,1890.2,1880.3,1877.1,1906.4,2183.6,2346.8,2502.5,2705.5,2784.7,2795,2780.3,2761.5,2751.3,2736.1,2745.2,2760.5,2797.3,2865.1,3043.4
2425.9,2477.2,2412.4,2401,2347,2368.8,2749.5,2827.2,2831.9,2836.7,2826.3,2799.9,2771.9,2759.9,2762.3,2767.6,2774.3,2784.2,2799.5,2888.8
1914.7,1881.7,1822.9,1787.8,1781.3,1789.9,1788.2,1968.3,2663.7,2927.7,2940,2952.9,2959.3,2951,2892.1,2853.2,2849.5,2866.8,2918.3,3012.8
2262,2261.8,2227.6,2219.6,2227,2280.3,2357.7,2426.5,2660,2818.7,2911.5,2936.5,2940.5,2930.1,2958.2,3022.3,3094.6,3048.4,3089.6,3201.5
2041.1,2047.1,1990.7,1949.7,1969,2030.8,2287.5,2729.1,2961.2,2963.2,2963.1,2958.6,2949.6,2947.2,2950.4,2961.7,2973.4,2984.9,2997.6,3021.3
2497.1,2555.1,2518.5,2515.3,2578.7,2589.1,2616.7,2642.4,2701.6,2749.1,2840.1,2953.3,3205.9,3259.9,3281,3304.4,3330.3,3407.5,3355.4,3291.8
1965.9,1983.5,1977,1965.6,2037.9,2070.4,2075.5,2095.5,2133,2194.3,2390.1,2951.3,3009.4,3018.2,3028.3,3037.3,3042.5,3023.2,2989.7,2998.1
2391.4,2456.9,2463.3,2456.5,2381,2409.8,2600.4,2805.4,3051,3097.9,3115.2,3139.6,3122.4,3106.2,3115.3,3147.3,3160.6,3160.3,3178.5,3264.8
1980.6,1972.2,1937.1,1866,1871.7,1891.8,2064.4,2677,2992.4,2995.7,2997.6,3020.6,2979.1,2973.2,2972.6,2974.8,3013.8,3052.8,3097.1,3144.7
