e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
138.2,137,144.1,168.1,211.2,75.7,83.6,114.5,189,137.2,68,62.8,64.8,65.6,64.3,64.8,64.4,59.3,65.7,69.1
100,119.7,151.9,213.2,7.7,72.5,218.4,11.2,11.8,11.6,12.8,14.2,16.1,16.7,12.3,12.3,11.8,17.2,20.2,27.2
184.1,244.7,136,104.1,195.1,189.8,155.8,111.3,55.9,81.6,83.2,82.3,84.2,99,96,78.7,98.1,106.4,96.3,83.5
205.1,93.6,38.3,36.2,43.2,114.4,136.2,121.2,75.6,76.4,353.2,110.1,93.8,94.1,102,104.5,158.7,177.4,122.5,104.4
96.7,102.8,109.3,133.1,64.1,58,82.5,120.8,37.6,28.1,28,38.7,71.1,49.7,42.3,44.9,56.9,45.2,56.6,64.3
56.2,62.4,70,93.5,114.4,119,121.9,88,75,256,574.5,23.9,21.6,23.3,25.4,22,23.3,23.8,25.5,35.1
58.2,73.1,89.7,83.8,57.3,58.1,312.8,266.6,360.3,159.1,57.8,107.7,88.8,79.7,87.7,77.2,66.6,73.8,68.7,70.6
195.3,129.4,126.8,261.2,223.8,368.5,34.9,36.1,36.2,83.9,49.4,50.9,44.6,45,45.9,44.3,42,39.8,31.5,29.2
61.6,104.2,92.6,65.1,55.2,66.7,130,264.9,180.2,125.7,61.1,124.8,104.2,94.8,67.8,51.4,44.7,50.6,47.9,48.2
43.3,42,38.8,39.6,36.1,22.8,32.2,60.1,87.7,71.2,13.9,13.3,14.2,14.9,15,15.1,22.8,19.4,20.8,22.9
37.8,61.5,102.2,205.6,356.1,267.6,172.1,323.8,415.9,337.9,279.9,375.2,33.2,37.9,41.4,44.6,50.3,42.8,40.2,36.2
255.1,291,313.5,245,260.7,219.1,191.7,332,160.4,126.7,78.5,67.2,82,92.7,97.9,104,91.3,79.2,61.5,130.9
110.7,161.1,327.5,236.2,343.4,389.8,646.4,497.6,251,255.8,69.5,76.9,78.5,73.9,69.9,61.4,55.6,64.3,49,51.8
37.7,42.9,82.7,24.4,31.8,62.5,93.7,185.4,51.8,51.8,51.2,52.9,56.2,57.8,59,63.2,66.2,56.5,57,52.1
100.1,109.7,110.1,111.6,100,92.8,151.7,285.1,392.7,344.8,321.6,41.9,43.1,44.4,49.2,53.9,57.1,60.5,60.3,54.3
59.4,69.7,92.3,121.6,134.9,156.2,286.8,314.1,307.8,194.7,228.5,295.7,209.7,113.9,36.6,26.4,24.4,23.6,21,22.4
61.7,51.6,70.7,74.3,38.2,38.4,65.5,121.6,405.8,133.2,31.9,31.8,29.3,29.5,35.1,34.9,26,24.8,21.3,24.3
44.8,57.8,54.4,92.8,51.4,56.7,55.2,73.8,156.5,136,10.4,11.7,13.6,13,11.7,11.7,12.4,13.7,13.4,17
109.7,139.1,173.5,213.3,198.4,102.4,107,107.6,392.9,464.6,90,88.8,88.9,88.1,90.4,93.2,86.5,76.1,78.2,80.8
32.3,56,112.7,65.1,31.6,32.2,57.6,88.1,276.5,24.6,21,23.1,24.5,31.7,37.1,33,26.7,24.4,20.5,22.6
187.4,313,370.3,229.1,272.4,475.8,231.4,197.2,191.7,224.6,263.2,253.6,249.5,302.3,320.2,328,371.1,365.5,342.6,400.1
88.1,64.1,57.7,60.6,73.4,158.5,119.9,111.6,45.4,31.2,35.3,43,44.2,41.6,43.6,38.5,32.1,25.2,33.2,86.6
111.2,138.9,200,365,278.8,366.3,409.2,33.2,32.1,35.2,50.6,61.2,58.4,49,40.4,37.1,60.7,67.2,76.8,153.3
24.4,36.9,65.5,40.9,28.8,29.7,33.3,286.4,444.6,20.5,18.7,18.8,18.9,21.6,30.7,23.3,22.5,21,21.9,27
127.7,192.2,286.4,333.7,287.3,333.2,230.7,182.3,218.4,219.3,249.5,269.6,247.4,232.8,220.3,193.2,176.9,235.1,198.9,218.6
103,116.1,109.3,88.9,101.9,176.5,176.5,123.1,48.6,47.4,52.4,54.3,49.9,47.4,48,44,45.2,46,44.4,58.5
338,266.3,312.8,359.6,267.7,228.8,223.9,293.9,299.3,312.9,305.6,427.3,316.9,148.9,131.2,133.8,137.9,139.8,233.5,253.7
102.5,67.8,65.9,66.9,70.8,55.3,50.9,52.5,58.3,61.1,226.3,54.1,21.9,23.3,22.9,24.1,25,30.3,23.9,21.8
187.8,198.6,344.4,198,189.7,298.5,342.5,299.6,184.6,110,114.6,153.8,256.4,264.8,266.3,275.4,269.8,286.6,262.8,339.5
104.3,131.5,200.6,97.5,94.8,123.2,392.1,328.5,52.5,53.3,50.3,160.8,31.7,30.3,31,34.9,158.5,265.4,333.3,365.4
168.6,174.1,138.1,135.8,119.8,118.1,102.8,107.9,152.9,250.1,149.1,142.6,131.7,133.3,133.1,132.8,129.1,127.1,124.6,127
97.1,107.9,218.2,84.6,71.7,80.6,104.2,105.2,136.6,119.5,94.5,59.6,38.3,31.7,30.8,28.7,28.1,26.7,25.3,26.4
138.8,209.1,193.4,308.1,288.3,292.7,274.2,145.8,134.9,91.3,89.6,96.2,99.1,98,103.8,111.1,115,115.2,115.4,121.1
54.4,60.1,58.9,80.3,76.8,83.5,97.8,77.4,96.9,92.2,51.4,44.9,40.6,35.1,39.2,41.9,43,39.4,34.9,32
90.1,97.2,175.5,105,112.2,150.7,181.7,247.2,103.9,102.2,102.4,106.9,112.7,117.5,110.9,99.5,88.5,85.1,75.5,75.8
46.9,50.6,59.8,44.3,38.4,35.4,55.5,69.3,67.9,23,22.6,21.1,19.5,18.7,16.7,16.7,20.2,19.6,19.5,17.8
134.2,153.1,145.9,132.6,118.5,119.5,232.1,290.3,97.2,78.4,74,72.5,72.4,74.3,75.8,75.6,85.4,101.1,114.5,121.8
98.2,101.8,105.1,103.8,103.7,120.6,140.3,213.8,136.1,94,78.8,78,62.4,55.2,53.1,52.8,54,53.5,56.3,54.8
155.6,260.7,301.9,148.7,120.2,120.2,193.2,196,149.7,135.7,98.2,76,75.9,67.5,76.7,86.8,92,84.2,96.9,112.8
57.2,72.4,63.7,50.4,44.5,43.5,51,59.7,67.2,358.7,204.2,105,26,25.7,26.7,24.9,25.7,25.4,26.6,27.2
333.2,341.7,345.4,325.5,385.3,203.1,69.1,72.8,63,46.1,52.6,62.5,58.3,61.8,65.7,80.4,88,89,90.4,100.5
98.5,304.2,10124.8,10288.6,10574.7,178.9,82.7,80.5,173.4,161.9,133.3,126.5,81.8,82.8,74.4,72.8,74.1,71.8,74.1,80.1
374.7,349.5,371.9,551.4,360.8,343.4,228.1,226.6,117.5,111.3,90,53.8,47.8,49.3,51.9,54.3,56.7,59,57.3,60.2
