inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,stress,word,word_interval,word_start,word_end,previous_word,next_word
S01_selected_tokens,S01_selected_tokens_0001,EH,2,0.1,0.06,0.16,-,-,0,1,dental,1,0,0.88,-,-
S01_selected_tokens,S01_selected_tokens_0002,EH,4,0.05999999999999994,0.9566,1.0166,-,-,0,1,dental,3,0.8966,1.8066,-,-
S01_selected_tokens,S01_selected_tokens_0003,EH,6,0.16999999999999993,2.044,2.214,-,-,0,1,friendless,5,1.824,3.094,-,-
S01_selected_tokens,S01_selected_tokens_0004,EH,8,0.1299999999999999,3.3941,3.5241,-,-,0,1,friendless,7,3.1441,4.5941,-,-
S01_selected_tokens,S01_selected_tokens_0005,EH,10,0.13000000000000078,4.7399,4.8699,-,-,0,1,gemstone,9,4.6399,6.0399,-,-
S01_selected_tokens,S01_selected_tokens_0006,EH,12,0.11999999999999922,6.1957,6.3157,-,-,0,1,gemstone,11,6.0957,7.4257,-,-
S01_selected_tokens,S01_selected_tokens_0007,EH,14,0.1299999999999999,7.7098,7.8398,-,-,0,1,lemon,13,7.4798,8.6098,-,-
S01_selected_tokens,S01_selected_tokens_0008,EH,16,0.10999999999999943,8.8672,8.9772,-,-,0,1,lemon,15,8.6572,9.7172,-,-
S01_selected_tokens,S01_selected_tokens_0009,EH,18,0.15000000000000036,10.0603,10.2103,-,-,0,1,spenders,17,9.8003,11.2303,-,-
S01_selected_tokens,S01_selected_tokens_0010,EH,20,0.09999999999999964,11.5972,11.6972,-,-,0,1,spenders,19,11.2772,12.8272,-,-
S01_selected_tokens,S01_selected_tokens_0011,EH,22,0.15000000000000036,13.0399,13.1899,-,-,0,1,tendons,21,12.8499,14.1999,-,-
S01_selected_tokens,S01_selected_tokens_0012,EH,24,0.09000000000000163,14.3677,14.4577,-,-,0,1,tendons,23,14.2177,15.6077,-,-
S01_selected_tokens,S01_selected_tokens_0013,EH,26,0.129999999999999,15.7558,15.8858,-,-,0,1,venture,25,15.6258,16.8558,-,-
S01_selected_tokens,S01_selected_tokens_0014,EH,28,0.08999999999999986,17.0827,17.1727,-,-,0,1,venture,27,16.9027,18.2327,-,-
