time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,335.0,40.9,1287.5,128.7,2598.1,371.3,336.7,1305.4,2581.3,187.2,72.2,20.2
0.027000,338.5,40.0,1312.3,122.0,2589.0,399.1,338.4,1311.1,2587.6,187.5,72.4,20.6
0.029000,341.8,41.8,1329.1,114.5,2585.6,417.4,340.9,1320.3,2597.7,187.8,72.6,21
0.031000,344.8,44.2,1341.7,107.6,2597.4,403.5,344,1332.5,2611,188.1,72.8,21.4
0.033000,347.7,45.6,1352.8,101.6,2622.0,357.8,347.3,1347.1,2626.9,188.4,73,21.8
0.035000,350.4,46.2,1364.9,98.1,2647.5,313.3,350.3,1363.4,2644.5,188.7,73.1,22.2
0.037000,352.9,46.7,1379.8,98.0,2669.1,292.6,352.9,1380.4,2662.9,189,73.2,22.5
0.039000,354.7,47.9,1395.6,100.8,2686.1,297.4,354.8,1397.5,2681.2,189.3,73.3,22.8
0.041000,355.9,49.8,1411.4,104.1,2700.9,311.7,356.1,1413.8,2698.8,189.6,73.4,23.1
0.043000,356.5,52.1,1425.0,104.7,2714.9,313.8,356.9,1428.6,2715,189.9,73.4,23.5
0.045000,356.9,54.9,1436.4,102.7,2728.7,294.4,357.3,1441.2,2729.6,190.2,73.4,23.8
0.047000,357.3,58.9,1446.8,100.3,2742.4,264.3,357.6,1451.4,2742.7,190.5,73.3,24.2
0.049000,357.9,64.1,1457.4,100.3,2754.9,236.2,358,1458.9,2754.6,190.8,73.3,24.8
0.051000,358.7,70.2,1467.0,103.0,2764.9,216.3,358.5,1463.7,2765.7,191.1,73.3,25.3
0.053000,359.8,76.7,1472.9,106.4,2773.4,208.0,359.3,1466,2776.7,191.4,73.2,25.7
0.055000,360.8,84.1,1473.2,108.4,2783.9,211.5,360.2,1465.9,2788,191.7,73.2,25.8
0.057000,361.6,92.0,1468.3,108.0,2798.2,220.3,361.1,1463.7,2800.1,192.1,73.1,25.8
0.059000,362.1,99.5,1459.9,104.7,2815.5,221.8,362,1459.8,2812.9,192.4,73,25.5
0.061000,362.5,106.3,1449.8,99.6,2832.3,210.8,362.7,1454.3,2826.4,192.7,73,25.1
0.063000,362.7,114.5,1440.6,94.6,2845.7,197.3,363.1,1447.6,2840.1,193,72.9,24.7
0.065000,362.7,125.5,1433.5,90.5,2855.3,192.7,363.2,1439.9,2853.2,193.3,72.9,24.3
0.067000,362.5,137.8,1427.7,86.6,2862.1,199.5,363,1431.2,2865,193.5,72.8,23.9
0.069000,362.3,148.2,1421.8,82.5,2867.9,214.3,362.8,1421.8,2874.8,193.8,72.8,23.5
0.071000,362.3,154.7,1415.2,79.1,2876.0,232.7,362.5,1412,2882.1,194.1,72.7,23.1
0.073000,362.6,158.2,1407.7,77.5,2886.7,251.3,362.2,1402.1,2886.7,194.3,72.7,22.7
0.075000,363.0,159.1,1398.2,76.1,2893.4,268.2,362.1,1392.5,2888.8,194.6,72.7,22.4
0.077000,363.1,159.3,1387.5,73.8,2892.7,281.9,362.2,1383.7,2888.9,194.8,72.6,22
0.079000,363.0,160.9,1377.1,70.7,2890.4,302.2,362.3,1376.1,2887.8,194.9,72.6,21.6
0.081000,362.6,163.9,1369.2,67.7,2888.7,343.8,362.5,1370.3,2886.2,195.1,72.6,21.2
0.083000,362.2,168.2,1364.0,66.8,2885.4,415.3,362.7,1366.6,2884.8,195.2,72.6,21
0.085000,361.4,174.1,1359.7,69.3,2877.5,510.2,362.7,1365.3,2884.3,195.3,72.5,20.8
