time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,433.0,152.9,2127.9,90.5,2587.8,762.2,464.8,2125.5,2580.4,177.6,75,5.8
0.028000,445.5,157.4,2129.4,89.4,2596.1,633.6,464.2,2125.8,2579.6,177.5,75.2,7.2
0.030000,455.3,159.4,2128.0,89.0,2592.4,558.1,463.1,2126.3,2578.3,177.4,75.4,8.7
0.032000,462.1,159.6,2125.6,90.9,2580.9,516.6,461.6,2126.9,2576.6,177.3,75.6,10.2
0.034000,465.9,160.0,2122.5,96.0,2565.2,489.7,459.8,2127.8,2574.4,177.2,75.7,11.4
0.036000,467.4,162.7,2119.7,103.6,2550.4,465.2,457.6,2129,2571.9,177,75.8,12
0.038000,467.0,167.2,2119.1,111.8,2543.3,444.0,455.1,2130.3,2569.1,176.9,75.8,12
0.040000,465.3,173.2,2120.6,121.1,2545.4,425.7,452.3,2131.9,2566.1,176.8,75.7,11.7
0.042000,462.6,180.4,2123.6,131.6,2553.0,412.3,449.2,2133.8,2562.9,176.7,75.6,11.4
0.044000,458.9,189.2,2128.9,142.5,2561.0,408.6,446,2136,2559.6,176.5,75.4,11.5
0.046000,453.7,199.5,2136.3,151.3,2564.8,419.8,442.7,2138.5,2556.3,176.4,75.3,12.3
0.048000,446.9,211.6,2145.0,158.1,2562.2,443.3,439.2,2141.3,2553.2,176.3,75.2,14
0.050000,439.2,224.7,2153.2,162.6,2552.8,465.9,435.7,2144.4,2550.2,176.2,75.1,16
0.052000,431.2,239.4,2160.0,164.6,2542.0,471.6,432.1,2147.8,2547.5,176.1,75,18.1
0.054000,424.7,253.6,2164.1,162.3,2540.6,459.0,428.6,2151.5,2545.1,176,74.9,19.9
0.056000,419.5,267.5,2166.9,156.2,2548.9,435.9,425.2,2155.4,2543.1,175.9,74.9,21.1
0.058000,415.0,280.4,2169.6,148.8,2559.1,409.3,421.8,2159.6,2541.5,175.8,74.9,22.1
0.060000,411.4,290.7,2173.9,142.2,2564.3,385.7,418.6,2164,2540.3,175.7,74.8,22.8
0.062000,409.0,295.6,2178.9,138.0,2562.0,369.1,415.5,2168.6,2539.7,175.6,74.8,23.3
0.064000,407.8,296.0,2183.0,137.0,2553.4,355.3,412.5,2173.2,2539.6,175.6,74.7,23.6
0.066000,407.5,293.2,2184.4,140.4,2540.7,344.1,409.8,2177.9,2540,175.5,74.7,23.8
0.068000,406.8,288.8,2183.1,147.9,2528.4,339.9,407.2,2182.6,2540.9,175.4,74.6,23.7
0.070000,405.2,283.7,2181.9,157.2,2520.0,344.5,404.7,2187.2,2542.3,175.3,74.6,23.4
0.072000,403.4,278.8,2184.2,162.5,2520.9,359.8,402.4,2191.6,2544.2,175.3,74.6,23.1
0.074000,401.4,275.2,2191.0,160.2,2534.2,385.6,400.3,2195.9,2546.5,175.2,74.6,22.8
0.076000,399.6,273.6,2198.3,153.2,2553.0,410.0,398.3,2199.8,2549.1,175.1,74.6,22.7
0.078000,398.0,274.7,2203.9,145.9,2567.9,425.8,396.4,2203.4,2552.2,175.1,74.7,22.8
0.080000,396.1,278.2,2206.9,141.2,2574.3,434.5,394.7,2206.5,2555.5,175,74.7,23
0.082000,394.1,282.6,2207.9,139.8,2574.0,441.5,393,2209.1,2559.1,174.9,74.8,23.2
0.084000,392.3,286.9,2207.6,141.1,2571.9,448.5,391.4,2211.2,2562.8,174.9,74.8,23.2
0.086000,390.0,291.6,2206.8,144.3,2570.5,454.6,389.8,2212.7,2566.7,174.8,74.8,23.1
0.088000,387.5,295.0,2205.8,148.1,2570.7,460.0,388.3,2213.6,2570.6,174.7,74.8,22.8
0.090000,385.2,294.6,2204.0,151.3,2572.1,468.4,386.8,2213.9,2574.5,174.6,74.8,22.3
0.092000,383.2,291.1,2201.5,153.6,2572.5,481.2,385.3,2213.4,2578.5,174.5,74.8,21.9
0.094000,381.7,287.0,2199.2,155.2,2570.2,498.5,383.8,2212.3,2582.3,174.4,74.8,21.6
0.096000,380.5,284.4,2198.2,156.2,2565.1,519.3,382.3,2210.6,2586.1,174.3,74.8,21.7
0.098000,379.4,284.5,2198.5,157.2,2559.7,539.5,380.8,2208.2,2589.7,174.2,74.9,22.2
0.100000,378.8,287.1,2199.2,157.4,2560.5,553.0,379.3,2205.1,2593.2,174.1,74.9,22.8
0.102000,378.4,291.6,2200.2,156.8,2569.2,563.8,377.8,2201.6,2596.5,174,74.9,23.5
0.104000,377.8,296.6,2200.7,156.0,2582.7,575.1,376.3,2197.5,2599.6,173.9,74.8,23.9
0.106000,376.9,300.2,2199.6,154.6,2596.5,584.8,374.9,2192.9,2602.5,173.8,74.8,24
0.108000,375.3,304.0,2196.1,152.2,2610.8,587.1,373.5,2188,2605.2,173.7,74.7,24
0.110000,373.4,309.8,2189.9,149.9,2623.3,572.9,372.2,2182.7,2607.8,173.5,74.7,23.8
