time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,291.5,96.3,1390.8,187.2,2049.4,113.0,277.4,1379,2114.1,166.9,67.7,21.9
0.027000,289.2,97.1,1384.4,159.4,2067.9,103.7,277.4,1379.8,2114.1,166.8,67.8,23.7
0.029000,288.1,97.7,1378.4,135.8,2088.8,87.7,277.2,1381.3,2114.2,166.8,67.9,25.5
0.031000,286.4,98.2,1374.1,116.9,2106.5,71.5,277,1383.2,2114.3,166.7,68,27.2
0.033000,281.9,97.6,1373.9,102.6,2116.5,63.5,276.7,1385.8,2114.4,166.7,68.1,28.5
0.035000,275.9,95.3,1377.2,92.9,2119.6,65.1,276.4,1388.8,2114.5,166.6,68.2,29.4
0.037000,270.0,91.2,1380.5,89.2,2117.5,73.6,276,1392.4,2114.7,166.6,68.2,29.7
0.039000,265.4,86.3,1381.7,92.0,2112.7,83.9,275.6,1396.5,2114.8,166.6,68.3,29.4
0.041000,262.8,82.1,1381.7,100.5,2109.7,90.1,275.2,1401,2115.1,166.5,68.4,28.8
0.043000,262.0,79.8,1383.7,111.7,2111.8,88.2,274.8,1406,2115.3,166.5,68.4,28.3
0.045000,262.8,78.9,1390.3,122.2,2118.1,80.1,274.4,1411.3,2115.6,166.5,68.5,27.9
0.047000,264.5,78.6,1403.2,133.0,2125.1,72.3,273.9,1417.1,2115.9,166.5,68.6,28
0.049000,266.4,79.2,1426.6,146.9,2129.6,70.0,273.5,1423.2,2116.3,166.5,68.6,28.2
0.051000,268.2,80.2,1462.0,160.8,2130.8,76.0,273.1,1429.5,2116.7,166.6,68.7,28.5
0.053000,269.3,79.7,1497.1,166.4,2130.9,89.9,272.8,1436.2,2117.2,166.6,68.8,28.6
0.055000,269.3,76.6,1511.8,165.2,2130.7,106.6,272.5,1443.1,2117.7,166.7,68.9,28.4
0.057000,269.0,72.3,1501.0,160.4,2128.5,116.4,272.3,1450.2,2118.3,166.7,69,27.7
0.059000,269.1,68.4,1475.9,146.1,2125.9,112.9,272.1,1457.4,2119,166.8,69.1,26.7
0.061000,269.7,65.5,1453.5,126.0,2126.1,102.0,272.1,1464.8,2119.7,166.9,69.2,25.5
0.063000,270.4,63.3,1442.9,111.2,2129.7,93.7,272.1,1472.3,2120.4,167,69.4,24.4
0.065000,271.4,61.8,1446.0,105.4,2135.9,90.6,272.2,1479.8,2121.3,167.1,69.5,23.5
0.067000,272.7,60.9,1461.0,107.6,2143.1,90.2,272.5,1487.4,2122.2,167.2,69.7,22.9
0.069000,274.5,60.5,1485.0,118.4,2147.1,89.5,272.8,1494.9,2123.2,167.4,69.8,22.4
