file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
S01_selected_tokens_0001,645.2,1872.4,2345.6,-24,-38.6,-165.7,-25.6,0.2,40.6,11.6,51,-61.6,-3,9.4,91.4,5.9,13.7,-27.9
S01_selected_tokens_0002,517,2129.5,3080.1,-43.2,-49.2,-34.7,-15.5,-19.5,-15,9.5,0,-22.7,-9.2,-1.6,-12.3,6.2,-0.4,-19.7
S01_selected_tokens_0003,672.2,2031.7,2528,17.1,-200.1,32.4,-29.6,-36.8,19.1,12.3,12.9,-178,-15.3,-35.4,4.1,9.7,25.8,-8.2
S01_selected_tokens_0004,543.8,2173.7,3007.4,-29.7,-114.7,-730.9,-37.2,-145.9,-190.3,12.8,-49,232.6,-7.5,-58.2,174.5,6.7,-4.5,-40.6
S01_selected_tokens_0005,672.4,1756.7,2639.1,-34.9,93.7,-238.1,-27.5,-59.5,-112.5,4.3,51.1,-35.3,-18.1,-37.8,-14.9,-1.9,11.4,-26.6
S01_selected_tokens_0006,627.2,1912.3,3088.4,-88.4,219.7,-55.3,-60.3,-47,-29.3,-16.4,-13.1,-4.5,8,-16.7,-12.9,-5.3,2,8.2
S01_selected_tokens_0007,713,1734.9,3203.4,4.4,-92.8,-103.5,-18.8,-101.7,110.3,4.8,-8,-11.6,-11.1,-18.8,36.7,1.1,-15,-5.9
S01_selected_tokens_0008,579.2,1625.8,2872.8,9.2,2.8,38.1,-42.8,-109.4,48.5,2.5,3.3,25.8,-16.8,-31.9,4.8,5,16.2,8.3
S01_selected_tokens_0009,722.8,1949.5,2891.5,29.7,-121.6,-312.3,-82.7,3.6,-60.6,21.1,7.1,6.8,-43.3,-8.4,-24.6,14.1,-1.8,-3.9
S01_selected_tokens_0010,514.5,2081.3,2849.3,-10.1,-33.6,-33.8,-5.9,-33.6,-11.4,0.4,4.4,-31.1,-2.9,6.4,8.1,0.1,14.3,-2.1
S01_selected_tokens_0011,698.7,2073.6,2972.4,59.3,-42.9,-193.3,-24.1,-35.5,-34.3,20.5,37.4,13.9,-14.8,-5,-7.9,13.6,17,-7.2
S01_selected_tokens_0012,483,2155.1,2622.3,-18.4,39.3,233.4,-50.2,-39.7,102.2,-13.7,127.9,-91.1,-12.8,71.4,-43.9,-3.2,-7,60
S01_selected_tokens_0013,594,1941.5,2780,-15.2,-40.1,-221.5,-38.5,-44.5,-7.9,7,5.9,112.9,-28.2,-88.2,45.4,-0.4,28.8,63.9
S01_selected_tokens_0014,441.2,2110.2,2937.1,-40,-48.9,-89.7,12.9,-14.5,-59,5.5,-3.2,0.8,1.6,21.4,42.2,-0.3,10.1,7
S01_selected_tokens_0015,733.6,1986.4,2973.3,-67.7,85,17.7,-52.3,59.9,114.8,-31.1,-4,8.1,-27.8,-6,-11.9,-4.7,8.1,-20.2
S01_selected_tokens_0016,549.6,2075.6,3105.1,-48.6,99.4,-35.1,-30.8,-66.6,-63,12.9,-2.7,42.6,-12.4,5,-22.2,1,-11.6,8.3
S01_selected_tokens_0017,669.7,1958.3,2840.4,13.6,10.9,-144.3,-103.2,-11.6,-11.9,-41.6,-43.6,26,-17.2,-25.2,46.6,2.8,-1.8,24.1
S01_selected_tokens_0018,561,2008.7,2904.7,-5.3,8.5,-94.4,-3.8,-10.1,-3.2,-1.6,4.6,2.6,-1.5,0.5,0.1,-0.3,9.2,22
S01_selected_tokens_0019,613.9,1952.5,2774.6,-29.6,-64.3,-67.4,-91.9,-46.6,-133.9,0.6,-57.6,22.5,-26.4,-0.4,-68.5,1.8,66.4,18.1
S01_selected_tokens_0020,509.1,2209.2,2942.3,-8.4,-78.7,4.9,-12.8,-129.7,-114.3,-2.7,26.3,-45.7,-7.1,-35.2,-15.6,-1.4,-3.8,-9.7
S01_selected_tokens_0021,543.2,2197.5,2932.9,-62.4,306.9,179.9,82.7,-253,-13,77.3,-12.9,-76.4,50.3,-38.8,4.1,79.7,111.5,-35
S01_selected_tokens_0022,534.2,1769,2797.3,-23.4,134.2,-92,2.8,-63.1,54.3,-7.4,-57.2,-13.5,2.6,-6.4,65.2,-2.1,1.4,-18
S01_selected_tokens_0023,489.4,2137.7,2831.9,-45.4,223.3,-87,22.6,-261.4,41.3,-8.1,78.1,-29.3,-2.8,-15.3,-4.3,5.5,-22.3,16.9
S01_selected_tokens_0024,558.5,1720,2940,-46.2,138.7,-159,-5.7,-40,-4.3,-1.2,-4.5,-41.9,3.9,21.1,7.3,-2.5,-1.9,38.9
S01_selected_tokens_0025,544,2161.5,3094.6,-108.8,635.8,98,-59.9,-11.2,354.9,-6.4,0.6,234.6,5.1,-58.4,59.3,-0.5,-34,8.8
S01_selected_tokens_0026,565.9,1824.7,2961.7,-48.8,187.6,-84.9,-34,34.5,-14.8,-18.7,15.1,21.6,-15.4,30.4,-3.2,-13.2,6.5,15.8
S01_selected_tokens_0027,600.1,2409.2,3281,-144.9,575.2,325.9,2.7,-282.8,140,5.3,-37.7,-159.8,-0.4,7.6,-75.4,7.9,38.7,-42.4
S01_selected_tokens_0028,589.8,1849.2,2998.1,-33.8,153.1,-89.7,10.1,-25.9,6.6,-4.5,-10.9,-17.1,2.9,7.8,5.6,-1.8,-16.4,-10.4
S01_selected_tokens_0029,490.4,2305.1,3097.9,-95,521.5,37.7,-21.6,-240.4,93.9,5.3,-1.8,10.6,-14.8,92.6,-7.7,-15.5,21.6,46.5
S01_selected_tokens_0030,522.6,1767.4,2973.2,-82.1,131.7,-137,-54.1,48.2,-37.7,-29.7,10.1,-37.3,-9.8,5.1,-37.4,1,3.1,0.1
S01_selected_tokens_0031,473,2110.5,2912.3,-157.6,205.6,-251.7,33.9,-367.4,46.7,47.8,-186.4,-194.3,-20.7,-73.3,18.5,2.1,-51.7,59.5
S01_selected_tokens_0032,570.6,1811.2,3152.7,-36.8,-16.7,-150.9,-16.3,-139.9,17.2,-4.5,-25.6,-18.1,-2.4,-12.3,43.8,-2.7,2.8,-3.4
S01_selected_tokens_0033,498.4,2069,2775.1,-59.7,158.9,-188.8,11.3,-370.3,-21,9.8,-137.8,-10.8,-0.5,-40.7,-47.3,3.9,-16.5,27
S01_selected_tokens_0034,564.3,1780.7,2849.6,-21.7,62.9,-156.3,-10,-152.6,124.7,2.4,-42.2,-45.9,-5.5,-38.4,42.8,0.7,-20.9,-40.3
S01_selected_tokens_0035,509.9,2200.9,3053.6,-118.7,479.5,-309.2,4.6,-190.5,126.7,32.5,-61.7,94.2,2.8,-2,37.8,-5.5,67.6,-44.2
S01_selected_tokens_0036,546.7,1900.9,2850.5,-25.7,286.2,-204.3,-11.9,20.3,-7.8,-4.2,-58.8,7.3,0.9,-13.9,27.8,-1,14.5,5.8
S01_selected_tokens_0037,446.1,2035.1,2909.3,-94.4,346.6,-33.4,34.1,-202.5,62.9,8.2,114.2,-115.8,-26.6,112.4,-19.2,10.8,29.6,37.4
S01_selected_tokens_0038,568.5,1830,2885.8,-42.6,245.5,-174.9,-15.7,-18.8,85.5,-5.9,-2.6,-27.8,-8.3,-29.6,-41.5,-2.3,17.4,36.5
S01_selected_tokens_0039,500.5,2013,2918.1,-101.5,174.8,-263.9,14.2,-357.9,13.1,6.6,-20,-12.7,2.1,-45,59.8,0.4,-113,40
S01_selected_tokens_0040,591,1683.9,3087,-40.1,9,-99.7,-16.3,-97.4,-16.1,-2.8,-21.9,-13.1,-2.1,-40.1,-2.9,1,5.9,-1.9
S01_selected_tokens_0041,536.8,1378.3,2995.3,70.8,56.8,7,3.2,118.4,-48.2,6.1,-46.5,44.7,2.3,26.4,-23.1,2,-25.7,21.1
S01_selected_tokens_0042,512.8,1027.4,3335.1,39.4,-46.1,121.1,14.9,99.1,-162.7,13.2,-40.7,169.4,11.4,33.6,-119.8,-2.1,-33.2,113.6
S01_selected_tokens_0043,486.2,1505.1,2955.4,29.7,88.4,-120.9,-12.5,110,-82.7,-10.4,-52.2,3.9,-15.4,35.3,-60.1,-6.5,-29,32
S01_selected_tokens_0044,488.9,986.8,3174,56.8,-6.1,-1.2,15.2,169.3,-198.9,-3.9,-104.6,33,-14.7,128.3,-12,-15.1,-71,-1.8
S01_selected_tokens_0045,525.5,1642.8,2824.8,52.1,77.6,-118.2,-4.6,60.4,13.2,9.3,-48.2,23.4,-16.4,-10.2,4.8,-0.2,11.4,-35.2
S01_selected_tokens_0046,479,915.7,3167.2,23,-223.4,96.2,-37.9,222.5,-58.7,28.1,-67.7,-36.8,-4.7,49.4,39.2,3.2,7.5,-43.8
S01_selected_tokens_0047,543.7,1463.6,2886,57.8,166.4,1.1,6.8,73.3,35,-6.2,-48.8,0.6,-4.2,51,-21,-3,-28.5,-0.8
S01_selected_tokens_0048,548,937.6,3154.6,49.5,85.8,269.1,4.2,217.6,-163.6,-17.8,-76.8,-67,-24.5,66.8,73,14.6,-83.6,-24.8
S01_selected_tokens_0049,530.5,1423.3,2988.5,115.4,7.4,-81.2,16.2,116.6,20.9,3.9,-21,-54.4,-11.4,32.3,1.2,-5.2,-24.1,-15
S01_selected_tokens_0050,516.1,996,3130.2,48,-170,48.6,-13.2,220.2,-121.6,18.7,-47.6,46.1,4.7,20.3,2.7,12.6,1.1,6
S01_selected_tokens_0051,521.7,1231.7,2765.2,31,302.1,-337.1,-16.2,57.9,-43.8,3.3,16.9,-58.4,-11.4,16.3,-103,3.1,4.3,13.3
S01_selected_tokens_0052,490.7,969,2880.7,61.9,219.4,-253,-26.1,53.3,-206.6,28.4,54,-10.6,-20.1,72.5,-65.8,9.8,7.4,17.9
S01_selected_tokens_0053,505.7,1544.2,2802,36.6,34,-41.9,-19.3,160.5,-1.5,6.9,-80.7,71.3,-8.4,87.3,2.4,10.7,-57.8,7.2
S01_selected_tokens_0054,527.6,1168,3234,86.6,-59.9,67.9,17.7,232.3,-51.7,38.2,-76.1,108.8,-11.4,121.8,-40.5,4.6,-51.7,-64.7
S01_selected_tokens_0055,601,1368,2948.6,89.2,300,16.1,-25,115.4,-136.8,-34,-80.1,70.3,-11.7,89.8,-63,-5.6,-5.6,39.3
S01_selected_tokens_0056,546.1,1060.8,3312.7,66.6,116.6,-55.4,46,326.6,-87.5,-8.6,-45.4,-46.9,-17.8,120.3,-57.9,-13.2,-15.9,-69.5
S01_selected_tokens_0057,507.5,1671.2,2814.4,71,2.9,3,6.7,143.6,-25.8,-5.8,-53,33.7,-18.6,44,13.1,-9.9,-28.6,14.2
S01_selected_tokens_0058,525.5,862.1,3318.5,81.3,-139.2,159.2,50.6,128.9,-23.5,23.4,-129.9,84.5,14.5,89.7,-66.4,15,-57.6,42.4
S01_selected_tokens_0059,537.8,1250,2919.8,78.6,211.5,51.7,-5.3,5.8,3.9,17.1,24.8,90.6,-26.9,-6.2,-28.4,0.3,-29.7,29.6
S01_selected_tokens_0060,501.7,911.2,3394.9,18,192.4,11.8,-23.2,219,70.4,22.8,18.6,98.2,-14.4,105.2,-6.8,22.3,-24.2,-42.8
S01_selected_tokens_0061,449.9,1262.2,2926.9,-7.9,-82.6,9.2,-5.3,65.4,-97.1,-1.2,-40.3,-3.8,-2.3,64.9,-11,-2.8,-40.2,-16.3
S01_selected_tokens_0062,431.7,1722.6,2822.9,-17.4,85.8,-74.2,-12.9,22.4,-48.3,-7.4,-12.6,12.4,-14.1,15,-2,-9.3,-5.9,25.8
S01_selected_tokens_0063,436.4,1476.1,2922.2,14,-132.4,6.9,7.2,71.2,-12.4,-5.5,-49.7,8.8,-6.6,11.5,22.6,4.1,-22.9,10.3
S01_selected_tokens_0064,441.6,2020.6,2810.2,6.7,-28.1,-43.3,-3.4,26.6,-39.4,3.7,-97.6,7.7,-5.4,15.8,1.8,3.4,-46.9,-7.7
S01_selected_tokens_0065,385.3,1574,2819,-35.6,194.5,-129.9,-5.8,137.8,35.2,8.4,-37.1,47.5,8.5,73.2,-2.1,3,12.7,61.7
S01_selected_tokens_0066,403,2356.2,2977.4,-6.8,479,148.3,-10.5,-155.9,124.7,5.5,-24.4,-23,-10,8.2,-22.8,8,-4.7,-8.3
S01_selected_tokens_0067,423.8,1467.7,2483.3,-26.4,-134.6,-106.5,-8.7,52.6,-101.1,2.8,-39,30.4,0.9,3.9,-32.4,2.2,-0.7,17.8
S01_selected_tokens_0068,418.5,2123.3,2650.4,3.5,-46.2,-167.1,-28.3,104.4,-14.8,-5.3,-86.1,-87.9,-12.7,19,-15.4,-0.7,-46.8,-35.2
S01_selected_tokens_0069,384.2,1553,2404.7,7.4,-54,-205.7,-11.3,78,-60.8,6.1,-34.2,-14.6,-3.2,25,-30.4,4.1,-16.4,-10.2
S01_selected_tokens_0070,397.3,1828,2375.7,1.6,59.9,-235,2.6,-23.8,-70.6,2.7,-105.8,-14,-19.9,23.1,-13.8,12.7,-10.7,43.6
S01_selected_tokens_0071,413.3,1401.6,2525.3,-3.5,-21.1,-259.2,3.5,153.1,-156,1.7,-61.6,-49.4,3.4,45.6,-52.8,7.6,-0.5,4.5
S01_selected_tokens_0072,426.2,1794,2486.6,-2.9,140.1,-317.5,-7.4,51.7,-89.7,-4.3,-79.3,-1.6,1.7,-2.5,-0.6,-0.3,-31.9,9.1
S01_selected_tokens_0073,434.5,1755.9,2800.9,-13.5,209.5,12.7,-9.5,77.3,19.1,-5.4,-38.5,32.6,-0.5,49.3,48.3,-2.7,-15.1,38.3
S01_selected_tokens_0074,423.6,2116,2797.4,-24.5,568.6,34.3,-17.4,6.1,21.4,1.8,-113.7,62,-9.3,-5.7,-42.9,4.9,4.1,4.3
S01_selected_tokens_0075,466.6,1321,2844.7,-24.1,-120.2,-51,5,77.9,-73.1,1,-52.1,23.1,-1.6,29.6,1.7,3,-12.2,35
S01_selected_tokens_0076,447.5,2067.6,2741.6,-39.9,288.5,-2.1,-15.7,90.9,25.5,-3.3,79.5,46.2,-10.4,42.3,24.3,2.1,7.9,20.2
