file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35,f16,f26,f36,f17,f27,f37,f18,f28,f38,f19,f29,f39
S01_selected_tokens_0001,226.9,0.098,EH,8,Black,1,7684,0.026211046308209696,1.1670869128666004,1.3278756927729578,0.027849048312448055,1.1027229879756533,1.3048654287363188,0.052102460240950776,1.1187942676589744,1.3216116901880275,0.08818480584494282,1.1231826455188587,1.352981613904034,0.123010429664002,1.1469804154149417,1.3846623455766158,0.1289451651838167,1.1743938347296323,1.3955593519805474,0.1259822000531594,1.1857693451933988,1.3225089535950172,0.11404175968124175,1.1586702403501752,1.4415866167289417,0.06005795168206518,1.1459108965964155,1.5003361208011325
S01_selected_tokens_0002,237.7,0.06,EH,8,Black,2,6263,-0.24952085677291347,1.244183753717758,1.6147769073569629,-0.2239331068245063,1.2519132608000252,1.6444624644628947,-0.196932505006,1.2638722648435525,1.6480310002855196,-0.15676646328066557,1.2742791704993692,1.6447874035396763,-0.12004736231778512,1.2850445447696082,1.6486784590326442,-0.0864621161959036,1.291541087340006,1.6502952742595491,-0.055746060965456756,1.2929277295774426,1.6486784590326442,-0.05752700533645161,1.2924657291072243,1.651586846928601,-0.12384964826752398,1.2896892349589324,1.6576991387585744
S01_selected_tokens_0003,234.6,0.17,EH,8,Black,3,6263,0.11704026267749779,1.1071823041724178,1.414143409432338,0.1244974187855803,1.1340700693400922,1.4620759071814131,0.14944368673215713,1.1717903445842364,1.5111631819524511,0.14944368673215713,1.208139367994825,1.5163483787551533,0.15233804475852164,1.2378592373797526,1.4315845329442567,0.14944368673215713,1.2652977818347733,1.3938905989858679,0.13924694871164256,1.3089647284872594,1.3808624676668408,0.11853614926908129,1.326983233989938,1.4174113861969548,0.014669285868038173,1.2827140846144296,1.5063241626457549
S01_selected_tokens_0004,243.4,0.128,EH,8,Black,4,7684,-0.196932505006,1.1394696504935586,1.3732191183542728,-0.170641809774283,1.221622718332112,1.3689474330889704,-0.1257562265381056,1.3332137837405744,1.3416079129933953,-0.07551310170623271,1.3349868338504596,1.3913822364666624,-0.02249715400723673,1.3380821270579872,1.866500432469354,-0.01906072450865537,1.3490591856891374,1.7536505497487047,-0.01906072450865537,1.3336573410776316,1.7772623578878948,-0.04865383265596446,1.3265367057396071,1.7894248610893078,-0.1372726685996648,1.2924657291072243,1.7686884271132461
S01_selected_tokens_0005,225.5,0.128,EH,8,Black,5,6579,0.019632075210166633,1.112728630092974,1.3265367057396071,0.08664278549312687,1.1237298411549475,1.413734160398593,0.11103423861728601,1.1154902998957033,1.4558161058329064,0.12002980152586407,1.10104560430028,1.4863498788263927,0.13924694871164256,1.10104560430028,1.5335617684294522,0.17236732663409438,1.1060693380029978,1.5472655530231156,0.18643225610149816,1.0971207324269834,1.5476236550860296,0.1638324241842568,1.0416792839431244,1.541518410767548,0.12002980152586407,0.9477339680126668,1.5511976403056407
S01_selected_tokens_0006,238.7,0.118,EH,8,Black,6,6895,-0.22183005662772715,1.245153215742306,1.6177854337779634,-0.13920503635071846,1.2547964920141101,1.6284097036981917,-0.00036859149650236844,1.2557557247015705,1.6438122693814714,0.09738732477610412,1.2324763029235228,1.650941269114056,0.15522404964765713,1.180097765154092,1.6548084991996062,0.15666393470564444,1.142158546977865,1.6586608314116313,0.123010429664002,1.0920517269236862,1.662179146251547,0.10195702046616972,1.0564157722564431,1.6644116459828053,0.15233804475852164,1.0279271987541474,1.6573783689081898
S01_selected_tokens_0007,246.6,0.13,EH,8,Black,7,8000,0.1624028313746626,0.9299644975006913,1.6795874035581884,0.18782792974047258,1.0230991869618764,1.6905096528777728,0.19477722803367836,1.0575853630330458,1.637614239427264,0.19616131129961722,1.0869568956369768,1.6564154415347963,0.19754348152656842,1.1340700693400922,1.664093022433831,0.20167856667437167,1.1302729397438833,1.666003242689949,0.19477722803367836,1.1071823041724178,1.6908199709562899,0.1780170591762138,1.1004858505772965,1.704073362671262,0.14654092707419597,1.0749670289090414,1.780955019376905
S01_selected_tokens_0008,247.5,0.11,EH,8,Black,8,8000,-0.09567877130082714,0.939875381400145,1.608058709431674,-0.029405644351047755,0.9696703314968733,1.5931178542520987,0.013009534449673232,1.039301161538157,1.5741222908603634,0.027849048312448055,1.0523113982741723,1.5681771780535243,0.026211046308209696,1.0575853630330458,1.5544033420714083,0.013009534449673232,1.0452358970579718,1.5657188800639839,-0.002053511861421775,1.0339296177362458,1.5734246975289699,-0.03985870120313706,0.9973624723178265,1.5709792814631642,-0.14114114537758482,0.9118735518516523,1.5723773942389672
S01_selected_tokens_0009,253.9,0.148,EH,8,Black,9,7526,0.11704026267749779,1.1242767375317184,1.4343952153808344,0.2139822078697291,1.1432320843863888,1.4859691440035938,0.25001012042530935,1.1432320843863888,1.522975796238197,0.2681924395084998,1.1602537719558192,1.5621965093914785,0.2694786133192437,1.1888494297639634,1.5941436707209222,0.26044046270418164,1.2086420068593906,1.6346648681265608,0.2460705224212294,1.2305116657493578,1.6589811902162301,0.19200330115095365,1.2480559754002671,1.6682272308981263,-0.07732963263263137,1.2456375945359852,1.6605814465986937
S01_selected_tokens_0010,257.4,0.098,EH,8,Black,10,6737,-0.17664783383449478,1.2295278978392252,1.5479816289577597,-0.1646716427877788,1.2250889263085982,1.552979854286554,-0.14697206568837817,1.2398095061597862,1.5699294126003274,-0.14697206568837817,1.262920789985853,1.572726617221389,-0.13149786910578065,1.2775678744265875,1.5772554526924,-0.12958032297650846,1.2652977818347733,1.5667731764188897,-0.1257562265381056,1.267195315610965,1.561137374252752,-0.12766644679422434,1.2662469988021057,1.5748193978945189,-0.14114114537758482,1.2499864779303254,1.5862520531654827
