filename,speaker,item_code,variableN,rowN,variantN,word,variant
S02_5-2-1_moody_M,S02,5-2-1,5,2,1,moody,M
S02_5-8-1_scooted_M,S02,5-8-1,5,8,1,scooted,M
S02_5-9-1_soothingly_M,S02,5-9-1,5,9,1,soothingly,M
S02_6-2-1_channeled_M,S02,6-2-1,6,2,1,channeled,M
S02_6-8-1_randomness_M,S02,6-8-1,6,8,1,randomness,M
S02_6-9-1_banditry_M,S02,6-9-1,6,9,1,banditry,M
S02_7-3-1_padding_M,S02,7-3-1,7,3,1,padding,M
S02_7-9-1_tattletales_M,S02,7-9-1,7,9,1,tattletales,M
S02_7-10-1_chattering_M,S02,7-10-1,7,10,1,chattering,M
S02_8-2-1_fastball_M,S02,8-2-1,8,2,1,fastball,M
S02_8-8-1_restlessness_M,S02,8-8-1,8,8,1,restlessness,M
S02_8-9-1_wistfulness_M,S02,8-9-1,8,9,1,wistfulness,M
