time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,288.6,99.0,1809.5,91.2,2181.9,90.9,287.3,1840.1,2171.7,222.6,72.5,24.3
0.027000,285.8,98.8,1815.4,90.9,2183.8,109.4,287,1840.2,2171.6,222.9,72.8,26.3
0.029000,283.7,97.9,1823.4,94.9,2181.0,131.4,286.6,1840.5,2171.4,223.2,73,28.2
0.031000,283.4,96.3,1830.2,100.5,2172.7,148.9,286,1840.9,2171.2,223.4,73.2,29.8
0.033000,284.9,94.8,1832.6,103.4,2163.8,154.1,285.2,1841.4,2170.9,223.7,73.4,31
0.035000,286.5,93.6,1831.8,100.9,2159.7,147.5,284.3,1842,2170.6,224.1,73.6,31.8
0.037000,287.0,93.3,1830.5,93.0,2164.1,133.0,283.3,1842.8,2170.2,224.4,73.8,31.9
0.039000,285.3,93.4,1830.8,82.9,2175.1,117.7,282.2,1843.8,2169.8,224.8,73.9,31.3
0.041000,282.0,92.9,1833.2,75.4,2185.2,110.3,281,1845,2169.4,225.1,74.1,30.5
0.043000,278.2,91.1,1838.2,72.5,2188.7,111.9,279.8,1846.4,2169,225.5,74.3,29.6
0.045000,275.4,89.2,1845.1,75.3,2181.6,119.4,278.6,1848,2168.6,225.9,74.4,29
0.047000,273.8,87.8,1853.1,82.8,2166.7,124.7,277.4,1849.9,2168.2,226.4,74.6,28.5
0.049000,273.0,87.1,1860.8,88.1,2157.9,123.1,276.2,1852.1,2167.8,226.8,74.7,28
0.051000,272.8,86.4,1868.0,85.9,2159.3,118.0,275.2,1854.5,2167.4,227.2,74.8,27.5
0.053000,273.3,85.9,1873.2,77.8,2165.2,111.6,274.2,1857.3,2167.2,227.7,74.9,27.2
0.055000,273.8,85.4,1876.4,70.8,2168.7,107.4,273.4,1860.3,2167,228.1,75,27.1
0.057000,273.7,84.8,1880.0,69.1,2167.8,106.0,272.7,1863.6,2166.8,228.6,75.1,27.4
0.059000,273.0,84.1,1885.4,73.6,2164.3,104.6,272.2,1867.3,2166.8,229,75.2,28
0.061000,272.5,83.6,1893.2,82.7,2161.3,100.7,272,1871.2,2166.9,229.5,75.3,28.7
0.063000,272.8,83.7,1902.5,92.7,2158.9,95.9,271.9,1875.4,2167.1,230,75.3,29.3
0.065000,274.2,84.9,1912.1,102.6,2154.6,89.9,272,1879.8,2167.4,230.5,75.4,29.6
0.067000,276.5,87.3,1920.4,110.8,2148.5,81.8,272.4,1884.5,2167.9,230.9,75.4,29.5
0.069000,278.8,89.9,1925.5,114.1,2144.3,73.3,272.9,1889.3,2168.5,231.4,75.5,29.1
0.071000,279.7,91.1,1927.2,110.5,2145.1,69.5,273.7,1894.3,2169.3,231.9,75.5,28.7
0.073000,278.7,89.9,1927.4,103.8,2150.5,71.6,274.7,1899.4,2170.2,232.3,75.5,28.3
0.075000,277.0,87.1,1927.0,97.2,2159.3,78.1,275.9,1904.5,2171.3,232.8,75.5,28.1
0.077000,276.0,84.4,1925.5,91.4,2169.7,84.2,277.3,1909.7,2172.6,233.3,75.5,28.2
0.079000,276.3,83.8,1922.5,86.1,2177.0,84.8,278.9,1914.7,2174,233.7,75.5,28.5
0.081000,277.7,84.8,1918.5,79.3,2180.4,81.0,280.5,1919.6,2175.7,234.2,75.5,28.9
0.083000,279.4,86.4,1914.4,71.8,2181.9,77.2,282.3,1924.3,2177.4,234.6,75.4,29.2
0.085000,281.1,88.0,1911.0,65.6,2183.7,77.0,284.2,1928.7,2179.4,235.1,75.4,29.4
0.087000,282.8,89.8,1909.3,63.0,2186.4,80.1,286.1,1932.8,2181.4,235.5,75.3,29.4
0.089000,285.1,92.6,1910.0,62.7,2190.1,84.0,288.1,1936.5,2183.7,236,75.2,29.2
0.091000,288.4,96.7,1912.9,62.5,2195.2,86.4,290,1939.7,2186,236.4,75.1,29
0.093000,291.8,100.5,1915.9,60.9,2200.4,87.1,291.9,1942.4,2188.5,236.8,75,28.8
0.095000,294.6,103.2,1917.2,59.0,2204.4,87.4,293.7,1944.4,2191,237.3,75,28.5
0.097000,296.3,104.6,1917.1,58.0,2206.7,87.7,295.3,1945.9,2193.6,237.7,74.9,28.1
0.099000,297.2,105.0,1916.9,57.7,2208.5,87.5,296.9,1946.7,2196.3,238.1,74.8,27.6
0.101000,297.6,104.3,1917.3,57.5,2211.0,86.9,298.2,1946.7,2198.9,238.5,74.7,27.2
0.103000,298.0,102.8,1918.0,57.0,2214.1,86.3,299.4,1946,2201.6,238.9,74.6,26.7
0.105000,298.7,102.0,1918.8,56.7,2216.9,86.2,300.3,1944.6,2204.3,239.3,74.5,26.4
0.107000,300.0,102.5,1919.9,56.8,2218.7,87.2,301,1942.3,2206.9,239.7,74.4,26.2
0.109000,301.6,103.8,1921.0,57.4,2219.7,88.7,301.5,1939.3,2209.5,240.1,74.4,26
0.111000,303.0,104.7,1921.8,58.6,2221.1,89.8,301.7,1935.6,2211.9,240.4,74.3,25.9
0.113000,303.7,104.5,1922.9,60.8,2222.9,89.7,301.6,1931.1,2214.3,240.8,74.3,25.9
0.115000,303.9,103.9,1924.1,64.6,2223.2,87.9,301.3,1926,2216.5,241.2,74.3,26
0.117000,303.7,103.7,1924.4,70.0,2221.0,84.3,300.8,1920.2,2218.6,241.5,74.3,26.2
0.119000,303.2,103.6,1922.8,77.4,2217.3,79.4,300,1913.8,2220.4,241.8,74.4,26.6
0.121000,302.1,102.9,1919.1,87.4,2213.7,74.1,299,1907,2222.1,242.1,74.5,27.1
0.123000,299.9,100.5,1913.4,100.9,2211.3,68.1,297.8,1899.6,2223.6,242.4,74.6,27.6
0.125000,297.0,96.1,1906.3,115.7,2210.7,62.1,296.4,1892,2224.8,242.7,74.8,28
0.127000,293.4,90.2,1898.2,130.9,2211.3,57.1,294.9,1884.1,2225.9,243,74.9,28.4
0.129000,289.8,83.8,1890.3,145.3,2212.6,54.4,293.3,1876,2226.7,243.3,75.1,28.8
0.131000,286.8,78.6,1884.9,154.4,2214.2,55.0,291.6,1867.9,2227.2,243.5,75.3,29.1
0.133000,284.6,74.8,1880.7,155.0,2215.8,57.2,289.9,1859.8,2227.5,243.8,75.4,29.5
0.135000,283.3,72.4,1875.7,147.1,2217.2,58.4,288.2,1851.9,2227.7,244,75.6,29.9
0.137000,282.7,71.5,1868.9,135.6,2218.4,57.1,286.5,1844.3,2227.6,244.2,75.7,30.2
0.139000,282.5,71.7,1861.8,128.0,2219.7,54.1,284.9,1837.1,2227.3,244.4,75.8,30.5
0.141000,282.3,72.2,1854.7,126.1,2221.0,50.6,283.5,1830.4,2226.8,244.6,75.9,30.9
0.143000,282.1,72.2,1847.1,129.4,2221.9,47.2,282.2,1824.2,2226.3,244.8,75.9,31.1
0.145000,281.6,71.2,1838.0,136.5,2222.1,44.9,281,1818.8,2225.6,245,75.9,31.4
0.147000,281.1,69.6,1828.3,143.5,2221.8,44.5,280.1,1814.1,2224.8,245.1,75.9,31.5
0.149000,281.1,69.0,1818.9,144.7,2221.4,45.5,279.5,1810.3,2224.1,245.3,75.9,31.6
0.151000,281.9,70.5,1811.9,137.3,2221.1,47.0,279.1,1807.4,2223.3,245.4,75.9,31.7
0.153000,283.1,72.9,1807.3,125.7,2221.2,48.5,279,1805.6,2222.7,245.5,75.8,31.7
0.155000,284.3,74.8,1804.6,116.6,2222.3,49.5,279.1,1804.7,2222.1,245.7,75.8,31.8
0.157000,285.0,75.6,1802.7,112.8,2224.3,50.8,279.6,1804.9,2221.8,245.8,75.7,32
0.159000,285.1,75.2,1802.2,115.5,2227.1,53.8,280.4,1806.3,2221.7,245.9,75.6,32.1
0.161000,284.9,73.9,1803.6,122.9,2229.8,59.0,281.5,1808.7,2221.9,246,75.4,32.3
0.163000,284.7,72.2,1806.8,131.4,2232.1,65.6,282.9,1812.2,2222.4,246.1,75.3,32.5
0.165000,285.0,70.9,1811.5,137.0,2234.0,71.4,284.5,1816.8,2223.4,246.1,75.1,32.6
0.167000,286.3,71.2,1816.8,138.6,2235.3,74.7,286.4,1822.4,2224.9,246.2,75,32.7
0.169000,288.3,72.9,1820.9,139.0,2236.1,75.1,288.5,1829.1,2226.9,246.3,74.8,32.8
0.171000,290.6,74.9,1823.3,141.4,2237.4,73.8,290.8,1836.6,2229.6,246.3,74.7,32.9
