time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,447.3,64.4,1374.0,266.0,2129.1,10.2,450.1,1377.9,2137.8,235.8,72.6,24.6
0.027000,448.7,62.4,1381.2,256.3,2130.5,10.2,450.1,1378.6,2137.3,235.8,72.5,26
0.029000,450.6,58.4,1387.0,231.1,2132.0,9.9,449.9,1379.7,2136.7,235.8,72.5,27.8
0.031000,452.0,53.7,1393.3,208.0,2133.0,9.6,449.7,1381.2,2135.8,235.8,72.5,29.7
0.033000,452.7,49.7,1402.2,195.2,2133.4,9.8,449.5,1383.1,2134.7,235.8,72.5,31.2
0.035000,452.7,48.2,1411.9,194.7,2133.3,10.5,449.2,1385.3,2133.4,235.8,72.5,32
0.037000,452.1,49.3,1419.0,200.7,2133.2,12.1,448.8,1387.7,2132.1,235.9,72.5,31.8
0.039000,451.2,52.1,1419.6,208.8,2132.9,14.4,448.5,1390.3,2130.7,235.9,72.5,30.9
0.041000,449.8,55.5,1414.0,217.0,2131.8,18.1,448.1,1392.8,2129.4,235.9,72.5,29.5
0.043000,448.5,58.0,1404.4,219.7,2130.2,23.6,447.7,1395.4,2128.1,235.9,72.4,28.2
0.045000,447.4,59.9,1394.5,216.3,2129.5,30.7,447.3,1397.8,2127,235.9,72.4,27.3
0.047000,445.7,62.8,1387.8,211.9,2131.3,39.9,446.8,1399.9,2126.1,235.9,72.4,26.7
0.049000,443.1,66.4,1386.3,211.0,2133.0,49.2,446.4,1401.7,2125.6,236,72.4,26.2
0.051000,439.9,69.7,1387.3,214.2,2131.5,59.4,446,1403.1,2125.4,236,72.4,25.8
0.053000,438.0,71.1,1388.2,219.0,2127.8,68.3,445.7,1404,2125.7,236,72.4,25.5
0.055000,438.1,71.0,1388.1,225.0,2125.3,73.9,445.3,1404.4,2126.5,236.1,72.5,25.5
0.057000,440.1,69.6,1386.3,230.6,2125.5,75.0,445,1404.1,2127.9,236.1,72.5,25.7
0.059000,443.1,66.9,1382.0,234.6,2127.7,73.5,444.7,1403.1,2129.9,236.1,72.5,26
0.061000,445.4,64.7,1376.8,241.7,2131.9,73.6,444.5,1401.4,2132.6,236.1,72.5,26.6
0.063000,446.1,64.9,1372.4,259.8,2139.2,78.7,444.2,1399,2136,236.2,72.5,27.1
0.065000,445.5,66.8,1367.6,280.5,2147.3,86.1,444.1,1395.9,2140.1,236.2,72.5,27.7
