time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,511.8,96.2,2317.0,92.1,3024.2,85.9,522.1,2304.5,3047.2,279.9,70.8,12.1
0.028000,524.4,79.9,2296.6,70.0,3025.8,71.8,524.2,2299.4,3036.8,279.9,71.3,13.4
0.030000,532.6,65.9,2281.6,52.0,3027.0,63.1,527.4,2291.5,3021,279.8,71.7,14.6
0.032000,537.1,56.5,2273.7,43.1,3023.2,64.8,531.3,2281.8,3001.5,279.7,72.1,15.7
0.034000,539.4,50.3,2269.6,42.5,3010.2,79.6,535.4,2271.1,2980.6,279.6,72.5,16.9
0.036000,540.7,45.5,2265.2,49.6,2981.2,109.3,539.2,2260.4,2960.7,279.4,72.9,18.1
0.038000,541.7,41.1,2256.8,63.9,2934.0,147.1,542.5,2250.4,2944,279.2,73.2,19.2
0.040000,542.4,38.1,2245.0,77.2,2897.0,173.6,544.8,2241.5,2932.2,279,73.6,20.3
0.042000,542.9,37.1,2235.4,78.8,2899.4,187.9,546,2234,2926.2,278.8,73.9,21.5
0.044000,543.4,37.3,2227.2,72.0,2925.2,197.6,546.3,2227.6,2926.5,278.6,74.2,22.7
0.046000,544.0,37.5,2219.4,64.0,2948.0,206.7,545.8,2222.4,2932.5,278.4,74.4,24.1
0.048000,544.5,37.3,2213.2,56.5,2959.2,216.1,544.7,2218.1,2943,278.2,74.7,25.9
0.050000,544.8,36.9,2210.6,50.2,2962.5,210.0,543.6,2214.6,2956.6,277.9,74.8,27.8
0.052000,544.8,36.8,2210.6,44.5,2970.9,176.4,542.6,2212,2971.4,277.7,75,29.6
0.054000,544.6,37.1,2211.7,40.0,2984.7,132.8,542.1,2210.1,2985.6,277.4,75.1,31
0.056000,544.3,37.6,2213.1,36.9,2996.6,99.0,542.2,2209.2,2997.7,277.1,75.1,31.7
0.058000,544.0,38.4,2214.2,34.6,3004.3,78.6,542.7,2209.1,3006.6,276.9,75.2,31.9
0.060000,543.6,39.3,2214.1,32.6,3008.6,68.2,543.6,2209.6,3011.8,276.6,75.1,31.6
0.062000,543.0,40.4,2212.0,30.7,3010.5,65.2,544.3,2210.2,3013,276.3,75.1,31.1
0.064000,542.0,41.8,2208.2,28.6,3009.6,68.8,544.5,2210.4,3010.9,276,75,30.5
0.066000,540.7,43.3,2203.6,26.6,3005.8,76.8,543.8,2209.3,3006,275.7,74.9,29.9
0.068000,539.1,45.2,2198.9,24.6,2999.0,83.9,542.1,2206.5,2999.4,275.4,74.7,29.2
0.070000,537.4,47.4,2195.1,22.7,2992.0,84.2,539,2201.5,2992.1,275.1,74.5,28.4
0.072000,535.6,49.8,2192.5,21.2,2986.6,79.9,534.8,2194.4,2984.8,274.7,74.3,27.4
0.074000,533.3,52.3,2190.6,20.5,2982.0,76.4,529.9,2185.5,2978.2,274.4,73.9,26.1
0.076000,530.3,55.3,2187.6,20.7,2976.8,76.5,524.5,2175.7,2972.7,274.1,73.5,24.5
0.078000,526.2,59.6,2180.8,22.0,2970.7,81.1,519.5,2166.3,2968.5,273.7,73.1,22.3
0.080000,520.3,66.9,2167.8,24.1,2965.0,89.8,515.4,2158.3,2965.6,273.4,72.6,19.7
0.082000,511.8,79.6,2148.8,26.5,2961.4,101.6,512.7,2153.1,2963.9,273,72.1,17.3
0.084000,498.0,102.4,2128.8,28.9,2958.9,116.7,511.7,2151.2,2963.4,272.5,71.9,15.3
