time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,681.0,138.1,2108.4,116.6,2995.1,251.8,736.5,2085.2,2901.5,236.2,75.1,8.7
0.028000,698.5,130.6,2092.1,123.9,2980.9,305.0,738.1,2083,2900.1,235.9,75.1,10.4
0.030000,712.6,133.1,2087.1,133.0,2979.3,400.6,740.8,2079.4,2897.8,235.7,75.2,12.4
0.032000,725.3,138.6,2088.9,144.9,2975.5,522.5,744.6,2074.4,2894.7,235.5,75.2,14.2
0.034000,738.2,141.4,2091.3,159.8,2958.7,625.9,749.3,2068,2890.7,235.2,75.3,15.7
0.036000,751.4,141.0,2091.8,181.2,2927.5,684.8,755.1,2060.4,2885.9,235,75.2,16.4
0.038000,764.3,140.4,2087.9,213.6,2883.9,690.8,761.8,2051.6,2880.4,234.7,75.2,16.5
0.040000,776.9,141.4,2072.1,245.3,2837.0,625.3,769.4,2041.7,2874.2,234.4,75.2,16.2
0.042000,790.6,143.0,2041.1,244.0,2805.3,520.8,777.9,2030.9,2867.5,234.2,75.1,15.8
0.044000,805.6,144.8,2008.2,213.9,2791.3,445.5,787.1,2019.3,2860.2,233.9,75,15.4
0.046000,820.6,147.7,1982.1,186.4,2790.1,423.7,797.1,2006.9,2852.5,233.6,75,15.3
0.048000,834.0,150.4,1962.1,174.8,2797.5,453.9,807.7,1993.9,2844.4,233.3,74.9,15.3
0.050000,845.5,152.2,1945.5,181.9,2807.3,525.0,818.9,1980.5,2836.1,233.1,74.8,15.4
0.052000,855.5,155.7,1928.4,211.0,2806.0,581.0,830.6,1966.8,2827.6,232.8,74.6,15.5
0.054000,864.1,164.2,1907.5,258.8,2784.1,543.3,842.8,1953,2819.1,232.5,74.5,15.7
0.056000,872.0,179.0,1891.8,307.6,2757.4,472.4,855.2,1939.2,2810.6,232.3,74.5,15.8
0.058000,879.4,198.4,1892.4,355.2,2733.3,452.5,868,1925.4,2802.2,232,74.4,16
0.060000,886.5,217.8,1904.4,405.6,2712.9,481.6,880.8,1912,2794,231.8,74.4,16.3
0.062000,894.6,231.1,1912.7,441.3,2705.2,517.0,893.8,1898.9,2786.1,231.5,74.3,16.5
0.064000,905.9,235.3,1902.3,439.4,2718.3,509.1,906.8,1886.3,2778.6,231.3,74.3,16.8
0.066000,919.7,233.5,1877.3,413.1,2741.0,461.0,919.8,1874.4,2771.6,231.1,74.3,17
0.068000,935.2,233.2,1850.7,395.5,2763.5,414.7,932.5,1863.1,2765,230.9,74.3,17.2
0.070000,950.6,240.6,1829.2,403.9,2784.3,391.9,945.1,1852.7,2759,230.7,74.3,17.4
0.072000,964.8,252.5,1814.8,426.8,2799.0,382.7,957.3,1843.1,2753.6,230.5,74.3,17.6
0.074000,977.1,260.8,1810.5,441.1,2797.1,367.2,969.2,1834.4,2748.9,230.3,74.2,17.9
0.076000,987.2,264.9,1815.3,443.3,2776.8,338.6,980.7,1826.7,2744.9,230.2,74.2,18.2
0.078000,995.5,266.4,1822.8,443.3,2750.8,301.9,991.7,1820,2741.6,230.1,74.2,18.6
0.080000,1003.3,268.0,1830.1,455.0,2731.2,273.9,1002.2,1814.2,2739,229.9,74.2,19.1
0.082000,1011.3,271.5,1838.6,480.6,2720.8,263.8,1012.1,1809.5,2737.2,229.8,74.2,19.5
0.084000,1019.9,274.4,1849.2,500.4,2718.7,266.4,1021.3,1805.8,2736.1,229.7,74.2,19.8
0.086000,1028.3,273.5,1855.7,493.8,2723.8,270.1,1030,1803,2735.6,229.6,74.2,19.9
0.088000,1035.7,268.7,1850.1,464.4,2736.2,267.9,1038,1801.1,2735.9,229.6,74.2,19.9
0.090000,1041.8,261.4,1834.7,426.6,2759.1,256.5,1045.3,1800.1,2736.8,229.5,74.2,19.7
0.092000,1046.3,254.7,1817.4,392.5,2788.7,232.2,1052,1799.9,2738.4,229.5,74.3,19.5
0.094000,1049.0,254.6,1803.8,374.6,2810.7,201.7,1058,1800.4,2740.5,229.4,74.3,19.3
0.096000,1050.4,260.7,1795.7,370.0,2816.7,175.7,1063.3,1801.6,2743.1,229.4,74.4,19.3
0.098000,1051.8,263.5,1794.3,363.7,2810.9,156.4,1068,1803.3,2746.1,229.4,74.4,19.3
0.100000,1054.7,255.7,1800.4,347.6,2800.8,143.9,1072,1805.5,2749.6,229.4,74.5,19.4
0.102000,1058.8,236.5,1810.3,319.8,2790.2,139.0,1075.5,1808.1,2753.4,229.4,74.6,19.5
0.104000,1062.2,209.7,1814.6,282.3,2777.7,140.7,1078.4,1810.9,2757.5,229.4,74.7,19.5
0.106000,1064.9,182.4,1811.9,243.1,2761.1,143.8,1080.8,1814,2761.8,229.4,74.8,19.5
0.108000,1067.7,161.9,1807.1,212.3,2747.1,143.6,1082.7,1817.2,2766.2,229.5,74.9,19.4
0.110000,1071.0,150.4,1805.0,192.3,2745.7,141.6,1084.2,1820.4,2770.7,229.5,75,19.3
0.112000,1074.8,148.0,1807.5,183.5,2757.2,143.8,1085.3,1823.5,2775.2,229.6,75.1,19.1
0.114000,1079.2,152.3,1813.7,186.0,2771.9,157.2,1086.1,1826.4,2779.6,229.6,75.1,19
0.116000,1084.0,158.8,1820.8,197.3,2781.7,188.1,1086.6,1829.2,2783.9,229.7,75.2,19
0.118000,1087.8,163.1,1824.8,211.1,2783.6,235.1,1086.9,1831.7,2788.1,229.8,75.2,18.9
0.120000,1090.0,162.1,1824.9,215.5,2781.3,267.0,1087.1,1833.8,2792,229.8,75.3,18.9
0.122000,1091.1,157.2,1826.9,204.7,2785.2,247.4,1087.2,1835.6,2795.8,229.9,75.3,18.9
0.124000,1092.1,153.5,1834.1,188.5,2793.3,201.9,1087.3,1836.9,2799.2,230,75.4,18.9
0.126000,1093.0,152.0,1840.8,177.2,2796.9,165.7,1087.4,1837.8,2802.3,230.1,75.4,18.8
0.128000,1094.6,152.2,1843.1,176.9,2796.2,142.3,1087.6,1838.3,2805,230.1,75.5,18.8
0.130000,1097.9,154.2,1841.9,190.9,2794.6,124.5,1087.9,1838.3,2807.5,230.2,75.5,18.7
0.132000,1102.4,157.6,1839.7,220.7,2793.7,109.1,1088.3,1837.8,2809.5,230.3,75.5,18.7
0.134000,1106.3,160.9,1837.4,261.9,2792.9,98.3,1089,1837,2811.2,230.4,75.4,18.8
0.136000,1107.6,160.5,1833.8,296.8,2790.9,94.4,1089.8,1835.7,2812.5,230.5,75.4,19
0.138000,1106.2,154.2,1828.5,303.5,2787.9,96.0,1090.9,1834,2813.5,230.6,75.3,19.5
0.140000,1104.1,142.7,1823.6,284.0,2785.8,98.8,1092.3,1832,2814.1,230.7,75.3,20.1
0.142000,1103.4,129.6,1819.6,260.4,2785.6,99.2,1093.9,1829.7,2814.4,230.8,75.3,20.6
0.144000,1103.8,118.2,1816.1,245.9,2785.7,97.8,1095.8,1827.2,2814.4,230.9,75.2,21
0.146000,1105.0,111.4,1812.9,242.3,2785.6,97.8,1097.9,1824.5,2814.2,231,75.2,21.2
0.148000,1107.1,110.9,1809.9,244.8,2788.2,99.8,1100.3,1821.6,2813.7,231,75.2,21.2
0.150000,1110.8,116.9,1808.2,250.5,2796.4,100.0,1102.8,1818.7,2813,231.1,75.1,21
0.152000,1115.4,127.2,1809.7,263.0,2806.5,95.4,1105.5,1815.8,2812.2,231.2,75.1,20.8
0.154000,1119.1,136.9,1814.3,283.4,2812.2,88.3,1108.4,1812.9,2811.3,231.3,75,20.6
0.156000,1120.2,141.1,1818.4,301.7,2812.2,82.6,1111.3,1810.2,2810.3,231.4,75,20.6
0.158000,1119.0,140.3,1818.4,305.9,2809.1,79.4,1114.3,1807.6,2809.3,231.5,74.9,20.7
0.160000,1117.2,138.8,1814.7,299.1,2806.5,79.1,1117.2,1805.2,2808.2,231.6,74.8,20.8
0.162000,1116.2,139.6,1811.3,294.7,2808.2,82.2,1120,1803.1,2807.3,231.7,74.7,21
0.164000,1116.4,142.2,1811.4,297.8,2815.4,87.8,1122.7,1801.3,2806.4,231.7,74.6,21
0.166000,1117.1,143.0,1813.6,300.9,2824.2,94.9,1125.1,1799.9,2805.7,231.8,74.5,20.9
0.168000,1117.8,140.0,1815.5,299.1,2830.1,104.5,1127.1,1798.9,2805.1,231.9,74.5,20.6
0.170000,1118.5,134.7,1817.1,298.0,2831.5,117.3,1128.8,1798.2,2804.7,232,74.4,20.3
