time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,517.2,22.1,1149.7,214.7,2590.8,134.2,512,1099.4,2633.6,257.8,75.3,9.8
0.028000,516.5,24.2,1142.8,201.2,2595.0,128.0,512,1099,2634.8,257.7,75.3,12.4
0.030000,515.2,27.3,1133.8,193.2,2600.4,122.1,511.8,1098.3,2636.9,257.7,75.2,15.5
0.032000,513.1,30.5,1121.9,189.5,2606.6,123.0,511.7,1097.4,2639.8,257.6,74.9,18.6
0.034000,510.4,33.3,1107.9,187.4,2613.6,132.8,511.5,1096.2,2643.5,257.6,74.7,21.4
0.036000,507.7,35.3,1093.8,184.5,2621.6,149.6,511.2,1094.7,2647.9,257.5,74.4,23.3
0.038000,505.7,37.2,1083.2,180.2,2631.0,165.0,510.9,1092.9,2653.2,257.5,74.2,24.8
0.040000,504.8,39.5,1078.1,176.3,2643.0,169.4,510.6,1091,2659.1,257.4,74,25.9
0.042000,504.8,42.3,1076.8,172.8,2658.8,163.4,510.3,1088.8,2665.7,257.4,73.8,26.8
0.044000,505.3,44.7,1076.7,167.8,2675.7,153.0,510,1086.4,2672.9,257.4,73.8,27.5
0.046000,506.3,46.5,1075.4,159.6,2691.8,140.9,509.7,1083.8,2680.7,257.4,73.7,28
0.048000,507.3,47.2,1071.9,149.1,2705.1,131.3,509.4,1081,2689,257.4,73.7,27.9
0.050000,508.1,47.1,1066.7,138.5,2718.9,126.2,509.1,1078,2697.9,257.4,73.7,27.7
0.052000,508.8,46.5,1061.3,129.2,2736.8,122.0,508.8,1074.9,2707.1,257.4,73.8,27.4
0.054000,509.6,45.7,1056.7,121.1,2758.0,113.0,508.6,1071.7,2716.7,257.5,73.8,27.4
0.056000,510.2,44.6,1052.3,113.7,2777.5,98.9,508.4,1068.4,2726.7,257.5,73.8,28
0.058000,510.3,43.1,1047.2,106.8,2792.3,85.1,508.3,1065,2736.8,257.6,73.8,29.1
0.060000,509.8,41.5,1041.4,100.9,2802.2,75.5,508.3,1061.5,2747.2,257.7,73.8,30.5
0.062000,509.1,40.0,1035.8,95.8,2808.2,70.2,508.3,1058,2757.6,257.8,73.9,31.9
0.064000,509.0,38.9,1031.9,91.4,2811.1,67.7,508.3,1054.6,2768.1,257.9,73.9,32.8
0.066000,509.5,37.9,1029.6,86.5,2812.3,66.4,508.5,1051.1,2778.6,258,74,33
0.068000,510.3,36.9,1028.4,82.0,2813.1,65.4,508.7,1047.8,2789,258.1,74.1,32.5
0.070000,510.9,36.0,1027.7,78.7,2815.2,64.4,509,1044.5,2799.2,258.2,74.2,31.6
