time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,315.2,125.7,2184.3,91.3,3014.5,223.2,324.1,2107,2976.9,276.4,69,14.8
0.028000,320.7,138.2,2151.8,125.2,2993.5,223.8,324.5,2107.4,2981.2,276.1,69.8,15.7
0.030000,327.3,147.1,2096.7,155.9,2973.0,212.8,325.4,2108.1,2987.4,275.9,70.3,16.4
0.032000,332.1,151.2,2051.7,156.2,2966.9,195.3,326.9,2109.1,2994.4,275.6,70.8,16.8
0.034000,334.9,160.0,2043.8,143.1,2975.3,187.3,329.1,2110.5,3000.8,275.3,71.1,17.3
0.036000,336.5,172.9,2061.9,135.1,2991.4,190.4,332.1,2112.3,3005.3,275,71.4,17.9
0.038000,338.8,182.2,2091.4,137.3,3008.3,208.6,336.2,2114.5,3006.8,274.7,71.6,18.4
0.040000,342.6,184.5,2122.9,144.6,3019.6,250.2,341.2,2117.1,3004.6,274.4,71.8,18.9
0.042000,347.1,178.3,2149.8,150.1,3019.9,330.9,347.2,2119.9,2998.6,274.1,71.9,19.4
0.044000,351.3,167.4,2163.2,153.4,3000.6,436.4,354,2123,2989.4,273.8,71.9,20
0.046000,356.9,159.3,2163.4,161.6,2969.4,478.0,361.3,2126.2,2978.1,273.6,72,20.6
0.048000,364.4,157.3,2152.7,174.7,2953.1,393.0,368.9,2129.4,2965.9,273.3,72,21.4
0.050000,373.1,159.0,2134.0,189.8,2949.8,262.5,376.4,2132.4,2954.7,273.1,72.1,22.3
0.052000,381.3,161.8,2117.0,195.0,2947.8,168.3,383.6,2135.3,2945.8,272.8,72.1,23.1
0.054000,388.9,165.0,2115.1,177.3,2945.5,119.0,390,2137.8,2940.6,272.6,72.2,23.9
0.056000,397.0,167.1,2127.2,143.0,2945.1,94.8,395.6,2140.1,2939.9,272.4,72.3,24.4
0.058000,405.2,167.0,2139.3,111.4,2948.8,81.8,400.2,2142.1,2943.7,272.2,72.4,24.8
0.060000,412.3,164.7,2145.1,89.9,2955.9,71.5,403.9,2144,2951.5,272.1,72.5,25
0.062000,415.0,157.3,2146.3,78.3,2964.9,63.3,406.8,2145.8,2962.3,271.9,72.6,25.2
0.064000,410.4,142.3,2145.3,78.2,2972.9,61.9,409.1,2147.7,2974.5,271.8,72.8,25.4
0.066000,405.6,127.6,2144.8,83.5,2978.5,66.9,411.1,2149.8,2986.5,271.6,72.9,25.5
0.068000,404.8,120.3,2147.4,86.0,2983.2,75.3,412.9,2152.1,2996.4,271.5,73,25.6
0.070000,408.0,121.8,2154.1,80.7,2989.0,84.9,415,2154.7,3002.9,271.4,73.2,25.6
0.072000,414.0,127.9,2161.9,69.3,2996.0,93.9,417.5,2157.5,3005,271.3,73.3,25.7
0.074000,421.4,133.6,2168.4,57.4,3003.5,102.6,420.6,2160.4,3002.5,271.3,73.5,25.9
0.076000,427.7,135.9,2172.4,50.3,3007.9,112.7,424.2,2163.2,2995.6,271.2,73.6,26.4
0.078000,431.9,136.2,2174.1,47.4,3006.2,126.7,428.4,2165.7,2985.5,271.1,73.7,27.2
0.080000,435.6,137.0,2173.6,45.4,2996.3,147.4,433,2167.8,2973.6,271.1,73.8,28.1
0.082000,440.4,138.7,2170.6,42.5,2976.5,174.3,437.7,2169.2,2961.4,271,73.9,29
0.084000,445.4,139.4,2166.4,40.0,2949.5,206.0,442.4,2169.7,2950.8,271,74,29.6
0.086000,448.3,137.8,2162.1,39.4,2921.9,250.8,446.9,2169.3,2943.2,270.9,74.1,29.6
0.088000,448.7,134.8,2158.9,40.9,2908.7,312.1,450.9,2168,2939.6,270.9,74.2,29.1
0.090000,449.8,131.7,2157.6,42.9,2919.3,375.1,454.3,2165.9,2940.3,270.8,74.2,28.3
0.092000,453.1,128.4,2157.7,44.6,2945.2,406.1,457.1,2163.1,2945.1,270.7,74.2,27.5
0.094000,457.3,124.2,2158.1,46.4,2968.7,392.7,459.2,2160,2953,270.7,74.2,26.8
0.096000,460.8,118.7,2157.6,46.9,2980.1,348.9,460.7,2156.8,2962.7,270.6,74.2,26.6
0.098000,463.1,112.3,2156.3,46.5,2983.8,298.5,461.7,2153.9,2972.7,270.6,74.2,26.9
0.100000,464.2,105.1,2155.5,47.5,2984.3,250.8,462.3,2151.5,2981.2,270.5,74.1,27.4
0.102000,464.0,98.2,2154.9,50.8,2982.4,213.6,462.6,2150,2986.9,270.5,74,27.8
0.104000,462.7,92.5,2152.5,54.3,2979.0,191.1,462.7,2149.5,2988.9,270.4,73.9,27.8
