file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
S06_selected_tokens_0001,493.6,1834.9,2799.1,66.6,66.6,-47.7,-48.5,-4.6,-3.8,-19.1,-9.2,-17.3,-11.5,-4.2,13.1,4.9,10.6,21.5
S06_selected_tokens_0002,352.7,1865.4,2877.2,9.4,73,10.3,-0.3,-6.6,-19,3.1,5.5,-9.3,-1.4,-1.7,-3.3,1.9,2.3,1.6
S06_selected_tokens_0003,519.3,1761.3,2643.2,57.6,-116.6,-347.7,-26.2,-82.9,-152.7,3.1,-18.7,-42.9,-12.9,-8.7,-8.5,3.8,-1.7,-0.7
S06_selected_tokens_0004,334.6,1875,2544.1,8.9,-5.6,-386.2,0,-24.1,61.9,0.4,7.1,-30.6,-1.9,-0.6,-5.7,-2.4,1.8,-16.4
S06_selected_tokens_0005,429.9,1869.3,2921.6,-6.3,151.6,-51.8,-24.1,-11.9,-19.2,-19.3,23.3,2.4,-15.5,-13.4,-26.7,3.8,19.1,-13.5
S06_selected_tokens_0006,355.5,1811.2,2735.7,14.4,258.3,145.7,-17,-59.2,-99.1,5.4,44.6,75.2,-1.1,-6.2,-43.4,1.5,-2.8,22.1
S06_selected_tokens_0007,516.8,1567.5,3095.3,13.7,-34.3,77.1,-33.4,-72.4,10.8,-5.2,-10.6,7.2,-17.7,-27.5,-12.5,3.8,2.8,0.5
S06_selected_tokens_0008,390.1,1639.4,3049.7,-3.8,-14.1,74.8,-14.4,-87.6,27.8,4.2,6,7.6,-4.3,-43.4,-14.3,3.8,12.2,20
S06_selected_tokens_0009,575.2,1761.6,2833.2,76.7,13.3,-76.4,-26.5,-46.2,-27.4,4.8,14.2,4.5,-22.1,-23.8,-4.8,4.9,3.1,13
S06_selected_tokens_0010,398,1868.2,2879.2,19,20.1,-5.5,2.6,-12.9,-25.7,0.9,-18.6,-32.1,-1.3,-13,-32.5,3.7,-7.2,-17.7
S06_selected_tokens_0011,363.2,1897.6,2972,-51.2,80.8,26.8,-45.5,-23.5,26.3,2.2,-0.3,-7.5,-6,-6.8,-51,5.2,4.6,-18.7
S06_selected_tokens_0012,335,1958.2,2927.5,-30.6,55.2,55.2,-29.3,18.2,-18.3,-2.9,5,46.8,-4.3,-35.6,-4,3.7,4.4,-15.1
S06_selected_tokens_0013,470.9,1946.4,2901.1,64,-27.3,-89.2,-65.4,-56.1,-7,-3.5,-13.9,-9.1,-7.2,-27.4,-5.8,-6.1,0.6,3.7
S06_selected_tokens_0014,365.8,1930.2,2896.9,6.8,-38.2,-72.1,-17.5,-33.3,-11.2,0.6,5,-10,-4.2,-6.9,-15.7,0.8,5.4,-2.9
S06_selected_tokens_0015,448.6,1867,2853.1,1.2,111.4,-76.3,-57.4,-20,-23,-16.1,26.7,-3.8,-11.4,5.8,-0.4,14,10.6,10.7
S06_selected_tokens_0016,380.3,1927,2861.7,-6.3,38.3,-41.9,-4.9,-2.4,-27.4,3.1,6.7,-8,-4.1,-3,-5,0.4,3,2.7
S06_selected_tokens_0017,433.6,1692.2,1855.7,53.4,-22.2,-48,-7.2,38.1,28,5.2,-0.2,-67.6,1.1,-26.9,34.8,-7.6,34.4,-28.7
S06_selected_tokens_0018,374.4,1751,2797,15.3,-13.1,-7.3,-14.5,-25,-6.3,-1.5,12.2,18.1,-9.3,3.5,11.9,0.9,5.2,-0.9
S06_selected_tokens_0019,391.9,1866.7,2971.8,79.5,-11.3,-107.2,-91.3,-57.8,-12.1,-9.7,-15.2,-32.2,24.9,-7.3,14.2,-13.1,-9.6,-4.9
S06_selected_tokens_0020,354.9,1869.1,2903.9,4.6,22.5,-17.7,-9.4,-41.4,-21.1,0.4,16.7,0.8,-3.9,-12.2,-3.1,-0.6,6.6,-7.1
S06_selected_tokens_0021,373.1,2018.5,2695.2,-29.9,216.2,-87.3,1,-200.4,-19.1,-9.4,39.7,-31.8,-4.9,-44.4,6.9,-11.5,5,-25.7
S06_selected_tokens_0022,952.6,2129.2,3459.4,-474.1,-75.3,-347.6,-366.6,-465.5,-434.2,202,-65.4,-15.6,281.4,568.8,451.5,44.4,-225.8,-133.1
S06_selected_tokens_0023,316.9,2222.3,2836,-25.7,265.9,-26.3,16.4,-300.5,-60.4,8.2,33.2,-75.8,-8.1,-47,-5.4,6.8,-3.2,-3.3
S06_selected_tokens_0024,418.5,1598.4,2936.6,-29.8,154,-143.6,-12.4,-50.3,5.5,10.5,4.6,-11.3,-7.6,-5.9,12.9,-1.7,-0.2,-12.4
S06_selected_tokens_0025,302.1,2339.2,3214.2,-26.6,621.6,277,-16.8,-268.5,170.2,21.4,46.6,-72,-29.1,-3.4,-21.6,7.9,42.1,5.4
S06_selected_tokens_0026,889.1,2533.1,3704.6,-306,-426.5,-215.1,588,714.7,598.2,427.9,328.8,355.2,20.2,-24.5,-34.8,336,240.5,181.9
S06_selected_tokens_0027,402.6,2121.8,2918,-59.6,411,-4.5,33.1,-220.6,-19.2,-31.3,45.7,-61,14.8,-34.9,19.8,-10.5,-20.2,-25
S06_selected_tokens_0028,872.2,2277.7,3601.2,-313.5,-276.4,-409.8,-409.5,-154.9,-145.9,107.9,-47.2,-78.2,89,-94.3,-112.1,-217.3,-50.3,-36.9
S06_selected_tokens_0029,411.3,2261.4,2934.3,-32.5,422.9,132.1,9.6,-239.5,119.4,-17.1,137.8,-45,-2.4,-5.5,60.7,-8.4,-8.4,-13.5
S06_selected_tokens_0030,568,1725.3,2939.6,-16,185.7,-108.2,8.4,-44,49.1,29.7,10.2,-2.3,34.2,5.1,31.5,35.3,26.7,-1.9
S06_selected_tokens_0031,345.8,2008.4,2941.2,-40.3,282.3,-20.2,-11.9,-208.8,65,8,-56.7,-68.9,2.7,-81.8,-70.8,-3.6,-21.7,-27.7
S06_selected_tokens_0032,708.4,2234,3436.3,-646.5,-725,-575,349.2,429,348.2,48,-17.1,85.2,-193.4,-249,-130.4,139.6,162.1,117.7
S06_selected_tokens_0033,361.9,2021.2,2746.2,-45.6,226.6,-143.6,1,-281.8,-72.4,2.1,-52.4,-66.4,2.8,-100.3,9.2,-2.7,-12.7,17.4
S06_selected_tokens_0034,356.5,1403.3,2766.9,-9.6,-24.7,-147.1,-5.2,-65.9,-25.3,-2.4,-7.1,-7.9,-2,-3,-9.9,-1.3,0.9,2.4
S06_selected_tokens_0035,346.9,2034.3,2970.1,-2.4,378.6,-41.2,-8,-126.7,-48.8,-5.7,5.2,-47.1,2.3,-23.1,3.1,-0.9,19.5,25.6
S06_selected_tokens_0036,413.2,1752.5,2888.2,-65.2,177.7,-78.8,3.6,-44.9,29.8,2.5,4.4,-16.9,-3.1,-24,12.3,4.7,12.4,3.5
S06_selected_tokens_0037,339.9,2172.6,2894,-29.7,276.2,-74.9,3.2,-240.7,12,9.6,18.9,-38.6,-11.6,-36.5,4,-5.8,-0.2,-14.6
S06_selected_tokens_0038,935,2178.5,3456.9,201.3,464.8,87.9,-729.3,-569.8,-365,-407.8,-212.6,-249,122.3,49.8,28.1,44.4,-22.7,-18.6
S06_selected_tokens_0039,337.3,2003.7,2701.3,-45.5,135.8,-171.4,10.1,-333.5,-38.3,-5,-51.5,-75.8,6.9,-104.4,-1.1,-8.4,-41.2,0.6
S06_selected_tokens_0040,847.1,2274.2,3600.3,-681,-938,-759.8,5.2,14.7,85.4,284,214.6,134.3,-101.3,-113.3,-76.6,-148.7,-188.8,-124.5
