time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,711.3,52.7,1900.9,86.7,3071.5,361.6,722.1,1878.3,3021.2,240.9,74.5,17.3
0.028000,715.0,49.1,1893.1,86.9,3037.0,407.0,722.4,1878.1,3020.8,240.7,74.8,18.1
0.030000,718.0,47.1,1884.5,88.3,2998.5,460.3,722.8,1877.7,3020.1,240.5,75.1,18.4
0.032000,719.8,45.7,1875.6,92.6,2951.7,548.6,723.4,1877.3,3019.2,240.3,75.4,18.5
0.034000,720.7,45.0,1869.3,98.3,2901.7,662.0,724.1,1876.7,3018,240.1,75.6,18.7
0.036000,721.6,45.5,1867.2,101.9,2862.8,759.2,725,1875.9,3016.6,239.9,75.8,19.1
0.038000,722.7,46.9,1868.9,103.9,2842.0,837.2,726.1,1875.1,3014.9,239.7,76,19.6
0.040000,723.7,48.4,1871.8,106.8,2829.6,924.2,727.3,1874.1,3012.9,239.5,76.1,20.2
0.042000,724.7,50.0,1874.1,111.9,2824.4,1039.7,728.7,1873,3010.7,239.3,76.2,20.7
0.044000,726.0,51.5,1874.7,117.4,2857.2,1130.4,730.3,1871.8,3008.2,239,76.3,21.1
0.046000,727.8,53.0,1873.2,122.6,2946.2,1118.3,732,1870.4,3005.4,238.8,76.3,21.3
0.048000,729.4,54.4,1870.9,127.8,3027.4,1014.0,733.9,1869,3002.3,238.5,76.3,21.3
0.050000,731.0,56.1,1869.3,132.9,3065.6,925.8,735.9,1867.5,2999,238.3,76.3,21.3
0.052000,732.2,58.1,1868.4,138.5,3075.2,914.5,738,1865.9,2995.3,238.1,76.2,21.2
0.054000,733.4,60.8,1867.2,146.9,3084.8,960.5,740.4,1864.3,2991.4,237.8,76.2,21.1
0.056000,734.7,64.1,1865.4,156.0,3111.5,1006.8,742.8,1862.5,2987.2,237.6,76.1,21.3
0.058000,736.7,68.9,1863.6,161.0,3148.1,986.2,745.4,1860.7,2982.7,237.3,76,21.6
