time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,406.6,164.4,2021.2,162.5,2826.1,488.3,420.7,2074,2837.1,195.9,76.1,10.6
0.028000,417.0,167.3,2054.0,121.2,2855.6,401.4,420.2,2070.8,2833.4,196.6,76.7,10.8
0.030000,422.6,164.1,2071.2,98.0,2870.9,363.4,419.2,2065.9,2827.8,197.4,77.1,11.2
0.032000,424.9,158.5,2079.8,86.0,2874.4,351.9,418,2059.9,2821.1,198.2,77.5,11.7
0.034000,424.3,148.8,2082.8,83.7,2859.7,363.1,416.6,2053.5,2814.1,199,77.7,12.2
0.036000,420.6,132.6,2080.6,96.2,2817.5,401.6,415,2047.6,2808,199.9,77.8,12.6
0.038000,415.0,111.4,2070.6,131.5,2748.3,453.8,413.3,2042.9,2803.8,200.8,77.8,13.1
0.040000,410.6,92.7,2049.4,184.7,2687.8,476.3,411.7,2040.1,2802.5,201.8,77.8,13.5
0.042000,408.6,83.4,2027.6,216.4,2684.9,470.8,410.2,2039.7,2804.9,202.8,77.8,14
0.044000,407.8,82.9,2022.9,210.1,2736.9,477.5,408.9,2042.2,2811.5,203.8,77.8,14.4
0.046000,407.2,86.5,2031.1,184.8,2811.2,485.5,407.9,2047.6,2822.5,204.8,77.8,14.8
0.048000,406.4,91.4,2043.7,159.0,2880.2,472.4,407.3,2055.6,2837.8,205.9,77.9,15.2
0.050000,405.4,97.6,2057.6,140.9,2930.2,437.5,407.1,2065.8,2856.9,207,78.1,15.7
0.052000,404.5,105.9,2072.1,130.4,2962.0,394.1,407.4,2077.7,2879.1,208.1,78.3,16
0.054000,404.7,118.9,2088.1,121.5,2983.7,343.4,408.3,2090.5,2903.3,209.2,78.5,16.2
0.056000,407.2,137.5,2104.3,110.5,2994.1,288.8,409.7,2103.3,2928.4,210.3,78.6,16.3
0.058000,412.0,157.3,2118.5,100.9,2990.9,248.1,411.7,2115.4,2953.2,211.5,78.8,16.2
0.060000,416.9,169.4,2130.0,98.3,2977.7,233.0,414.1,2126.1,2976.4,212.6,78.9,15.9
0.062000,421.0,173.6,2139.5,101.9,2962.8,236.6,417.1,2134.7,2997.1,213.7,79,15.6
0.064000,424.3,172.7,2147.1,110.1,2955.0,252.5,420.4,2141,3014.2,214.8,79,15.6
0.066000,426.7,167.7,2152.9,121.9,2959.8,275.5,424,2144.9,3027.2,216,79,15.9
0.068000,428.6,160.7,2156.3,135.2,2975.4,293.6,427.9,2146.2,3035.7,217.1,79,16.6
0.070000,430.7,154.1,2155.5,147.7,2995.4,292.5,431.9,2145.5,3039.7,218.2,79,17.4
0.072000,433.7,149.9,2149.1,158.0,3013.9,266.2,436.1,2143,3039.5,219.3,79,18.3
0.074000,437.9,148.9,2136.3,166.2,3029.5,224.9,440.2,2139.4,3035.5,220.3,78.9,19
0.076000,443.0,149.1,2119.1,173.4,3042.2,189.7,444.4,2135.2,3028.4,221.4,78.8,19.3
0.078000,448.0,148.0,2106.3,177.4,3050.7,175.8,448.4,2131,3019.2,222.4,78.6,19.3
0.080000,452.4,145.9,2108.0,174.4,3052.9,187.0,452.3,2127.3,3008.8,223.4,78.4,19.1
0.082000,456.4,143.2,2120.2,165.3,3046.8,216.8,456.1,2124.6,2997.9,224.4,78.2,18.8
0.084000,459.8,139.8,2132.6,155.2,3031.4,254.3,459.7,2123,2987.6,225.3,78,18.8
0.086000,462.7,136.1,2139.5,147.7,3007.9,285.6,463.1,2122.7,2978.6,226.3,77.8,19
0.088000,465.4,134.1,2140.2,142.3,2983.0,296.3,466.3,2123.7,2971.3,227.1,77.6,19.5
0.090000,468.5,134.8,2136.4,136.7,2964.7,286.0,469.4,2125.9,2966.1,228,77.5,20.2
0.092000,472.5,138.4,2130.9,129.4,2952.7,268.7,472.3,2129.1,2963.4,228.8,77.4,20.9
0.094000,476.9,143.9,2127.4,120.8,2944.8,260.6,475.1,2132.9,2962.9,229.6,77.3,21.5
0.096000,481.1,150.1,2128.5,112.2,2937.4,269.4,477.6,2137,2964.5,230.4,77.2,21.8
0.098000,483.6,155.4,2133.7,105.8,2929.6,296.5,480.1,2141.2,2968,231.1,77.2,21.8
0.100000,483.5,159.0,2141.0,102.3,2927.5,334.2,482.3,2145.3,2972.8,231.8,77.2,21.8
0.102000,482.3,162.1,2148.2,100.0,2939.2,360.1,484.3,2148.9,2978.5,232.4,77.3,21.7
0.104000,481.8,165.9,2154.2,97.5,2963.6,356.4,486.1,2152.1,2984.4,233.1,77.3,21.7
0.106000,482.7,169.7,2158.6,94.9,2990.0,331.9,487.6,2154.7,2990.1,233.6,77.3,21.8
0.108000,484.7,172.6,2161.0,91.4,3010.5,303.2,488.8,2156.6,2995.1,234.2,77.3,22
0.110000,488.2,174.2,2160.8,85.6,3023.6,279.0,489.6,2158,2999,234.7,77.2,22.2
0.112000,492.7,174.5,2158.0,78.2,3031.5,262.5,490.2,2158.8,3001.5,235.1,77.1,22.5
0.114000,497.3,173.8,2154.0,71.2,3037.1,254.8,490.4,2159.1,3002.3,235.6,76.9,22.9
