file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
S10_selected_tokens_0001,711.4,1999.9,3136.1,5.2,41.2,6.8,-90.9,-11.5,-22.1,6.6,4.6,-25.3,-19.5,-6.5,-7.5,11.5,0.8,-12
S10_selected_tokens_0002,544.5,2115.3,2963.3,-14.5,37.4,-46.3,-32.9,-10.5,13.9,1.4,5.1,-10.3,-11.5,-13.7,-14.6,-0.4,1.8,1.6
S10_selected_tokens_0003,769.7,1803,2876.2,51.9,-87.7,-504,-27.6,-89.6,-61.8,12.2,0.7,18.2,-13.1,-15.4,-27.2,2.7,-6.1,-21.5
S10_selected_tokens_0004,512.7,1883.3,2573.7,19.6,-211.1,-394.6,-20.8,-55.5,107.1,-1.5,12.5,-60.6,-4.1,-1.6,6.7,0.2,-3.1,3.5
S10_selected_tokens_0005,659.8,1774.4,2766.1,-57.4,78.8,-49.5,-81.2,31.3,-24.8,11.1,77.2,39.3,-3.8,36,15.2,9.9,27.1,11.6
S10_selected_tokens_0006,458.3,2074.1,2803.7,-15.2,69.6,-12,-27.3,-32.7,-55.9,5.1,31.8,24.7,-6.7,-16.1,25.2,2.6,14,15.9
S10_selected_tokens_0007,716.8,1662.7,3184.9,-15.4,-80.5,-1.1,-55.4,-51.9,-4.9,-7.9,-20.3,22.8,-20.4,-18.6,2.4,5.1,-1.3,7.6
S10_selected_tokens_0008,499.3,1751.8,3149.7,-32.9,-125.7,83.6,-28.6,-76.3,-14.5,2.3,7.8,38.2,-12.5,-32.6,-39,-7.1,-12.5,0.2
S10_selected_tokens_0009,728.1,1886.6,2849,34.6,-112.7,-188.3,-86.8,-16.3,47.2,-16.6,18,12.7,-35.2,-0.8,-13.5,7.5,14.4,-7.4
S10_selected_tokens_0010,507.2,2113.7,2917.1,-36.7,-16.6,-169.5,-28.2,-38.1,-58,-2.4,-11.5,1.5,-8.7,-15.9,12.3,1.3,-5.9,12.4
S10_selected_tokens_0011,700.7,2044.6,2887.6,19.2,48.7,12.5,-46.1,70.5,105.2,17.5,103.7,3.5,-13.8,53.3,-65.8,-1.6,24.2,-96.3
S10_selected_tokens_0012,508.4,2205.9,3112.3,6.4,99.2,117.7,-62.1,-1.3,86.8,-16.1,31.6,-6.9,-21,7.4,-3.4,-5.6,2.2,7.5
S10_selected_tokens_0013,587.7,1986.5,2790.4,13.5,-87.4,-132.6,-66.6,-36.7,48.4,-10.5,-17.6,8.8,-13.5,-7.2,16.7,6,9.4,1.6
S10_selected_tokens_0014,493.9,2202.2,3130.1,-2.1,11.2,-109.3,-19.1,-53.2,17.5,3.6,-10.2,-61.5,-3.6,-0.6,-27.8,-1.4,-7.5,-22.9
S10_selected_tokens_0015,965.9,2453.7,3719.4,-309.1,-89,12.9,-44.1,-85,-131,-19,52,91,47.5,39.6,-19.7,9.7,23.6,19.2
S10_selected_tokens_0016,502.4,2067.9,2753.2,-43.5,33,-35.9,-25.1,15,29.3,-6.5,16.8,1.9,-6.3,-4.4,2.8,0.5,1.1,-3.7
S10_selected_tokens_0017,646.9,2054.1,2973,12.2,-0.6,-147.4,-86.4,-61.9,46.3,-8.6,2.4,-52.4,-16,-1.7,-37.1,15.4,31.8,18
S10_selected_tokens_0018,513.3,2077.2,2977.1,-24.4,32.7,-134.9,-48.6,-46.4,19.3,-10.6,-25.8,-36.8,-18.5,-12.4,-9.5,-5.3,2.5,-5.1
S10_selected_tokens_0019,406.1,2232.1,3091,-68.1,532.2,309.5,9.8,-340,86.4,-14.9,73.6,-172.6,-2.1,31.9,-4.1,-12,-27.4,18.6
S10_selected_tokens_0020,564.6,1706.5,2971.9,-86.1,263.6,-101,-22,-48.4,29.6,-12,-6.9,4.9,-3.6,-23.9,-15.5,-1.7,0.4,14.3
S10_selected_tokens_0021,420.1,2257.1,3140.4,-65.4,517.2,129.5,24.8,-302,143.5,-17.8,52.1,-197.1,-0.1,30.4,8.2,-1.3,-30.2,45
S10_selected_tokens_0022,604.1,2011.4,3573.4,-86.2,390.5,-85.1,-81.6,-201,-16.2,-42.7,-46.2,-56.7,7.8,67.1,58.7,10.7,36.1,77.9
S10_selected_tokens_0023,386.1,2280.4,3163.3,-51.4,649.5,305.1,-3.8,-336.7,300,-33.3,74.6,41.3,-5.1,60.2,-91.8,-12.8,-12.9,-21.3
S10_selected_tokens_0024,916.8,2109.2,3677.8,414.3,685.3,477.3,405.3,-21.8,188,344.9,49.1,-106.3,138.6,54.5,-59.6,42,-35,11
S10_selected_tokens_0025,467.7,2270.6,3073.6,-122.2,458.6,-24.1,64.2,-337.1,21.2,-31.2,-36,-181,2.7,-74,-60.8,-7.4,-95.4,-63.3
S10_selected_tokens_0026,530.6,1735.1,3056.4,-90.2,264.7,-217.9,-11.3,-89.6,16.6,-12.1,-14.1,-7.1,-6.6,-18.7,1.3,-4.1,-1.6,-9
S10_selected_tokens_0027,419.6,2330,3252.7,-79.7,534.5,333.1,7.2,-316.7,197.3,-34.7,72,-141.3,-7.6,20.5,-1.9,-9.9,-58.3,71.9
S10_selected_tokens_0028,899.1,2060.1,3510.9,490,814.3,441.1,406.4,281.9,444.6,325.4,179.1,209.3,178.6,-38.2,44.4,41.8,-150.5,-246.8
S10_selected_tokens_0029,408.5,2065.4,2829.7,-61.9,305.9,-114.2,20.6,-444.3,29,-16.5,-98.2,-64,15.8,-85.2,27.7,-9.3,-78.2,-25
S10_selected_tokens_0030,480.7,1463.5,2837.4,-69.2,10.9,-140.6,4.1,-77.5,29.2,-8.8,-4.4,-23.2,-2,-24.4,3,1.6,0.2,5.8
S10_selected_tokens_0031,399.5,2186,2818.8,-46.2,333,-165,20.8,-461.1,62.6,-7.9,-77.1,-27.8,7.6,-122.1,7.3,-4.8,-18.7,-12.4
S10_selected_tokens_0032,490.3,1510.2,2856,-70.5,-35.1,-88.5,-0.7,-80.1,21.2,-2.9,-28.3,-0.2,-0.7,-27.3,-0.8,-1.2,8.5,-4.2
S10_selected_tokens_0033,438.8,2174.8,2950.3,-63.5,600.4,215.9,30.3,-240.2,259.8,-15.2,-11.2,-36.4,6.9,-13,-15.3,-3.3,2.7,-51.2
S10_selected_tokens_0034,748.6,2341.9,3388.7,-478.5,-240.2,-410.2,156.6,179.1,292.4,99.4,-28.7,83.2,-106.7,11.3,-178.4,-3,-10.6,109.5
S10_selected_tokens_0035,375.7,2195.9,2924.3,-44.4,573.8,209.7,12.8,-269.2,179.1,2.4,-29,2.5,-13,35.9,-37,-13.7,-4.7,-43.9
S10_selected_tokens_0036,798.6,2214.6,3648.5,-193.5,384.6,-138.4,-52.7,-29.1,125.1,-154.4,-297.8,-48.9,-170.9,104.7,-9.1,-334.8,-304.1,-94.2
S10_selected_tokens_0037,391.9,2011.7,2776.4,-64.1,319.1,-192.6,18.3,-432.5,48.4,-11.9,-121.5,-96.4,5.8,-129.1,3.7,-3,-94,9.9
S10_selected_tokens_0038,860.6,2037.5,3821.3,66.8,150.7,-52.2,-277,-214.9,-27.3,-422.7,-614.3,-365.2,-40.8,-79.7,-60.1,-19.6,-314.5,-172.8
S10_selected_tokens_0039,601.9,1574.8,2668,148.8,-57.2,-14.8,6.4,248.9,-2.1,-29.2,-77.4,-46.5,-40.9,12.8,8.7,8.7,9.1,-9.4
S10_selected_tokens_0040,553.1,1236.3,2574,119.2,5.4,3.2,13.2,152.2,-83.5,4.1,-51.6,23.6,-0.7,32.8,-29.1,13.6,5.5,24
S10_selected_tokens_0041,520.5,1605.8,2514.7,59.8,197.7,-98.9,-64.6,223.4,-55.8,-29.4,-40.1,-21.2,-11.3,110.8,-3.6,-14.8,-10.3,-20.6
S10_selected_tokens_0042,523.6,1238.4,2585.7,123.3,133.6,-35.4,-32.1,119.5,-59.6,-24.7,-65.2,-4.8,1,73.3,-6,-7.2,-25,6.4
S10_selected_tokens_0043,516,1360.7,2757.5,112.3,-44.5,-91.5,12.8,88.3,3.2,-16.8,-26.2,-5.7,-21.7,-8.3,-5.3,-3,4.5,13.6
S10_selected_tokens_0044,508.3,1118.6,2716.2,155.5,-76.8,-53.6,87.3,130.1,47.1,38.7,-42.4,-46.3,10.3,60,34.5,5.2,-33.4,4.6
S10_selected_tokens_0045,637.4,1385.7,2973.3,34.3,27.7,14.6,-61,42.2,-65.9,-6.5,-12.3,27.5,-14,17.9,-5.6,-3.5,-17.5,9.3
S10_selected_tokens_0046,599.5,1132.3,2917,109.4,69.9,96.7,-79.3,131.1,-89.5,-46,-51.4,39.1,-6.8,26.5,-52.4,-1,-58.5,13.4
S10_selected_tokens_0047,537.7,1225.4,2726.8,182.4,58.1,-54.5,74.4,125.9,-4.9,28.5,-41.3,-26.6,15.2,23.4,15.6,15.1,2.2,-10
S10_selected_tokens_0048,489.3,1095.2,2771.6,92.7,-7.6,-45.8,-0.2,100.9,-61.2,-16.9,-50.3,3.7,-12.4,25.6,-7.6,-4.3,-23.2,-11.3
S10_selected_tokens_0049,566.9,1158.6,2599.6,141.1,205.9,-249.7,-10.4,-0.5,-80.6,8.5,18.3,-26.2,-6,17.8,-18.1,-4.9,-19.1,-23.1
S10_selected_tokens_0050,512.4,1006.7,2692,133.2,180.5,-241.5,-18.1,19.9,-164.7,-4.7,-14,-16.8,-28,10.6,-59.3,12.7,-19.9,2.1
S10_selected_tokens_0051,539.7,1569,2715.2,140.1,30.6,-21.3,-41.8,185.4,-2.6,-55.2,-104.6,-9.3,-32,32.6,26.6,1.2,-11,-1.8
S10_selected_tokens_0052,515.5,1413.3,2855.1,104.2,-9.2,-11,-26.7,283,19.4,-25.5,-72.1,33.8,-28.7,60.6,23.8,0.7,-19.4,1.8
S10_selected_tokens_0053,563.3,1637.9,2646.9,95.3,90.7,121.5,-23.5,115.6,25.1,-25.7,-57.6,15.8,-13.4,22.4,1.4,-9.5,-25.1,4
S10_selected_tokens_0054,545.4,1290.2,2599,131.4,140.5,186,27.9,216.5,65.6,-21.2,-63.4,26.6,-14.7,70,-25,-15.1,-24.8,-25.9
S10_selected_tokens_0055,547.7,1480.2,2529.5,172.7,-101.3,-4.7,44,134.6,-17.7,25.4,-73.8,-12.9,20,24.4,4.6,26.7,-19.5,-19.4
S10_selected_tokens_0056,574.2,1180.7,2683.1,189.2,6.4,147.9,57.2,111.9,-76.4,23.7,-61.6,19.8,14,21.8,-25.3,20.5,-30.7,27.8
S10_selected_tokens_0057,494.8,1308.7,2578.6,68.6,273.5,90.7,-34.7,36.8,-40.1,-31.2,28.1,31.1,-15,-13.3,-19.5,-5.4,10.3,24.1
S10_selected_tokens_0058,501.7,1120.2,2689.7,105.4,221.2,102.5,7.7,65.8,-57.5,-5.6,12.8,52.5,2.3,37.6,-9,-5.1,21.9,22.5
S10_selected_tokens_0059,407.6,1587.1,2641.1,-22.4,185,155,-27.4,96.5,-22.5,-28.5,-123.2,-8.2,-23.5,37.4,25.1,-16.7,-19.3,30
S10_selected_tokens_0060,395.6,2158.5,2590.7,-34,173,114.6,-16.2,7,128.6,-17,6.2,3.7,-16.5,25.3,34.1,-9.5,-3.4,10.2
S10_selected_tokens_0061,393.8,1622,2657.9,20.1,-61.1,46.7,-8.8,94.6,-10.8,2.1,-82.4,28.5,-3,32.3,-8.2,0.7,-32.2,12.7
S10_selected_tokens_0062,398,2065.1,2636.4,10.7,57.9,-39.1,-7.6,140.3,41,2,-99.8,-27.7,-5.5,-11.2,7.7,2,-9.3,-25.5
S10_selected_tokens_0063,401.5,1669.5,2633.7,3.4,338,98.4,-5.7,222.4,31.2,1.3,-98.5,64.2,-5.4,-6,-20.8,2.3,-19.6,23.2
S10_selected_tokens_0064,410.1,1982.1,2711.2,-6.8,236.7,-20.1,-7.8,114.8,-33.1,2.4,-3.9,17.9,-6,-4.7,-16.5,1.2,4.3,2.3
S10_selected_tokens_0065,392.7,1569.5,2418,29,-288.2,-167.5,-25.6,161,-25.6,13.5,-62.5,-37.9,-9.7,28.4,46.8,5,-19.6,-29
S10_selected_tokens_0066,399.2,1889.5,2472.3,-1.4,-91.5,-307.9,-12,119.3,43.8,3.7,-8.2,-76.1,-3.2,-32,19.3,1.1,15.5,-12.1
S10_selected_tokens_0067,415.9,1584.3,2242.7,12.3,14.2,-169.3,-4.6,98,-27.1,3.1,-77.4,3.2,-3.4,17.6,-8.5,2.9,-5.6,24.2
S10_selected_tokens_0068,409.1,1698.5,2217.3,5.7,-41.6,-198.5,-2.3,127.3,-19.2,2.1,-53.3,-33.4,-3,29.6,9.3,1.6,-26.6,-5.1
S10_selected_tokens_0069,410.9,1499.8,2177,10.7,-116.4,-111.2,-2.4,130.5,-21.5,3.5,-26,-18.9,0.2,25,31.8,2,1.2,0.5
S10_selected_tokens_0070,415.6,1813.5,2268.4,4.2,-142,-273.4,-2.4,101.2,39.7,3.5,-10,-39,-1.3,-7.7,13.5,1.2,-6.1,-32.2
S10_selected_tokens_0071,391.5,1917,2585.4,0.5,220.6,75.6,-7.7,105.1,57.3,-2.6,-77.1,74.6,-7,0.2,10.5,-1.3,-21.5,23.8
S10_selected_tokens_0072,386,2147.4,2632,3,153.4,75.8,-8.7,103.7,124.3,5,-45.5,42.7,-4.3,-8.3,64,1,13,24.1
S10_selected_tokens_0073,398.1,1637.4,2601.7,-12.1,375.9,-7.6,-16.8,183.9,-36.6,-15.7,-146.5,10.3,-13.6,96.2,-49.1,-3.5,-34.8,11.5
S10_selected_tokens_0074,394.5,2132.6,2657,-15.2,240.7,109.9,-17.9,30.1,133.1,-3.1,-69.3,14.5,-11.1,7.2,15,-1.6,7.8,-5
S10_selected_tokens_0075,412.9,1870.4,2870.1,-3.2,101.7,32.5,-0.6,83.8,30.4,4.2,9,-12.7,-2.7,-15.3,-10.5,1.1,19.6,-8.4
S10_selected_tokens_0076,396.8,2173.7,2752,-19.4,201.8,-0.4,0.8,26.3,119.8,3.1,-24.5,43.6,-1.1,-34,45.8,-1.1,-4.5,3
S10_selected_tokens_0077,383,1893.2,2671.6,-5.1,331,123.6,-4.9,108.1,67.3,-7.6,-82.5,47.4,-5,14.8,16.1,-0.5,-35.9,35.7
S10_selected_tokens_0078,391.4,2213,2676.8,-8.4,69.4,-8.3,-0.8,111.3,87.4,0.8,-62.3,53.2,-2.4,4,40.6,-0.5,-19.9,0.9
S10_selected_tokens_0079,799.5,2188.1,2805.6,17.2,120.8,-6.1,-17.5,101.5,63.3,4.8,83.1,5.6,-16.1,63.3,25.1,-5.3,16.5,12.2
S10_selected_tokens_0080,722.8,2478.4,3219.4,-145,330.9,358.3,-133.7,35.3,226.2,-18.8,28.1,-20.2,-27.9,20.7,21.1,11,2.3,45.2
S10_selected_tokens_0081,848.2,1993.3,2793.9,14.9,141.7,-32.5,0,9.1,2.3,22.4,29.3,-35.1,2.8,-3.9,15.1,14.2,6.5,-2.9
S10_selected_tokens_0082,745.8,2188.7,2825.7,-165.4,329.5,12.3,-85.6,13,3.1,-40.7,7.7,-43.2,-29.1,-7.2,-5.6,-7,1.8,-17.2
S10_selected_tokens_0083,734,2202.8,2815,-145.3,264.8,60.2,-50,-37.7,79.5,-13.6,-32,16.2,-16.8,-12.3,25.4,2.7,13.1,5.9
S10_selected_tokens_0084,800.4,2248,3033.4,-225.7,327.7,76.7,-112.3,23.3,21.4,-7.4,18.8,54.2,-12.4,-0.8,32.2,2.1,1.1,6.8
S10_selected_tokens_0085,803,2125.8,2798.8,-59.7,67.9,30.6,-48.2,6.8,129.1,-17.6,-11.8,7.3,-25,4.7,-9.2,-7.8,-6.6,-39.2
S10_selected_tokens_0086,733.6,2263.1,3048,-202.1,152,183.6,-95.9,-70.2,27.9,-17.9,-6.1,-4.2,-0.6,-6.8,24.5,2.7,-3.5,0.5
S10_selected_tokens_0087,798.9,2236.6,2962.3,-35.5,151.5,157.1,-5.1,-3.2,37.5,19.7,39.8,40.9,7.3,36.8,79.3,13.9,17.7,-8.5
S10_selected_tokens_0088,742.7,2279.9,2998.8,-157.2,201.8,151.8,-105.8,-6,-62.9,-8.2,15.7,-6.1,-24.6,11.5,4.5,3.2,1.2,12.6
S10_selected_tokens_0089,799.8,2087.6,2872.4,-128.7,58.8,-67.5,-67.1,-8.7,-8.1,-22.8,-2.1,-10.3,-25.1,-2.4,-11.1,-0.1,1.7,-1.6
S10_selected_tokens_0090,752.5,2174.4,2918,-220.6,190.4,24.9,-100.9,55,82.7,-39.4,-1.6,-7.8,-7.4,10.9,12.5,-6.4,-7.2,-9
S10_selected_tokens_0091,890.9,2002.6,2832.7,-66.3,120.7,-7.4,-34.6,19.6,50.4,-7,30.1,19.4,-12.1,15,30.8,1,-3.8,-12.8
S10_selected_tokens_0092,757.6,2229.3,2893.1,-153.1,290.4,72.5,-56.1,3.6,40.7,-30.8,19.2,-11.5,-9.2,4.4,-8.3,-8.3,4.4,-10.1
S10_selected_tokens_0093,785.3,2092.5,2733.8,-41.2,-118.9,-161.6,-30.5,-92.9,-63.5,-12.3,-11.2,-43,-14.5,-27.1,-20.1,-14.6,-16,-26.6
S10_selected_tokens_0094,805.9,2093.6,2754.8,-85.9,2.8,-135.9,-86.4,-58.4,-38.4,-12.6,-19,-83.1,-30.6,2.6,-11,-14.8,-9.9,-48
S10_selected_tokens_0095,757.1,2192.9,2821.9,-53.4,104.1,-42.5,-48.3,-1.5,8.9,-18.3,25.8,7.8,-25.8,-12.6,6.2,-6.1,-10.5,-5.3
S10_selected_tokens_0096,676.5,2335.7,2917.7,-228.9,272.3,-32.8,-90.3,-52.2,-14.3,6.3,-64.8,-51.8,26.3,-13.6,-3.6,17.4,-17.3,-7.9
S10_selected_tokens_0097,816.7,2126.8,2791.2,-6,99.2,16.4,-35,15.4,39.2,-14.2,7.7,-1.4,-22.5,5.7,-3.8,-0.3,15.8,7.4
S10_selected_tokens_0098,809.2,2288.4,3142.9,-162.8,241.3,74.6,-102.7,33.2,21.1,-16.8,-10.5,6.6,-26.4,1,8.1,-6.7,6.3,27.2
S10_selected_tokens_0099,962.7,1777,2865.1,-16.9,49.7,-59.2,-84.6,52.2,32.5,-1.8,7.1,-13.1,-12.6,3.8,17.7,-2.6,0.7,-16.6
S10_selected_tokens_0100,969.8,1677.6,2761.2,36.2,-28.6,-40.2,-70.9,61.5,16.6,-10.2,24.5,8.5,-18.3,2.5,-0.8,-3.1,-2.9,0.7
S10_selected_tokens_0101,966.7,1846.1,2769.4,117.9,-60.7,-109.6,-33.6,12.1,-15.7,5,-2.9,-6.9,-15.6,-1.7,-1.9,9.7,0.6,-20.8
S10_selected_tokens_0102,1001.8,1804.5,2710.6,115.2,-122.4,-101.2,-45.7,39.5,35.9,3.7,-15.7,6.1,-2.4,10.9,24.2,7,-16.2,-0.2
S10_selected_tokens_0103,939.1,1808,2682.7,27.7,-35.8,-48.1,-95.1,92.3,69.4,-28.1,39.3,18.9,-12.3,-3.2,12.8,5,9.3,6.6
S10_selected_tokens_0104,901,1693.2,2717.8,17.4,-28.9,30.7,-62,100.1,121.4,-8.3,19.7,46.4,-25.7,9.6,37.8,0.9,3.5,3.1
S10_selected_tokens_0105,961.5,1863.4,2730.4,17.3,-57.5,-100.5,-93.2,26.2,76.9,-25.9,22.6,45,-22.1,7.7,36.8,3.2,15.8,41.7
S10_selected_tokens_0106,932.6,1667.4,2710,18.3,-88.6,-111.9,-61.9,112,99.9,-17.3,33.8,47.2,-20.7,10.3,69.3,-4.4,-1.1,0.2
S10_selected_tokens_0107,986.6,1794.6,2641.3,113.7,-8.4,-40.5,-58.1,30.8,21.7,15.6,26,21.4,-15,4.7,20.4,9.7,21.4,23.6
S10_selected_tokens_0108,957.5,1561.9,2574.4,47.7,-76.1,-99.1,-33.6,107.7,42.2,0.7,-15.4,10.1,-6.9,9.6,20.8,2.8,5.8,23.1
