file,winner,F1,F2,F3,edit
S16_selected_tokens_0001,13,13,13,13,0
S16_selected_tokens_0002,16,16,16,16,0
S16_selected_tokens_0003,16,16,16,16,0
S16_selected_tokens_0004,9,9,9,9,0
S16_selected_tokens_0005,7,7,7,7,0
S16_selected_tokens_0006,9,9,9,9,0
S16_selected_tokens_0007,7,7,7,7,0
S16_selected_tokens_0008,3,3,3,3,0
S16_selected_tokens_0009,13,13,13,13,0
S16_selected_tokens_0010,10,10,10,10,0
S16_selected_tokens_0011,10,10,10,10,0
S16_selected_tokens_0012,4,4,4,4,0
S16_selected_tokens_0013,7,7,7,7,0
S16_selected_tokens_0014,9,9,9,9,0
S16_selected_tokens_0015,6,6,6,6,0
S16_selected_tokens_0016,17,17,17,17,0
S16_selected_tokens_0017,10,10,10,10,0
S16_selected_tokens_0018,10,10,10,10,0
S16_selected_tokens_0019,8,8,8,8,0
S16_selected_tokens_0020,15,15,15,15,0
S16_selected_tokens_0021,17,17,17,17,0
S16_selected_tokens_0022,7,7,7,7,0
S16_selected_tokens_0023,12,12,12,12,0
S16_selected_tokens_0024,13,13,13,13,0
S16_selected_tokens_0025,9,9,9,9,0
S16_selected_tokens_0026,12,12,12,12,0
S16_selected_tokens_0027,8,8,8,8,0
S16_selected_tokens_0028,9,9,9,9,0
S16_selected_tokens_0029,8,8,8,8,0
S16_selected_tokens_0030,10,10,10,10,0
S16_selected_tokens_0031,8,8,8,8,0
S16_selected_tokens_0032,4,4,4,4,0
S16_selected_tokens_0033,8,8,8,8,0
S16_selected_tokens_0034,4,4,4,4,0
S16_selected_tokens_0035,8,8,8,8,0
S16_selected_tokens_0036,20,20,20,20,0
S16_selected_tokens_0037,9,9,9,9,0
S16_selected_tokens_0038,8,8,8,8,0
S16_selected_tokens_0039,5,5,5,5,0
S16_selected_tokens_0040,4,4,4,4,0
S16_selected_tokens_0041,3,3,3,3,0
S16_selected_tokens_0042,5,5,5,5,0
S16_selected_tokens_0043,5,5,5,5,0
S16_selected_tokens_0044,4,4,4,4,0
S16_selected_tokens_0045,4,4,4,4,0
S16_selected_tokens_0046,4,4,4,4,0
S16_selected_tokens_0047,18,18,18,18,0
S16_selected_tokens_0048,8,8,8,8,0
S16_selected_tokens_0049,6,6,6,6,0
S16_selected_tokens_0050,13,13,13,13,0
S16_selected_tokens_0051,7,7,7,7,0
S16_selected_tokens_0052,4,4,4,4,0
S16_selected_tokens_0053,11,11,11,11,0
S16_selected_tokens_0054,8,8,8,8,0
S16_selected_tokens_0055,4,4,4,4,0
S16_selected_tokens_0056,3,3,3,3,0
S16_selected_tokens_0057,3,3,3,3,0
S16_selected_tokens_0058,12,12,12,12,0
S16_selected_tokens_0059,5,5,5,5,0
S16_selected_tokens_0060,3,3,3,3,0
S16_selected_tokens_0061,8,8,8,8,0
S16_selected_tokens_0062,11,11,11,11,0
S16_selected_tokens_0063,2,2,2,2,0
S16_selected_tokens_0064,4,4,4,4,0
S16_selected_tokens_0065,7,7,7,7,0
S16_selected_tokens_0066,5,5,5,5,0
S16_selected_tokens_0067,3,3,3,3,0
S16_selected_tokens_0068,3,3,3,3,0
S16_selected_tokens_0069,5,5,5,5,0
S16_selected_tokens_0070,4,4,4,4,0
S16_selected_tokens_0071,1,1,1,1,0
S16_selected_tokens_0072,2,2,2,2,0
S16_selected_tokens_0073,4,4,4,4,0
S16_selected_tokens_0074,5,5,5,5,0
S16_selected_tokens_0075,8,8,8,8,0
S16_selected_tokens_0076,6,6,6,6,0
S16_selected_tokens_0077,11,11,11,11,0
S16_selected_tokens_0078,10,10,10,10,0
S16_selected_tokens_0079,1,1,1,1,0
S16_selected_tokens_0080,6,6,6,6,0
S16_selected_tokens_0081,15,15,15,15,0
S16_selected_tokens_0082,13,13,13,13,0
S16_selected_tokens_0083,11,11,11,11,0
S16_selected_tokens_0084,8,8,8,8,0
S16_selected_tokens_0085,14,14,14,14,0
S16_selected_tokens_0086,9,9,9,9,0
S16_selected_tokens_0087,18,18,18,18,0
S16_selected_tokens_0088,14,14,14,14,0
S16_selected_tokens_0089,8,8,8,8,0
S16_selected_tokens_0090,9,9,9,9,0
S16_selected_tokens_0091,14,14,14,14,0
S16_selected_tokens_0092,10,10,10,10,0
S16_selected_tokens_0093,14,14,14,14,0
S16_selected_tokens_0094,11,11,11,11,0
S16_selected_tokens_0095,6,6,6,6,0
S16_selected_tokens_0096,6,6,6,6,0
S16_selected_tokens_0097,17,17,17,17,0
S16_selected_tokens_0098,9,9,9,9,0
S16_selected_tokens_0099,14,14,14,14,0
S16_selected_tokens_0100,8,8,8,8,0
S16_selected_tokens_0101,9,9,9,9,0
S16_selected_tokens_0102,17,17,17,17,0
S16_selected_tokens_0103,11,11,11,11,0
S16_selected_tokens_0104,9,9,9,9,0
S16_selected_tokens_0105,13,13,13,13,0
S16_selected_tokens_0106,8,8,8,8,0
S16_selected_tokens_0107,18,18,18,18,0
S16_selected_tokens_0108,9,9,9,9,0
S16_selected_tokens_0109,17,17,17,17,0
S16_selected_tokens_0110,9,9,9,9,0
S16_selected_tokens_0111,17,17,17,17,0
S16_selected_tokens_0112,10,10,10,10,0
S16_selected_tokens_0113,10,10,10,10,0
S16_selected_tokens_0114,9,9,9,9,0
S16_selected_tokens_0115,10,10,10,10,0
S16_selected_tokens_0116,9,9,9,9,0
S16_selected_tokens_0117,14,14,14,14,0
S16_selected_tokens_0118,9,9,9,9,0
S16_selected_tokens_0119,14,14,14,14,0
S16_selected_tokens_0120,8,8,8,8,0
