inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,stress,word,word_interval,word_start,word_end,previous_word,next_word
S16_selected_tokens,S16_selected_tokens_0001,EH,2,0.12,0.04,0.16,-,-,0,1,dental,1,0,0.69,-,-
S16_selected_tokens,S16_selected_tokens_0002,EH,4,0.06999999999999995,0.7619,0.8319,-,-,0,1,dental,3,0.7119,1.4519,-,-
S16_selected_tokens,S16_selected_tokens_0003,EH,6,0.08999999999999986,1.6124,1.7024,-,-,0,1,friendless,5,1.4724,2.4124,-,-
S16_selected_tokens,S16_selected_tokens_0004,EH,8,0.08000000000000007,2.6071,2.6871,-,-,0,1,friendless,7,2.4371,3.4071,-,-
S16_selected_tokens,S16_selected_tokens_0005,EH,10,0.0900000000000003,3.51,3.6,-,-,0,1,gemstone,9,3.43,4.32,-,-
S16_selected_tokens,S16_selected_tokens_0006,EH,12,0.07000000000000028,4.4334,4.5034,-,-,0,1,gemstone,11,4.3434,5.2134,-,-
S16_selected_tokens,S16_selected_tokens_0007,EH,14,0.09999999999999964,5.311,5.411,-,-,0,1,lemon,13,5.231,5.871,-,-
S16_selected_tokens,S16_selected_tokens_0008,EH,16,0.09000000000000075,5.9838,6.0738,-,-,0,1,lemon,15,5.8938,6.5638,-,-
S16_selected_tokens,S16_selected_tokens_0009,EH,18,0.1200000000000001,6.8604,6.9804,-,-,0,1,spenders,17,6.6104,7.6804,-,-
S16_selected_tokens,S16_selected_tokens_0010,EH,20,0.07000000000000028,7.9619,8.0319,-,-,0,1,spenders,19,7.7319,8.7619,-,-
S16_selected_tokens,S16_selected_tokens_0011,EH,22,0.08000000000000007,8.9231,9.0031,-,-,0,1,tendons,21,8.8131,9.7131,-,-
S16_selected_tokens,S16_selected_tokens_0012,EH,24,0.0600000000000005,9.8407,9.9007,-,-,0,1,tendons,23,9.7607,10.6507,-,-
S16_selected_tokens,S16_selected_tokens_0013,EH,26,0.09999999999999964,10.7355,10.8355,-,-,0,1,venture,25,10.7055,11.4455,-,-
S16_selected_tokens,S16_selected_tokens_0014,EH,28,0.07000000000000028,11.5284,11.5984,-,-,0,1,venture,27,11.4984,12.2884,-,-
S16_selected_tokens,S16_selected_tokens_0015,EH,30,0.08999999999999986,12.3951,12.4851,-,-,0,1,generates,29,12.3351,13.1751,-,-
S16_selected_tokens,S16_selected_tokens_0016,EH,32,0.05000000000000071,13.2668,13.3168,-,-,0,1,generates,31,13.1968,14.0568,-,-
