filename,speaker,item_code,variableN,rowN,variantN,word,variant
S10_1-1-1_dental_M,S10,1-1-1,1,1,1,dental,M
S10_1-1-3_dental_N,S10,1-1-3,1,1,3,dental,N
S10_1-2-1_friendless_M,S10,1-2-1,1,2,1,friendless,M
S10_1-2-3_friendless_N,S10,1-2-3,1,2,3,friendless,N
S10_1-3-1_gemstone_M,S10,1-3-1,1,3,1,gemstone,M
S10_1-3-3_gemstone_N,S10,1-3-3,1,3,3,gemstone,N
S10_1-4-1_lemon_M,S10,1-4-1,1,4,1,lemon,M
S10_1-4-3_lemon_N,S10,1-4-3,1,4,3,lemon,N
S10_1-5-1_spenders_M,S10,1-5-1,1,5,1,spenders,M
S10_1-5-3_spenders_N,S10,1-5-3,1,5,3,spenders,N
S10_1-6-1_tendons_M,S10,1-6-1,1,6,1,tendons,M
S10_1-6-3_tendons_N,S10,1-6-3,1,6,3,tendons,N
S10_1-7-1_venture_M,S10,1-7-1,1,7,1,venture,M
S10_1-7-3_venture_N,S10,1-7-3,1,7,3,venture,N
S10_1-8-1_generates_M,S10,1-8-1,1,8,1,generates,M
S10_1-8-3_generates_N,S10,1-8-3,1,8,3,generates,N
S10_1-10-1_ventilates_M,S10,1-10-1,1,10,1,ventilates,M
S10_1-10-3_ventilates_N,S10,1-10-3,1,10,3,ventilates,N
S10_2-1-1_fieldwork_M,S10,2-1-1,2,1,1,fieldwork,M
S10_2-1-3_fieldwork_N,S10,2-1-3,2,1,3,fieldwork,N
S10_2-2-1_ceiling_M,S10,2-2-1,2,2,1,ceiling,M
S10_2-2-3_ceiling_N,S10,2-2-3,2,2,3,ceiling,N
S10_2-3-1_healers_M,S10,2-3-1,2,3,1,healers,M
S10_2-3-3_healers_N,S10,2-3-3,2,3,3,healers,N
S10_2-4-1_mealtime_M,S10,2-4-1,2,4,1,mealtime,M
S10_2-4-3_mealtime_N,S10,2-4-3,2,4,3,mealtime,N
S10_2-5-1_peeling_M,S10,2-5-1,2,5,1,peeling,M
S10_2-5-3_peeling_N,S10,2-5-3,2,5,3,peeling,N
S10_2-6-1_wheelchair_M,S10,2-6-1,2,6,1,wheelchair,M
S10_2-6-3_wheelchair_N,S10,2-6-3,2,6,3,wheelchair,N
S10_2-7-1_wielding_M,S10,2-7-1,2,7,1,wielding,M
S10_2-7-3_wielding_N,S10,2-7-3,2,7,3,wielding,N
S10_2-8-1_steelworks_M,S10,2-8-1,2,8,1,steelworks,M
S10_2-8-3_steelworks_N,S10,2-8-3,2,8,3,steelworks,N
S10_2-9-1_dealership_M,S10,2-9-1,2,9,1,dealership,M
S10_2-9-3_dealership_N,S10,2-9-3,2,9,3,dealership,N
S10_2-10-1_wheelbarrow_M,S10,2-10-1,2,10,1,wheelbarrow,M
S10_2-10-3_wheelbarrow_N,S10,2-10-3,2,10,3,wheelbarrow,N
S10_3-1-1_featherweight_M,S10,3-1-1,3,1,1,featherweight,M
S10_3-1-3_featherweight_N,S10,3-1-3,3,1,3,featherweight,N
S10_3-2-1_leathery_M,S10,3-2-1,3,2,1,leathery,M
S10_3-2-3_leathery_N,S10,3-2-3,3,2,3,leathery,N
S10_3-3-1_mothership_M,S10,3-3-1,3,3,1,mothership,M
S10_3-3-3_mothership_N,S10,3-3-3,3,3,3,mothership,N
S10_3-4-1_worthiest_M,S10,3-4-1,3,4,1,worthiest,M
S10_3-4-3_worthiest_N,S10,3-4-3,3,4,3,worthiest,N
S10_3-5-1_otherness_M,S10,3-5-1,3,5,1,otherness,M
S10_3-5-3_otherness_N,S10,3-5-3,3,5,3,otherness,N
S10_3-6-1_heathers_M,S10,3-6-1,3,6,1,heathers,M
S10_3-6-3_heathers_N,S10,3-6-3,3,6,3,heathers,N
S10_3-7-1_lathers_M,S10,3-7-1,3,7,1,lathers,M
S10_3-7-3_lathers_N,S10,3-7-3,3,7,3,lathers,N
S10_3-8-1_othered_M,S10,3-8-1,3,8,1,othered,M
S10_3-8-3_othered_N,S10,3-8-3,3,8,3,othered,N
S10_3-9-1_fathered_M,S10,3-9-1,3,9,1,fathered,M
S10_3-9-3_fathered_N,S10,3-9-3,3,9,3,fathered,N
S10_3-10-1_weathered_M,S10,3-10-1,3,10,1,weathered,M
S10_3-10-3_weathered_N,S10,3-10-3,3,10,3,weathered,N
S10_4-1-1_coding_M,S10,4-1-1,4,1,1,coding,M
S10_4-1-3_coding_N,S10,4-1-3,4,1,3,coding,N
S10_4-2-1_goaded_M,S10,4-2-1,4,2,1,goaded,M
S10_4-2-3_goaded_N,S10,4-2-3,4,2,3,goaded,N
S10_4-3-1_hoses_M,S10,4-3-1,4,3,1,hoses,M
S10_4-3-3_hoses_N,S10,4-3-3,4,3,3,hoses,N
S10_4-4-1_modem_M,S10,4-4-1,4,4,1,modem,M
S10_4-4-3_modem_N,S10,4-4-3,4,4,3,modem,N
S10_4-5-1_posers_M,S10,4-5-1,4,5,1,posers,M
S10_4-5-3_posers_N,S10,4-5-3,4,5,3,posers,N
S10_4-6-1_robot_M,S10,4-6-1,4,6,1,robot,M
S10_4-6-3_robot_N,S10,4-6-3,4,6,3,robot,N
S10_4-7-1_sojourn_M,S10,4-7-1,4,7,1,sojourn,M
S10_4-7-3_sojourn_N,S10,4-7-3,4,7,3,sojourn,N
S10_4-8-1_soda_M,S10,4-8-1,4,8,1,soda,M
S10_4-8-3_soda_N,S10,4-8-3,4,8,3,soda,N
S10_4-9-1_podium_M,S10,4-9-1,4,9,1,podium,M
S10_4-9-3_podium_N,S10,4-9-3,4,9,3,podium,N
S10_4-10-1_soberness_M,S10,4-10-1,4,10,1,soberness,M
S10_4-10-3_soberness_N,S10,4-10-3,4,10,3,soberness,N
S10_5-1-1_kudo_M,S10,5-1-1,5,1,1,kudo,M
S10_5-1-3_kudo_N,S10,5-1-3,5,1,3,kudo,N
S10_5-2-1_moody_M,S10,5-2-1,5,2,1,moody,M
S10_5-2-3_moody_N,S10,5-2-3,5,2,3,moody,N
S10_5-3-1_noodle_M,S10,5-3-1,5,3,1,noodle,M
S10_5-3-3_noodle_N,S10,5-3-3,5,3,3,noodle,N
S10_5-4-1_rudeness_M,S10,5-4-1,5,4,1,rudeness,M
S10_5-4-3_rudeness_N,S10,5-4-3,5,4,3,rudeness,N
S10_5-5-1_brooding_M,S10,5-5-1,5,5,1,brooding,M
S10_5-5-3_brooding_N,S10,5-5-3,5,5,3,brooding,N
S10_5-6-1_prudish_M,S10,5-6-1,5,6,1,prudish,M
S10_5-6-3_prudish_N,S10,5-6-3,5,6,3,prudish,N
S10_5-7-1_students_M,S10,5-7-1,5,7,1,students,M
S10_5-7-3_students_N,S10,5-7-3,5,7,3,students,N
S10_5-8-1_scooted_M,S10,5-8-1,5,8,1,scooted,M
S10_5-8-3_scooted_N,S10,5-8-3,5,8,3,scooted,N
S10_5-9-1_soothingly_M,S10,5-9-1,5,9,1,soothingly,M
S10_5-9-3_soothingly_N,S10,5-9-3,5,9,3,soothingly,N
S10_5-10-1_studious_M,S10,5-10-1,5,10,1,studious,M
S10_5-10-3_studious_N,S10,5-10-3,5,10,3,studious,N
S10_6-1-1_candied_M,S10,6-1-1,6,1,1,candied,M
S10_6-1-3_candied_N,S10,6-1-3,6,1,3,candied,N
S10_6-2-1_channeled_M,S10,6-2-1,6,2,1,channeled,M
S10_6-2-3_channeled_N,S10,6-2-3,6,2,3,channeled,N
S10_6-3-1_dancer_M,S10,6-3-1,6,3,1,dancer,M
S10_6-3-3_dancer_N,S10,6-3-3,6,3,3,dancer,N
