filename,speaker,item_code,variableN,rowN,variantN,word,variant
S01_1-1-2_dinners_O,S01,1-1-2,1,1,2,dinners,O
S01_1-1-3_dental_N,S01,1-1-3,1,1,3,dental,N
S01_1-2-2_fringes_O,S01,1-2-2,1,2,2,fringes,O
S01_1-2-3_friendless_N,S01,1-2-3,1,2,3,friendless,N
S01_1-3-2_gymnasts_O,S01,1-3-2,1,3,2,gymnasts,O
S01_1-3-3_gemstone_N,S01,1-3-3,1,3,3,gemstone,N
S01_1-4-2_limits_O,S01,1-4-2,1,4,2,limits,O
S01_1-4-3_lemon_N,S01,1-4-3,1,4,3,lemon,N
S01_1-5-2_spindly_O,S01,1-5-2,1,5,2,spindly,O
S01_1-5-3_spenders_N,S01,1-5-3,1,5,3,spenders,N
S01_1-6-2_tinted_O,S01,1-6-2,1,6,2,tinted,O
S01_1-6-3_tendons_N,S01,1-6-3,1,6,3,tendons,N
S01_1-7-2_vintage_O,S01,1-7-2,1,7,2,vintage,O
S01_1-7-3_venture_N,S01,1-7-3,1,7,3,venture,N
S01_1-8-2_gingerbread_O,S01,1-8-2,1,8,2,gingerbread,O
S01_1-8-3_generates_N,S01,1-8-3,1,8,3,generates,N
S01_1-9-2_syndicate_O,S01,1-9-2,1,9,2,syndicate,O
S01_1-9-3_sentiments_N,S01,1-9-3,1,9,3,sentiments,N
S01_1-10-2_vindicates_O,S01,1-10-2,1,10,2,vindicates,O
S01_1-10-3_ventilates_N,S01,1-10-3,1,10,3,ventilates,N
S01_2-1-2_filtered_O,S01,2-1-2,2,1,2,filtered,O
S01_2-1-3_fieldwork_N,S01,2-1-3,2,1,3,fieldwork,N
S01_2-2-2_silly_O,S01,2-2-2,2,2,2,silly,O
S01_2-2-3_ceiling_N,S01,2-2-3,2,2,3,ceiling,N
S01_2-3-2_hilltop_O,S01,2-3-2,2,3,2,hilltop,O
S01_2-3-3_healers_N,S01,2-3-3,2,3,3,healers,N
S01_2-4-2_mildew_O,S01,2-4-2,2,4,2,mildew,O
S01_2-4-3_mealtime_N,S01,2-4-3,2,4,3,mealtime,N
S01_2-5-2_pillars_O,S01,2-5-2,2,5,2,pillars,O
S01_2-5-3_peeling_N,S01,2-5-3,2,5,3,peeling,N
S01_2-6-2_willow_O,S01,2-6-2,2,6,2,willow,O
S01_2-6-3_wheelchair_N,S01,2-6-3,2,6,3,wheelchair,N
S01_2-7-2_wilted_O,S01,2-7-2,2,7,2,wilted,O
S01_2-7-3_wielding_N,S01,2-7-3,2,7,3,wielding,N
S01_2-8-3_steelworks_N,S01,2-8-3,2,8,3,steelworks,N
S01_2-9-2_diligence_O,S01,2-9-2,2,9,2,diligence,O
S01_2-9-3_dealership_N,S01,2-9-3,2,9,3,dealership,N
S01_2-10-2_willfully_O,S01,2-10-2,2,10,2,willfully,O
S01_2-10-3_wheelbarrow_N,S01,2-10-3,2,10,3,wheelbarrow,N
S01_3-1-2_federals_O,S01,3-1-2,3,1,2,federals,O
