e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
192.9,240.6,241.7,252.5,31.5,26,24.3,23.3,22.2,22.5,25.5,26.9,26,26.8,38.2,31.8,22.3,26,20.2,22.6
227.8,141.8,177.8,44.6,13,12.4,9.7,9.7,11.3,12.7,12.3,13,15.7,17.4,19.1,17.6,14.8,16.7,23.3,37.5
39.5,114,67.5,43.2,27.1,21.5,16.2,13,12.3,12.4,14.1,16,22,29.5,18.7,12.6,15.2,28.6,306.9,37
14.2,11.8,11,12.6,12.4,13.7,13.1,13.3,13.4,14.8,14.8,15.7,14.4,11.9,11,11.6,13.3,19.6,777.5,368.3
94.6,63.8,26.6,21.8,24.6,26.7,28.4,33.6,37.4,39.1,41.9,41.9,47.3,53.5,60.7,64.5,88.6,100,113.2,369.6
13.7,13,13.1,12.9,14.5,18.9,23.1,27.2,33.3,42,46.7,50.5,41.3,47.9,37.3,52.2,83.1,71.9,46.5,57.1
83.1,50.3,32.5,24.3,23.9,21.7,21.3,20.7,20.1,19.6,19.1,18.3,16.4,14.2,16,20.1,27.2,25.2,71.2,186.9
186.1,101.2,153.9,32.7,28.9,27.9,27.7,23.5,25.1,26.2,32.2,36.1,47.2,43.2,50.8,62.4,66.5,54.1,127.4,121.7
71.7,173.4,236.5,33.7,30.1,28.3,27.2,30.7,32.6,33.1,36.9,38.5,46,47.3,46.3,34.2,32.5,53.5,116.9,118.1
374.4,123.2,213.9,17.1,12.1,11.4,12.6,14.6,16.1,16.8,17.5,18.6,21.4,24,19.9,18.8,19.5,25.3,53.3,101.1
334.9,211.4,267.2,107.1,90.9,155.1,149.6,151.9,166.2,186.3,162.4,103.9,106.7,272.1,148.3,303.9,292.1,120.4,247,321.5
60.4,48.6,36.3,32.8,30.3,30.2,30.3,31,29.5,27.5,26.8,25.7,25.4,25.8,27.9,24.5,22.6,26.7,48.6,54.2
109.9,392.1,77,20.2,21.9,23,23.8,26,27.9,28.1,33.4,29.3,46.1,33.6,25,26.8,42.7,270.8,287.7,65.2
48.4,57.4,462.7,197.3,246.8,142.4,29.4,26.2,23.1,22.8,27.1,29.6,27.4,27.1,37.6,32.3,32.4,33.7,34,36
138.6,77.5,54.8,58.9,65.9,72.5,79,78.9,77.1,68.7,59.7,55.3,52.3,49.2,44.2,56.3,369.8,301,32.5,28.1
84.9,8.8,7.7,8.3,6.9,6.9,7.7,9.8,10.6,10.5,9.5,10,7.2,9.2,7.8,10.2,11.9,30.8,75.8,672.2
