a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
1739.8,1814,1842.4,1908.1,1959.5,1962.7,1965.2,1967.1,1966.3,1966,1966,1967.1,1970.5,1975.6,1975,1976.8,1978.8,1985.2,1999.9,2022.2
1654.9,1804.8,2063.6,2106.8,2107.8,2110.8,2115.3,2117.2,2117.5,2119.6,2124.2,2129.9,2135.4,2131.6,2125.7,2126.9,2137,2158.1,2190.8,2236.7
1743.4,1746.7,1749.8,1756.1,1764.2,1773.1,1782.6,1792.6,1803,1813.5,1820.4,1829.3,1816.1,1810.1,1801.1,1808.8,1827.8,1860.1,1795.1,2118.8
1878.2,1877.9,1883.3,1885.4,1894.1,1898,1909.8,1916.3,1926.3,1941,1948.2,1960.8,1958.8,1949.8,1957.4,1956.4,1974.3,2001.3,2118.4,2271.4
1732.3,1745.8,1762.1,1774.4,1787.5,1797.5,1804.8,1813.4,1820.9,1827.6,1838,1842.6,1850.5,1865.2,1876.8,1888.5,1904.6,1922.6,1936.4,2102.1
2053.2,2054.2,2062.7,2074.1,2082.1,2086.3,2092.8,2095.2,2095.1,2102.4,2116.5,2128.6,2137.9,2152,2174.6,2196.7,2233.1,2279.4,2343.4,2390.4
1644.1,1644.4,1644.9,1646.7,1648.5,1652.5,1654.9,1657.5,1660.5,1663.6,1663.7,1666,1663.3,1662.7,1665.8,1672.8,1678.2,1680.4,1672.1,1710.8
1686.8,1725.3,1733.7,1737.3,1742.8,1747.9,1750.9,1751.8,1751.6,1753.4,1750.6,1750.5,1741.1,1745.7,1761.9,1789.8,1823.1,1848.1,1868.9,1883.4
1653.2,1781.5,1825.5,1861.4,1871.3,1880.8,1886.6,1884.1,1880.5,1880,1881.8,1889.4,1892.6,1897,1898,1896.6,1916.2,1983.4,2132.1,2239.3
1799.3,2018.3,2066.2,2103.5,2107.6,2113.7,2120.1,2125.9,2131.1,2135.4,2138.2,2143.4,2143.1,2141.3,2135.9,2130.5,2135.9,2154.8,2203.4,2253.3
1883.8,1981.4,1973.2,2033.1,2044.6,2058.4,2063.8,2072.6,2079.6,2087.4,2098.9,2103.9,2096.2,2121,2053.7,2092.2,2114.8,2156.7,2293.9,2423.6
2160.7,2165.7,2172.7,2174,2176.3,2179.9,2183.8,2188.3,2193.5,2199.2,2204.6,2210.4,2210.1,2205.5,2196.7,2193.7,2205.9,2235.2,2279,2320.8
1538.5,1835.8,1981.4,1986.5,1994.8,2004.2,2014,2020.4,2027.3,2034.9,2039,2043.5,2022.8,2002,2006.2,2021.7,2080.3,2217.6,2354.5,2427.8
1177.9,1134.1,1429.4,1945.2,2074.7,2162.7,2193.9,2198.2,2201.1,2202.2,2200.7,2200.3,2198.4,2193.4,2184.9,2182.1,2189.6,2207,2240.1,2284.4
1522.9,1659.7,1773.8,1836.3,1865.5,1886.2,1890.9,1876.7,1868.8,1869.5,1880.1,1887,1889.9,1896.1,1920.6,1962.1,2065.5,2184.3,2439.9,2453.7
1930.8,2050.7,2054,2061.7,2067.9,2074.2,2077.7,2081.1,2083.9,2092,2101,2110.7,2106.2,2116.2,2121.8,2140.7,2173.2,2238.7,2319.2,2414.2
1502,1700.7,1905.8,2017.6,2019,2027.4,2038.4,2043.1,2046.1,2054.7,2069.2,2079.5,2080.8,2083.9,2079.9,2073.1,2054.1,2082.5,2148.8,2218.1
1545.6,1657.1,1813.8,2031.4,2074.2,2084.7,2093.7,2102,2109,2113.3,2112.7,2115.5,2115.1,2090.6,2075.9,2077.2,2103.2,2175.5,2300.1,2378.2
1788.1,2026.4,2136.4,2188,2205.8,2218.3,2217.1,2217.7,2224,2224.5,2222.7,2232.1,2245.6,2258.7,2267.4,2282.5,2453.6,2545.4,2586.7,2631.8
1614.8,1631.9,1673.4,1680.4,1685.8,1688.6,1694.4,1698.8,1699.7,1701,1706.5,1711.4,1712.1,1718.9,1734.4,1752.2,1778.5,1833.9,2187.5,2256.6
1614,1902.2,2186.5,2205.6,2214.7,2229.5,2233.1,2240,2241.4,2246.2,2253.7,2257.1,2253.8,2255.3,2257.7,2279,2317.9,2353.3,2429.8,2401.6
1729.8,1742.9,1785.4,1800.2,1807.9,1816.3,1818.3,1828.2,1834.2,1837.5,1843.7,1848.7,1840.9,1838.1,1849.2,1866.4,1895.5,1946.3,2011.4,2059.4
1609.3,1762.3,1996.7,2111.9,2129,2151.7,2158.8,2158.7,2164.8,2178.8,2205.1,2238.5,2267.2,2280.4,2295.1,2322.8,2474,2545.4,2540.2,2541.1
1688.2,1767.6,1787.2,1797.8,1807.2,1833.9,1822,1830.3,1839.7,1844.3,1873.1,1897.6,1906.5,1930.1,1938.2,1964.1,2019.8,2109.2,2226.1,2267.2
