filename,speaker,item_code,variableN,rowN,variantN,word,variant
S01_1-1-1_dental_M,S01,1-1-1,1,1,1,dental,M
S01_1-1-3_dental_N,S01,1-1-3,1,1,3,dental,N
S01_1-2-1_friendless_M,S01,1-2-1,1,2,1,friendless,M
S01_1-2-3_friendless_N,S01,1-2-3,1,2,3,friendless,N
S01_1-3-1_gemstone_M,S01,1-3-1,1,3,1,gemstone,M
S01_1-3-3_gemstone_N,S01,1-3-3,1,3,3,gemstone,N
S01_1-4-1_lemon_M,S01,1-4-1,1,4,1,lemon,M
S01_1-4-3_lemon_N,S01,1-4-3,1,4,3,lemon,N
S01_1-5-1_spenders_M,S01,1-5-1,1,5,1,spenders,M
S01_1-5-3_spenders_N,S01,1-5-3,1,5,3,spenders,N
S01_1-6-1_tendons_M,S01,1-6-1,1,6,1,tendons,M
S01_1-6-3_tendons_N,S01,1-6-3,1,6,3,tendons,N
S01_1-7-1_venture_M,S01,1-7-1,1,7,1,venture,M
S01_1-7-3_venture_N,S01,1-7-3,1,7,3,venture,N
S01_1-8-1_generates_M,S01,1-8-1,1,8,1,generates,M
S01_1-8-3_generates_N,S01,1-8-3,1,8,3,generates,N
S01_1-9-1_sentiments_M,S01,1-9-1,1,9,1,sentiments,M
S01_1-9-3_sentiments_N,S01,1-9-3,1,9,3,sentiments,N
S01_1-10-1_ventilates_M,S01,1-10-1,1,10,1,ventilates,M
S01_1-10-3_ventilates_N,S01,1-10-3,1,10,3,ventilates,N
S01_2-1-1_fieldwork_M,S01,2-1-1,2,1,1,fieldwork,M
S01_2-1-3_fieldwork_N,S01,2-1-3,2,1,3,fieldwork,N
S01_2-2-1_ceiling_M,S01,2-2-1,2,2,1,ceiling,M
S01_2-2-3_ceiling_N,S01,2-2-3,2,2,3,ceiling,N
S01_2-3-1_healers_M,S01,2-3-1,2,3,1,healers,M
S01_2-3-3_healers_N,S01,2-3-3,2,3,3,healers,N
S01_2-4-1_mealtime_M,S01,2-4-1,2,4,1,mealtime,M
S01_2-4-3_mealtime_N,S01,2-4-3,2,4,3,mealtime,N
S01_2-5-1_peeling_M,S01,2-5-1,2,5,1,peeling,M
S01_2-5-3_peeling_N,S01,2-5-3,2,5,3,peeling,N
S01_2-6-1_wheelchair_M,S01,2-6-1,2,6,1,wheelchair,M
S01_2-6-3_wheelchair_N,S01,2-6-3,2,6,3,wheelchair,N
S01_2-7-1_wielding_M,S01,2-7-1,2,7,1,wielding,M
S01_2-7-3_wielding_N,S01,2-7-3,2,7,3,wielding,N
S01_2-8-1_steelworks_M,S01,2-8-1,2,8,1,steelworks,M
S01_2-8-3_steelworks_N,S01,2-8-3,2,8,3,steelworks,N
S01_2-9-1_dealership_M,S01,2-9-1,2,9,1,dealership,M
S01_2-9-3_dealership_N,S01,2-9-3,2,9,3,dealership,N
S01_2-10-1_wheelbarrow_M,S01,2-10-1,2,10,1,wheelbarrow,M
S01_2-10-3_wheelbarrow_N,S01,2-10-3,2,10,3,wheelbarrow,N
S01_3-1-1_featherweight_M,S01,3-1-1,3,1,1,featherweight,M
S01_3-1-3_featherweight_N,S01,3-1-3,3,1,3,featherweight,N
S01_3-2-1_leathery_M,S01,3-2-1,3,2,1,leathery,M
S01_3-2-3_leathery_N,S01,3-2-3,3,2,3,leathery,N
S01_3-3-1_mothership_M,S01,3-3-1,3,3,1,mothership,M
S01_3-3-3_mothership_N,S01,3-3-3,3,3,3,mothership,N
S01_3-4-1_worthiest_M,S01,3-4-1,3,4,1,worthiest,M
S01_3-4-3_worthiest_N,S01,3-4-3,3,4,3,worthiest,N
S01_3-5-1_otherness_M,S01,3-5-1,3,5,1,otherness,M
S01_3-5-3_otherness_N,S01,3-5-3,3,5,3,otherness,N
S01_3-6-1_heathers_M,S01,3-6-1,3,6,1,heathers,M
S01_3-6-3_heathers_N,S01,3-6-3,3,6,3,heathers,N
S01_3-7-1_lathers_M,S01,3-7-1,3,7,1,lathers,M
S01_3-7-3_lathers_N,S01,3-7-3,3,7,3,lathers,N
S01_3-8-1_othered_M,S01,3-8-1,3,8,1,othered,M
S01_3-8-3_othered_N,S01,3-8-3,3,8,3,othered,N
S01_3-9-1_fathered_M,S01,3-9-1,3,9,1,fathered,M
S01_3-9-3_fathered_N,S01,3-9-3,3,9,3,fathered,N
S01_3-10-1_weathered_M,S01,3-10-1,3,10,1,weathered,M
S01_3-10-3_weathered_N,S01,3-10-3,3,10,3,weathered,N
S01_4-1-1_coding_M,S01,4-1-1,4,1,1,coding,M
S01_4-1-3_coding_N,S01,4-1-3,4,1,3,coding,N
S01_4-2-1_goaded_M,S01,4-2-1,4,2,1,goaded,M
S01_4-2-3_goaded_N,S01,4-2-3,4,2,3,goaded,N
S01_4-3-1_hoses_M,S01,4-3-1,4,3,1,hoses,M
S01_4-3-3_hoses_N,S01,4-3-3,4,3,3,hoses,N
S01_4-4-1_modem_M,S01,4-4-1,4,4,1,modem,M
S01_4-4-3_modem_N,S01,4-4-3,4,4,3,modem,N
S01_4-5-1_posers_M,S01,4-5-1,4,5,1,posers,M
S01_4-5-3_posers_N,S01,4-5-3,4,5,3,posers,N
S01_4-6-1_robot_M,S01,4-6-1,4,6,1,robot,M
S01_4-6-3_robot_N,S01,4-6-3,4,6,3,robot,N
S01_4-7-1_sojourn_M,S01,4-7-1,4,7,1,sojourn,M
S01_4-7-3_sojourn_N,S01,4-7-3,4,7,3,sojourn,N
S01_4-8-1_soda_M,S01,4-8-1,4,8,1,soda,M
S01_4-8-3_soda_N,S01,4-8-3,4,8,3,soda,N
S01_4-9-1_podium_M,S01,4-9-1,4,9,1,podium,M
S01_4-9-3_podium_N,S01,4-9-3,4,9,3,podium,N
S01_4-10-1_soberness_M,S01,4-10-1,4,10,1,soberness,M
S01_4-10-3_soberness_N,S01,4-10-3,4,10,3,soberness,N
S01_5-1-1_kudo_M,S01,5-1-1,5,1,1,kudo,M
S01_5-1-3_kudo_N,S01,5-1-3,5,1,3,kudo,N
S01_5-2-1_moody_M,S01,5-2-1,5,2,1,moody,M
S01_5-2-3_moody_N,S01,5-2-3,5,2,3,moody,N
S01_5-3-1_noodle_M,S01,5-3-1,5,3,1,noodle,M
S01_5-3-3_noodle_N,S01,5-3-3,5,3,3,noodle,N
S01_5-4-1_rudeness_M,S01,5-4-1,5,4,1,rudeness,M
S01_5-4-3_rudeness_N,S01,5-4-3,5,4,3,rudeness,N
S01_5-5-1_brooding_M,S01,5-5-1,5,5,1,brooding,M
S01_5-5-3_brooding_N,S01,5-5-3,5,5,3,brooding,N
S01_5-6-1_prudish_M,S01,5-6-1,5,6,1,prudish,M
