a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
2049.7,2144.3,2357.8,2623.5,2605.9,2515.6,2562.1,2629,2840,2984.5,3065.9,3069.8,3090.8,3102.2,3103.9,3114.5,3132.1,3148.5,3163.3,3177.1
3021.3,3103.1,3126.4,3083,2740.4,2768.6,3129.9,3155.4,3161.6,3169,3172,3164.6,3165.2,3177,3195.8,3220,3253.7,3325.9,3611.9,3921
2431.4,2475.4,2510.1,2543.4,2565.8,2590.5,2600.6,2606,2614.6,2628.4,2635.1,2642,2669.3,2700.8,2761.3,3299,3383.7,3420.2,3430.7,3370.4
2605.6,2608.8,2632.1,2629.6,2640.3,2656.7,2684.7,2685.4,2707.6,2724.6,2737.9,2785.7,2852.7,2907.8,2934.1,3123.7,3253.7,3304.2,3329.6,3387.2
2845.8,2827.7,2816.7,2824.3,2834.1,2848.5,2863.6,2853.8,2854.4,2856,2868.1,2891.4,2937.2,2980.9,3016.6,3038.2,3049,3063.5,3082.1,3108.6
2876.5,2885.9,2898,2903.9,2889.9,2878,2889.1,2919,2956.8,2995.6,3023.2,3046.1,3064.9,3148.6,3160.6,3251.5,3368.1,3500.4,3593.2,3789.5
2985.2,3030.9,3051.3,3101.4,3120,2961.6,3030.2,3137,3183,3182.1,3193.2,3199.3,3206.2,3208.8,3214,3222.4,3237.7,3257.4,3282.9,3353.4
3001.8,2985,2995.6,2995.1,3035,3040.4,3060.3,3080.4,3093.5,3098.8,3103.8,3111.5,3128.4,3154,3189,3247.6,3491.3,3794.3,3655.4,3676.1
2973.4,2954.8,2917,2923.4,2948,2970.6,2984.1,2977.1,2972.5,2980.6,2995.7,3012.8,3027.7,3035.1,3039.4,3049.1,3064.8,3083.7,3103,3128.5
2883.3,2641.6,2438.4,2625.8,3043.2,3047.2,3049.2,3053.6,3054.8,3054.3,3052.1,3052.2,3060.6,3074.4,3095.8,3124.3,3288.5,3631.8,3728.4,3821.9
2466.5,2614.4,2861.9,3046.9,3143.5,3175.9,3194.1,3224,3228.7,3140.8,3130.5,3214.9,3280.1,3300.4,3329.7,3356.6,3372.5,3377.6,3375.2,3375
3141.9,3175,3179.5,3178,3195.3,3216,3236.8,3252.9,3239.5,3208,3228.3,3267.1,3271.3,3286.2,3299.1,3304.9,3302.1,3301,3305.2,3314
2926.9,2985.7,2987.8,2985.5,2990.6,2994.5,3001.8,2999.2,3004.7,3018.4,3038.7,3059.9,3076.8,3085,3092.2,3105.9,3127.7,3175.1,3263.4,3315.2
