a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
1887.5,1890.7,1913.2,1911,1899.8,1915.6,1915.2,1915,1916.5,1918.5,1921.6,1925.1,1925.3,1928.1,1930.5,1934.6,1940.6,1945.8,1950.2,1954.4
2223.4,2222,2223.6,2231,2150.8,2233.5,2234.5,2241,2247.8,2252.2,2250.8,2247.3,2247.3,2252.5,2261.3,2275,2292.7,2345.3,2659.2,2871.9
1780.9,1783.3,1787.2,1793.4,1800.7,1807.9,1812.5,1812.5,1818.4,1827.1,1834.1,1844.3,1862.7,1897.4,1955.6,2003.8,2023.1,2031.8,2033.1,2026.2
1878.9,1881.7,1885.3,1883.9,1884.5,1891.2,1890.7,1890.4,1893.2,1898.8,1908.3,1928.5,1954.4,1974.5,1980.4,1995.1,2002.4,2005.9,2007.8,2010.7
1850.7,1851.9,1854.8,1859.3,1862.2,1862.3,1852.4,1845.9,1847.3,1850.7,1860.9,1872.4,1892.7,1914.8,1934.9,1949.9,1961,1971.7,1986.4,2003.3
2072.6,2076.9,2081,2074.5,2058.9,2055.9,2065.8,2084.1,2110.2,2140.4,2161.5,2180.1,2192.5,2276.8,2292,2394.1,2530.4,2649.5,2733.3,3011.1
1779.5,1782.2,1788.2,1788.2,1785.4,1772.9,1773.1,1779.7,1794.6,1803.7,1815.9,1820.1,1827.6,1828.1,1830.9,1835,1844.2,1845.8,1848.5,1948.4
1926.5,1933.2,1937.1,1932.7,1925,1920.6,1930.6,1938.3,1938.7,1940.7,1947.9,1951.8,1954.6,1965,1983.8,2002.6,2519.7,3176.4,2775,2812.4
1930.4,1931.1,1934.9,1939.1,1939.6,1933.7,1924.8,1924.3,1931.2,1946.5,1964.5,1981.3,1994.8,2000.4,2003.5,2011.1,2024.3,2040.1,2057.4,2098.3
2136.9,2062.4,1945.7,2147.6,2170.4,2173.5,2175.8,2176.4,2176.1,2175.2,2172.6,2173,2178.3,2186.9,2200.2,2217.5,2394.8,2836.5,2855.6,2968.3
2073.7,2035.1,2101.4,2114.6,2113,2114.4,2117.2,2122,2121.4,2119.5,2113.4,2114,2114.3,2119.8,2134.1,2150.9,2160,2164.6,2163.1,2166
2207.3,2233.1,2229.4,2232.6,2241.6,2249.2,2255.2,2257.4,2256,2249.7,2246.5,2249.1,2258.9,2279.6,2297.3,2304.8,2299.6,2299.1,2302.8,2311.9
