e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
53.4,59.9,38.4,39.9,111.5,72.8,73.8,62.1,60.9,63,23.7,42.5,19.8,17.7,15.4,13.5,13.4,13.5,14.1,14.9
18.7,31,12.1,19.4,262.4,72.9,33.2,9.4,8.7,7.8,6.9,7.4,7,8.1,9.2,10.3,13.2,259.6,302.8,987.1
61.1,52.8,32,22.2,22.8,22.1,22.7,24,23.4,22.2,20.5,22,24.5,26.1,47.7,35.7,33.1,34.2,32.1,52.8
95,76.5,77.8,146.5,143.8,113.7,75.5,79,47.2,30.2,36,39.7,46.7,57,94.3,240,178.2,173.3,188.6,189.8
33.9,32.1,35,34.6,41.4,47.4,47,49.1,47.3,40.1,37.5,30.3,24.6,25.1,30.1,34.8,38.9,38.6,38.9,40.4
7.2,7.2,7.5,8.9,7.9,7.8,6,6.1,6.6,7.8,9.6,9.8,12,340.7,323.3,293.6,304.9,330.9,298.2,16.3
44.3,43.5,34.8,36.6,69.8,72.1,55.7,40.3,34,34.4,28.6,30.9,26.7,28.4,28.1,27.4,25.7,33.4,48.3,262.9
28.3,23.9,22.2,89.5,37.1,32.8,23.2,19.8,22.8,23.4,25.2,27.3,30.7,33,31.9,34.7,558.6,365,187.7,134.1
33.3,24.2,19.6,19.1,20.8,35.8,28.7,25.6,21.5,22.3,25.6,24,20.3,21,24.3,25.5,27.9,31.7,37.9,165.9
163.3,166.5,236.5,137.1,20.9,10.5,13.2,11.1,10.6,11,12.2,12.5,12.9,14.9,18.8,29.1,746.4,365,574.8,479.1
199.6,245.1,130.1,83.1,57.5,43.2,36,41.5,55.9,64.4,71.1,82.3,66,55.6,46.5,40.3,39,42.7,43.8,45
190.6,31.1,29.2,22.9,20,20.4,16.5,16.5,55.3,38.2,31.9,15.7,15.1,14.5,15.6,16.5,17.1,16.7,16.5,16.9
24.4,24.1,8.4,9.1,9.4,8.9,8.2,9,9,10.4,11.5,12.3,13.3,14.1,13.3,13.9,18.6,181.4,306.3,256.8
11.8,10,10.5,11,11.9,12.1,11.4,10.8,12.9,15.9,23.3,30.9,39.7,45.8,46.9,46.3,53.2,69.9,225.4,922.4
12.1,9.3,8.9,9.8,10.4,10.6,12.3,10,11.6,11.1,12.1,14.2,17.6,19.3,17.2,16.4,16.6,20.8,29.7,291.6
5.6,6,6.2,6.2,8.1,11,7.2,6.6,7.3,8.2,7.3,6.5,6.9,8,8.9,10.6,298.2,322,289.8,333.4
62.1,69.1,60.7,46.8,33.7,22.3,35.4,28.3,22.6,30.5,44,57.5,46.9,30.6,13.2,11.5,13.4,16.2,31.9,353.9
243.4,31.3,25,22.3,228.5,127,105.7,72.6,51.9,23.8,30.4,35.4,37.5,34.3,26.3,17.5,20.6,73.5,657,332.5
58.4,49.9,55,13.7,12.3,11.8,11.6,10.7,11.9,16.8,13.3,11.1,11,11.8,12.9,13.9,16.2,23.5,32.9,175.1
221.7,17.9,18.9,17.1,15,13,14,14.9,32.7,24.2,17.2,26,26,25.7,24.8,230,278.6,299.8,307,289.7
52.1,39.3,41.2,37.5,38.1,39.2,144.8,147.3,145.2,243,141.5,238.8,314.9,245.3,362.5,580.9,1021,1073.4,220.3,258.1
16.3,10.2,13,10.5,11.1,12.1,11.9,9.3,9.4,12.3,16.8,19.3,25.3,44.9,247.7,151.4,823,660.3,72.4,60.1
197.3,259.7,170.4,165.5,157.6,63,50.8,48.9,48.3,48.5,54.7,180.4,284.1,364.2,423.8,594.1,581.8,472.8,627.4,1078.5
54.9,24,24.4,50.3,45.4,29.1,22,21.8,24,25.1,25.1,24.7,24.6,26.3,29.5,34.5,52,268.4,534.7,602.1
126.3,121.7,167.9,91.2,70.9,50.4,30.3,28,26.3,25.5,27.2,28.3,28.8,32.6,44.3,301.4,337.9,310.1,797.5,391.2
199.5,49.3,35.3,36.4,38.8,54.7,61,59.1,45,48.6,45.5,46.4,183.3,390.2,402.9,403,663.9,626.6,631.8,553.2
198.2,225.6,716,310.1,225,166.6,166.6,167.3,118.3,165.1,214.4,86.8,117.5,100.5,72.7,46.5,46.3,71.7,709.9,460.5
40.7,37.2,101.2,98.8,73.1,39.1,34.7,33.2,36.1,35.9,32.3,32.2,33.8,35.6,35.3,45.9,179.9,693.7,331.6,314.2
93.1,140.8,153,109,45.5,32.6,157.1,32.8,30.1,32.8,276.9,279.1,285.7,372.8,374.6,371.2,416.7,430.9,958,764.4
212.2,27.9,29.3,41.9,83.1,38.6,36.2,36.5,39.6,40.7,40.8,42.7,46.1,50.2,54.2,64.8,80.7,271,799.6,458.1
80.8,108.5,97,73.9,71.4,73,74.8,73,74.1,84,91.9,105.2,119.5,120.7,189.6,692.1,334.4,703.5,748.1,946.8
116.1,74.6,32.8,42.2,32.3,22.3,19.5,21.2,22.3,20.3,18.8,21.5,238.7,254.3,267.9,269.5,176.6,94.4,286.7,296.4
62.4,125.4,107,34.8,31.8,35.9,38.4,40.4,43.3,50.6,57.7,62,59.3,71,88.8,110.5,346.6,576.9,444.2,556.1
13.4,17.1,16.6,18.7,16.5,13.5,12.9,12.9,13.4,15.6,21.8,38.4,94.6,249.2,38.4,55.2,1326,165.4,236.4,121.4
24.9,25,25.4,27.4,26.3,28.3,33.2,30,25.2,22.5,22.3,24.4,27.4,31.2,38.8,45.3,223.5,826.5,555.7,60.8
49.1,28,11.5,9.2,10.5,8.7,7.8,7.2,7,7.7,9.9,11.3,264.6,345.9,344.1,404.3,519.2,37.8,31.9,37.8
99.7,94.9,65.7,50.7,40,35.1,36.7,38.5,48.1,291.6,293.2,379.4,433.3,456.5,583.8,642.1,507.5,541,673.9,864.5
27.1,24.8,23.3,21.9,21.9,22.2,22.4,21.5,19.7,20,22.7,26.4,34.4,65.7,663.3,650.2,819.2,892,31.4,24
51.1,57.6,93.4,37.9,34.4,38.6,46.2,48.3,50,51.7,54.6,58.2,63.9,70.3,85.1,552.6,811,534.6,541.7,589.5
20.7,20.9,22.3,20.5,19.8,20.1,21.2,22.8,22.9,25.9,30.4,35.8,44.9,60.4,709.4,377.7,538.6,118.6,74.6,65.6
76.2,29.3,28.2,26.8,27.2,28,29.7,29.7,31.5,34.7,46.8,58.4,71.2,75.3,73,307.4,329.5,397.1,563.6,335
28.9,31.5,30,28.8,28,30.6,33.2,32.6,41.9,48.9,88,130.4,1208,1162.1,1125.8,475,153.8,83.7,68.1,75.1
36.8,35.4,35.3,35.7,41.5,36.4,34.3,34.7,34.6,36,38.5,40.7,41.9,44.3,47.3,54.2,286,1030.6,601.2,570.1
33.8,31.7,32.8,32.1,34.3,36.2,40.8,43.7,47.9,66,309,299.1,550,704.4,793.5,96.7,87.2,77.8,76.6,110.9
195.2,38.2,19.8,18.4,18.9,18.8,20.3,20.9,23,25.9,28.8,37.1,58.8,750.5,316.2,353.4,291.1,363.2,244.2,281.2
45.3,40.6,41.6,36.8,34.1,33.4,34.9,37.9,41.8,59.8,396.8,661.9,524.9,1020.9,806.9,363.5,269.4,188.2,255.2,299
39.5,42.6,41.8,45.1,40.9,38.1,39.1,39.8,41.3,44.8,49.3,60.7,230.9,245.6,272.1,296.9,358.9,435.9,869.7,160.2
40.9,40.4,38.4,37.6,40.7,43.2,46.2,39.2,52.8,86.5,596.2,739.3,627.6,286,175.2,116.5,110.6,113.1,126,130.8
18.2,17.4,17,17.8,22.4,24.4,22.1,18.6,23.3,29.6,44.9,424,529.4,389.4,324.5,383.6,652.3,466,478.8,64.9
33,35,35.4,33.1,31.4,32,37.9,51.3,69,96.9,809.2,857.7,892.7,1458.9,99.6,106.7,102.3,93.3,87.4,97.2
23.7,23.6,23.6,22.1,22.5,21.3,21.2,22.7,26.1,32.4,41.5,48.9,52.7,52.5,55.6,74.1,315.2,407.3,265.8,283.6
30.1,30,28.6,26.7,23.7,28,35.8,51.7,80,673.7,1450,735.9,380.6,96.3,211,278.1,424.2,215.7,201.6,166.9
46.2,44.4,45.8,45.3,43.9,43.8,43.4,44.1,41.9,38.2,35.2,35.4,38.4,38.8,38,545.7,522.4,559.7,499.1,481.4
118.1,136.6,143.4,128.5,132.9,135.3,135,131.9,129,399.7,499.2,633.4,631.3,508.5,615.2,465.7,259.2,187.3,153.7,157.4
37.8,34.4,33.9,34,31.7,31.8,30.1,26.4,25.1,24.3,30,35.9,39.3,35,29.5,27.6,34,103.4,171.7,421.5
39.9,39,38.7,37.8,38.2,36.8,37.6,38.3,75.6,111.4,376.9,772.1,954.1,855.4,795.1,478,124.7,110.1,105.8,116.7
39.3,38.8,40.5,40.3,38,39,43.2,45.5,43.2,42,57.3,699.5,437.7,477.1,626.6,467.6,388.5,437.1,377.1,467.1
35.7,29.7,26.6,33.3,40.5,46.7,56,668.1,547.6,299.4,518.2,551.8,452,308.2,97.5,91.6,81.2,82.7,116.5,160.9
51.8,30.5,28.7,24.5,25.2,23.7,25.9,30.9,32.9,42.8,61.7,330,622.8,511.1,546.6,546.3,547,769.2,944,193.2
156,59.6,58.1,53.3,49.6,48.6,52.7,69.5,122.5,671,907.1,817.7,496.4,578.4,352.6,367,104.6,103.5,114.9,139.9
30,29.3,29.1,28.2,27.6,29.4,36,48.9,91,65.1,160.6,651.4,959.4,535.7,726.3,351.9,144.6,122.8,122.4,126.2
45.8,41.8,52.9,47.9,45.5,157.7,168.9,172.5,52.5,63,184.5,187.3,194.7,200,336.5,339.7,405.1,743.6,742.7,683.1
51,51.4,52,52.3,51.4,51.4,53.7,49.1,48,168.2,399,785.9,764.4,518.3,226.7,161.9,141.2,152.3,152,158.6
74.9,23.4,32.4,24.5,26,23.9,26.1,25.9,28.4,37.2,45.2,53.6,57.2,55.8,55.8,60.9,163.1,898,1351.1,969.1
32.9,34.3,33.4,33.7,28,28.6,30.8,34.6,60.1,245.5,210.8,255.6,296.5,405.1,522.1,528.4,388.4,182.8,202.1,474.6
322.2,70.1,65.8,71.2,61.2,55.8,59.2,74.8,78.7,49.9,51.6,47.9,59.6,60.9,57,53.7,47.8,60.5,690.7,992.1
190.6,232.6,263.8,282.4,181.4,242.4,200.8,138.6,154.6,207.6,191.8,234.2,260.1,249.2,268.1,233.6,198.1,197.4,186.2,506.7
66.9,63.2,57.2,59.4,67,67.8,65,63.3,63.4,64.9,74.9,84.5,94.2,109.2,139,133,346.1,1011.4,926.9,1547.4
30.1,32.6,30.4,29.6,28.8,31.1,107.3,103.1,121.1,117.8,116.2,95.7,77.1,59.5,60.1,107.2,178.6,272.5,126.6,121.8
54.7,37,49.8,47,50.1,43.4,38.7,35.4,35,39.2,41.1,43.9,43.4,38.3,38.6,49.5,68.8,109.5,616.4,1281.5
37.6,37.7,39.1,36.8,34.5,35,38.2,43.6,209.1,136.4,138.5,304.4,456.7,361.4,482.1,568.4,707.6,680.9,646.3,769.5
43.4,45.2,43.6,43.2,42.8,42.2,48.5,48.1,59.1,65.8,69.5,66.2,61.6,68.9,85.1,334.3,704.9,774.1,460.5,443.6
61.9,58.2,61.9,67.3,66.5,247.9,338.2,429.9,455.4,413.4,315.2,323.8,375.1,598.3,390.1,397.1,341.4,664.4,682.1,524.2
229.3,274.8,179.6,151.3,244.9,232.7,317,324.1,365.5,384.9,411.1,493.4,544.7,528.9,519.6,517.3,447,894.4,988.1,364.8
26.4,22.2,18.7,19.2,22.7,19.9,22.3,27.8,124,170.2,288.9,237.6,349.1,381.2,409.9,279.2,362.3,241,241,450.5
138.9,93.2,71.5,82.9,64.1,59.6,55.6,51.8,53.1,56,61.3,63.7,64.9,68.1,237.6,381.7,568,641.9,466,408.2
16.8,17.5,19.2,20.7,23.4,22.5,24.6,32,55.4,290.3,263.6,564.6,900.6,516.9,452.3,621.8,647.3,288.8,193.7,91.9
165.3,116.4,65.6,38.1,41.4,40.2,37.1,35.5,48.6,74.1,417.8,492.4,472.6,388.4,543.1,599.9,1001.6,376.8,341.7,223.5
43.9,107.6,101.4,113.9,98.4,110.8,59.8,81,209.6,673.8,280,495.4,418.6,863.4,631.6,659.9,541.5,576,762.1,839.3
196.2,151,65.7,76.7,73.1,83.8,165.5,333.7,325.2,396.9,400.2,409.2,462.4,495.7,405.5,898.2,320.9,446.9,381.7,441.6
92.2,84,78.8,62.2,56.1,48.7,47.4,196.5,236.8,244.8,188.3,55.2,40.8,42.5,49.1,61.4,83.7,98.2,54.1,47.2
197.3,222.5,676.6,350,127.6,109.2,134.4,157.1,122.6,63.1,182.4,246.8,292.5,62.3,69.1,67.2,57.1,50.6,51.4,62
50.7,55.8,46.5,106.1,54.8,37.2,54.5,60.1,34.3,24.7,16.6,14.4,14.9,15.7,17.3,17.4,19.1,21.5,24.5,28.1
310.3,262.7,105.5,79.5,99.4,142.4,141.1,85,66.9,51.4,56.7,67.6,62.1,55,46.1,44.1,54.8,64.8,69,76.8
32.1,32.2,27.9,27.3,33,34.5,34.3,34.4,34.3,25.4,28.6,33.6,38.2,39.7,46.6,47.6,44.2,50.8,51.1,58.6
219.9,206.4,377.9,49.3,184.8,53.6,203,120.4,63,52.8,46.8,41.2,39.8,36.8,38.8,40.6,39.6,45,48.5,70.8
40.8,34.1,33.5,33,34,40.1,46.6,40.7,45.6,34,38.4,46.1,43.7,37.1,34.6,27.3,24.8,21,24.9,25.8
285.3,73.9,60.8,54.9,53.7,55,102.6,115.9,86.3,46.1,45.2,44.3,43.7,41,38.2,40.8,43.1,49,58.1,68.2
44.1,37.7,52.1,37.3,21.2,16.6,18.2,18.2,25.2,31.5,25.2,27.3,22.9,22.1,21,17.6,17.7,18.3,18.2,19.6
235.8,371.2,190.1,33,177.3,138.2,43.9,33.3,33.9,32.9,25.2,28.6,27.5,25.1,24.6,30.4,32.9,30.7,30.1,31.6
108.1,69,39.4,32.7,67.9,87.2,46.5,57.4,50.1,64.9,56.6,24.8,24.1,27,28.5,28,29,29.5,29.9,31.1
565.9,90.3,89.6,94.7,119.1,109.5,95,77,67.4,66.2,63.5,59.6,55.5,51.7,48,46.6,49.5,53.9,313.1,433.2
49.1,40.8,32.3,27.7,86.3,59.1,37.8,37.7,55.7,46.3,16.6,19.5,20.5,19.4,18,15,14.6,14.4,14.3,14.6
330.3,41.1,34.5,35.3,25.9,32,33.9,31,49.9,34.3,25.2,25.3,29.1,28.8,25.6,24.7,24.5,25.7,28,29.9
93,83.8,70.1,66.8,64.6,93.7,99.2,94.6,49.1,42.4,63.9,63.6,47,64.3,71.1,67.4,61,52.5,39.1,34.1
462.2,70.5,64,58.3,52.8,58.4,75.7,107.5,121.8,115.9,61.6,53.9,64.1,48.2,36.4,32.9,32.3,33.5,34.1,33.9
99.4,70.8,63.4,44.6,33.5,25.1,23.3,20.7,17.6,17.4,29,26.5,25.7,22.2,27.9,29.8,31.9,31.2,29.6,28
64.8,60.3,53.2,42.2,42.4,41.1,43.5,62.9,67,59.9,53.8,39.1,30.9,21.8,23.9,25.6,28.2,28.7,30.3,27.6
114,121.7,95.2,71.5,76.6,146.3,132.3,99.9,91.4,94,72.8,50.7,29.8,28.8,29.8,29.2,28.4,27.8,29.1,30.5
273.8,252.9,325.9,553.5,229.8,637.2,225.4,146.9,142.6,67.8,57,57.5,58.6,55.6,63.1,62.3,56.8,43.8,41.9,62.1
56.1,59,72.1,94.2,80.9,61.7,38,20.2,18,16.7,17.2,17.7,21.7,24.7,25.2,25.5,26.3,31.2,37.6,55.6
69.5,86.1,72.6,54.7,57.7,54.5,29.7,22,20.3,20.3,20.8,21.5,23.7,24.1,26.4,30.2,39,52.9,84.3,139.1
61.3,64.8,75.1,91,141.6,106.2,57.9,59.2,33.7,22.5,20.9,21.6,22,22.2,26,32.9,38.5,49.7,62.4,58.5
69.9,81.9,108,96.3,66.9,71.5,52.7,18.6,18.1,17.5,18,19.8,22.2,23.5,23.5,22.6,22.9,24.3,29,39.9
42.2,27,59.4,50.3,62.1,47.8,46.1,42.7,16.3,11.2,9.6,10.9,10.6,9,9.4,8.2,8,8.9,12.1,16.7
44.8,44.5,56.3,65.1,62.7,41.9,81.8,42.1,22.2,21.9,21,22.9,23.1,20.1,20,19.7,20.9,24.2,31.5,41.4
84,94.5,104.2,63.7,70.3,78.2,70.7,57.5,48.5,26.2,24.5,25.3,27,25.7,24.1,22.9,24.4,26.9,32.9,48.5
53.4,46.3,50.5,55.2,32.7,33.5,41.2,36.2,36.3,32.9,31.1,32.6,31.9,32.9,35.8,54,58.5,48.6,56,65.8
94.8,116.1,112.9,100.3,102.5,77.1,72.2,54.2,45.1,44,46.8,46.6,46.7,44.4,44.2,45.5,53.1,77.9,171.6,154.4
70.5,105.4,115.6,111,103.6,95.9,81.3,75.8,66.9,65.9,66.7,65,61,55.3,55.5,62.1,104.7,461.1,187.6,115.2
92.1,83.7,61.1,52.2,43.4,63.9,70.5,49.1,49.8,40.5,31.6,26.5,27.8,31,33.2,31.6,27.8,30.4,32.8,48.5
150.9,61,86.4,85.9,82.7,80.7,60.7,47.5,47.2,43.9,49,46.7,65.4,67.6,90.1,97.2,90.4,105.2,132.1,161.9
119.3,96.9,50.6,28.5,56.5,48.2,43.2,40.4,24.6,20.4,15.8,16,17.8,18.6,17.9,17.3,17.2,18.1,20.6,25.3
57.9,50.6,82.6,67.6,55.1,68.3,51.6,43.3,36.1,37.4,32.9,30.4,30.5,29.5,31.3,34.7,40.4,49.3,71.1,103.6
109.7,74.2,41.6,43.1,45.7,57,47.4,40.4,57.6,66.4,46.2,25.7,28.1,28.7,29.1,29.4,27.5,29.8,44.3,203.4
83.4,102,119.6,90.1,85.2,85.3,76.5,66.1,69.1,74.5,70.8,69.3,70.3,71.8,74.8,89,270.9,397.1,494.7,272.4
65.4,94.1,107.8,87.4,63.7,59.4,110.9,125.5,96.9,91.9,66.8,42.6,39.6,35.2,35.6,33.9,32.4,30.7,29.2,33
112.2,106.5,68.9,51.7,58.3,67.9,55.1,51,50.7,49.5,44.6,57.5,75.7,89.7,216.9,166.5,158.5,162.7,191,368.8
37.9,33.6,26.5,34,29.2,25.5,24.6,24.8,22.9,17.9,13.8,12.5,11.7,11.2,13,14.2,16,19.9,27.2,41.8
57.7,54.1,42.8,34.6,47.8,37.9,34.1,29.7,28.6,33.3,34.6,35.5,38.4,44.4,56.9,90.9,446.3,371.1,268,103.1
